Store,Product Type,Brand,Product Name,Price,Features,Specification,Reviewer Name,Review Date,Rating,Reviewer Comment
Ebay,Phone,Apple,Apple iPhone 13 128GB Unlocked - Good,419985.0,"Face ID, accelerometer, gyro, proximity, compass, barometer, Ultra Wideband (UWB) support.","Condition: Good - Refurbished, Seller Notes: “This iPhone 13 is 100% functional in Good condition, item will include scratches and dents on the ..., Brand: Apple, Model: iPhone 13, Storage Capacity: 128GB, Network: Unlocked, Screen Size: 6.1"", Lock Status: Unlocked, Processor: Hexa-core, Camera Resolution: 12MP, RAM: 4GB, Operating System: iOS, Contract: Without Contract, Model Number: A2482, Style: Smartphone",Reviewer_1,01-01-2025,,"el paquete llego en buenas condiciones funciona bien, rapido y fluido, de las cosas que me di cuenta es que tiene unas 4 rallitas cerca del notch que no se nota mucho la verdad y no afecta ni a la camara ni al face id, los bordes esta un poco desgastado que nose nota mucho y tampoco afecta y de lo que me podria quejar es que vino un 79% la capacidad aunq no me afecta mucho por que me duro muy bien la bateria apesar di eso y ademas estoy acostumbrado a cargar mi otro celular 1 o 2 veces al dia"
Ebay,Phone,Apple,Apple iPhone 13 128GB Unlocked - Good,419985.0,"Face ID, accelerometer, gyro, proximity, compass, barometer, Ultra Wideband (UWB) support.","Condition: Good - Refurbished, Seller Notes: “This iPhone 13 is 100% functional in Good condition, item will include scratches and dents on the ..., Brand: Apple, Model: iPhone 13, Storage Capacity: 128GB, Network: Unlocked, Screen Size: 6.1"", Lock Status: Unlocked, Processor: Hexa-core, Camera Resolution: 12MP, RAM: 4GB, Operating System: iOS, Contract: Without Contract, Model Number: A2482, Style: Smartphone",Reviewer_2,01-08-2024,,"It’s a very nice phone for the price, but unfortunately I do think the battery health is too low to be considered Good condition. If it was higher, I would’ve gave it a 5 star rating but they sent me one with 67% battery health 😰 Everything else about the phone is fine and I’m going to replace the battery on it next month. Face ID is functioning properly and there isn’t that much scratches."
Ebay,Phone,Apple,Apple iPhone 13 128GB Unlocked - Good,419985.0,"Face ID, accelerometer, gyro, proximity, compass, barometer, Ultra Wideband (UWB) support.","Condition: Good - Refurbished, Seller Notes: “This iPhone 13 is 100% functional in Good condition, item will include scratches and dents on the ..., Brand: Apple, Model: iPhone 13, Storage Capacity: 128GB, Network: Unlocked, Screen Size: 6.1"", Lock Status: Unlocked, Processor: Hexa-core, Camera Resolution: 12MP, RAM: 4GB, Operating System: iOS, Contract: Without Contract, Model Number: A2482, Style: Smartphone",Reviewer_3,01-01-2025,,"Exactly as advertised, some cosmetic damage, but a good functional phone. Accurately described as refurbished in “good” condition. Would purchase another phone from this seller."
Ebay,Phone,Apple,Apple iPhone 13 128GB Unlocked - Good,419985.0,"Face ID, accelerometer, gyro, proximity, compass, barometer, Ultra Wideband (UWB) support.","Condition: Good - Refurbished, Seller Notes: “This iPhone 13 is 100% functional in Good condition, item will include scratches and dents on the ..., Brand: Apple, Model: iPhone 13, Storage Capacity: 128GB, Network: Unlocked, Screen Size: 6.1"", Lock Status: Unlocked, Processor: Hexa-core, Camera Resolution: 12MP, RAM: 4GB, Operating System: iOS, Contract: Without Contract, Model Number: A2482, Style: Smartphone",Reviewer_4,01-08-2024,,Looks great..works great ..great price..waiting for a sim card to see how cellular works..this is a backup for my Iphone 13 Pro Cable was nice but plug adapter was incorrect. Thanks for a nice transaction..👍️😄
Ebay,Phone,Apple,Apple iPhone 13 128GB Unlocked - Good,419985.0,"Face ID, accelerometer, gyro, proximity, compass, barometer, Ultra Wideband (UWB) support.","Condition: Good - Refurbished, Seller Notes: “This iPhone 13 is 100% functional in Good condition, item will include scratches and dents on the ..., Brand: Apple, Model: iPhone 13, Storage Capacity: 128GB, Network: Unlocked, Screen Size: 6.1"", Lock Status: Unlocked, Processor: Hexa-core, Camera Resolution: 12MP, RAM: 4GB, Operating System: iOS, Contract: Without Contract, Model Number: A2482, Style: Smartphone",Reviewer_5,01-08-2024,,"Good value! Product delivered as described in good condition, fully functional. Fast shipping. Would recommend this seller."
Ebay,Phone,Apple,Apple iPhone 13 128GB Unlocked - Good,419985.0,"Face ID, accelerometer, gyro, proximity, compass, barometer, Ultra Wideband (UWB) support.","Condition: Good - Refurbished, Seller Notes: “This iPhone 13 is 100% functional in Good condition, item will include scratches and dents on the ..., Brand: Apple, Model: iPhone 13, Storage Capacity: 128GB, Network: Unlocked, Screen Size: 6.1"", Lock Status: Unlocked, Processor: Hexa-core, Camera Resolution: 12MP, RAM: 4GB, Operating System: iOS, Contract: Without Contract, Model Number: A2482, Style: Smartphone",Reviewer_6,01-08-2024,,"Fast respond and delivered, any crack but full funcional.."
Ebay,Phone,Apple,Apple iPhone 13 128GB Unlocked - Good,419985.0,"Face ID, accelerometer, gyro, proximity, compass, barometer, Ultra Wideband (UWB) support.","Condition: Good - Refurbished, Seller Notes: “This iPhone 13 is 100% functional in Good condition, item will include scratches and dents on the ..., Brand: Apple, Model: iPhone 13, Storage Capacity: 128GB, Network: Unlocked, Screen Size: 6.1"", Lock Status: Unlocked, Processor: Hexa-core, Camera Resolution: 12MP, RAM: 4GB, Operating System: iOS, Contract: Without Contract, Model Number: A2482, Style: Smartphone",Reviewer_7,01-08-2024,,"Works very well, nothing has been replaced and rarely much scratches on screen. overall very good+fast shipping."
Ebay,Phone,Apple,Apple iPhone 13 128GB Unlocked - Good,419985.0,"Face ID, accelerometer, gyro, proximity, compass, barometer, Ultra Wideband (UWB) support.","Condition: Good - Refurbished, Seller Notes: “This iPhone 13 is 100% functional in Good condition, item will include scratches and dents on the ..., Brand: Apple, Model: iPhone 13, Storage Capacity: 128GB, Network: Unlocked, Screen Size: 6.1"", Lock Status: Unlocked, Processor: Hexa-core, Camera Resolution: 12MP, RAM: 4GB, Operating System: iOS, Contract: Without Contract, Model Number: A2482, Style: Smartphone",Reviewer_8,01-08-2024,,phone works and looks brand new!
Ebay,Phone,Apple,Apple iPhone 13 128GB Unlocked - Good,419985.0,"Face ID, accelerometer, gyro, proximity, compass, barometer, Ultra Wideband (UWB) support.","Condition: Good - Refurbished, Seller Notes: “This iPhone 13 is 100% functional in Good condition, item will include scratches and dents on the ..., Brand: Apple, Model: iPhone 13, Storage Capacity: 128GB, Network: Unlocked, Screen Size: 6.1"", Lock Status: Unlocked, Processor: Hexa-core, Camera Resolution: 12MP, RAM: 4GB, Operating System: iOS, Contract: Without Contract, Model Number: A2482, Style: Smartphone",Reviewer_9,01-02-2024,,Shipping was fast and as expected. Condition was as listed. I was going to put a phone case on regardless so having an excellent condition phone wasn’t important. Phone is working well. Overall very pleased with my purchase.
Ebay,Phone,Apple,Apple iPhone 13 128GB Unlocked - Good,419985.0,"Face ID, accelerometer, gyro, proximity, compass, barometer, Ultra Wideband (UWB) support.","Condition: Good - Refurbished, Seller Notes: “This iPhone 13 is 100% functional in Good condition, item will include scratches and dents on the ..., Brand: Apple, Model: iPhone 13, Storage Capacity: 128GB, Network: Unlocked, Screen Size: 6.1"", Lock Status: Unlocked, Processor: Hexa-core, Camera Resolution: 12MP, RAM: 4GB, Operating System: iOS, Contract: Without Contract, Model Number: A2482, Style: Smartphone",Reviewer_10,01-01-2025,,"Good condition, good value and quick shipping"
