Store,Product Type,Brand,Product Name,Price,Features,Specification,Reviewer Name,Review Date,Rating,Reviewer Comment
Ebay,Phone,Apple,Apple iPhone 13 Pro 128GB Unlocked - Excellent,577485.0,"Face ID, accelerometer, gyro, proximity, compass, barometer, Ultra Wideband (UWB) support.","Condition: Excellent - Refurbished, Seller Notes: “This iPhone 13 Pro is in Excellent condition. It is 100% functional and in near perfect cosmetic ..., Brand: Apple, Model: iPhone 13 Pro, Storage Capacity: 128GB, Network: Unlocked, Screen Size: 6.1"", Lock Status: Unlocked, Processor: Hexa-core, Camera Resolution: 12MP, RAM: 6GB, Operating System: iOS, Contract: Without Contract, Model Number: A2483, Style: Smartphone",Reviewer_1,01-02-2024,,"The phone arrived in a very good period of time. The description said excellent, so I was waiting for a phone with at least 92% (better if more) of battery life, but it came with 87%. Not great but I needed the phone ASAP for my brother who lives far away, so I couldn’t return it. It came with some scratches, nothing that a case couldn’t hide. Will see how it works."
Ebay,Phone,Apple,Apple iPhone 13 Pro 128GB Unlocked - Excellent,577485.0,"Face ID, accelerometer, gyro, proximity, compass, barometer, Ultra Wideband (UWB) support.","Condition: Excellent - Refurbished, Seller Notes: “This iPhone 13 Pro is in Excellent condition. It is 100% functional and in near perfect cosmetic ..., Brand: Apple, Model: iPhone 13 Pro, Storage Capacity: 128GB, Network: Unlocked, Screen Size: 6.1"", Lock Status: Unlocked, Processor: Hexa-core, Camera Resolution: 12MP, RAM: 6GB, Operating System: iOS, Contract: Without Contract, Model Number: A2483, Style: Smartphone",Reviewer_2,01-01-2025,,Great condition!! Works as expected
Ebay,Phone,Apple,Apple iPhone 13 Pro 128GB Unlocked - Excellent,577485.0,"Face ID, accelerometer, gyro, proximity, compass, barometer, Ultra Wideband (UWB) support.","Condition: Excellent - Refurbished, Seller Notes: “This iPhone 13 Pro is in Excellent condition. It is 100% functional and in near perfect cosmetic ..., Brand: Apple, Model: iPhone 13 Pro, Storage Capacity: 128GB, Network: Unlocked, Screen Size: 6.1"", Lock Status: Unlocked, Processor: Hexa-core, Camera Resolution: 12MP, RAM: 6GB, Operating System: iOS, Contract: Without Contract, Model Number: A2483, Style: Smartphone",Reviewer_3,01-01-2025,,Excellent phone no scratches at all everything works as it should so far
Ebay,Phone,Apple,Apple iPhone 13 Pro 128GB Unlocked - Excellent,577485.0,"Face ID, accelerometer, gyro, proximity, compass, barometer, Ultra Wideband (UWB) support.","Condition: Excellent - Refurbished, Seller Notes: “This iPhone 13 Pro is in Excellent condition. It is 100% functional and in near perfect cosmetic ..., Brand: Apple, Model: iPhone 13 Pro, Storage Capacity: 128GB, Network: Unlocked, Screen Size: 6.1"", Lock Status: Unlocked, Processor: Hexa-core, Camera Resolution: 12MP, RAM: 6GB, Operating System: iOS, Contract: Without Contract, Model Number: A2483, Style: Smartphone",Reviewer_4,01-01-2025,,This iPhone is in perfect condition! Thank you A+++
Ebay,Phone,Apple,Apple iPhone 13 Pro 128GB Unlocked - Excellent,577485.0,"Face ID, accelerometer, gyro, proximity, compass, barometer, Ultra Wideband (UWB) support.","Condition: Excellent - Refurbished, Seller Notes: “This iPhone 13 Pro is in Excellent condition. It is 100% functional and in near perfect cosmetic ..., Brand: Apple, Model: iPhone 13 Pro, Storage Capacity: 128GB, Network: Unlocked, Screen Size: 6.1"", Lock Status: Unlocked, Processor: Hexa-core, Camera Resolution: 12MP, RAM: 6GB, Operating System: iOS, Contract: Without Contract, Model Number: A2483, Style: Smartphone",Reviewer_5,01-08-2024,,"It arrived in very good condition, just a few scratches."
Ebay,Phone,Apple,Apple iPhone 13 Pro 128GB Unlocked - Excellent,577485.0,"Face ID, accelerometer, gyro, proximity, compass, barometer, Ultra Wideband (UWB) support.","Condition: Excellent - Refurbished, Seller Notes: “This iPhone 13 Pro is in Excellent condition. It is 100% functional and in near perfect cosmetic ..., Brand: Apple, Model: iPhone 13 Pro, Storage Capacity: 128GB, Network: Unlocked, Screen Size: 6.1"", Lock Status: Unlocked, Processor: Hexa-core, Camera Resolution: 12MP, RAM: 6GB, Operating System: iOS, Contract: Without Contract, Model Number: A2483, Style: Smartphone",Reviewer_6,01-08-2024,,Reliable sources
Ebay,Phone,Apple,Apple iPhone 13 Pro 128GB Unlocked - Excellent,577485.0,"Face ID, accelerometer, gyro, proximity, compass, barometer, Ultra Wideband (UWB) support.","Condition: Excellent - Refurbished, Seller Notes: “This iPhone 13 Pro is in Excellent condition. It is 100% functional and in near perfect cosmetic ..., Brand: Apple, Model: iPhone 13 Pro, Storage Capacity: 128GB, Network: Unlocked, Screen Size: 6.1"", Lock Status: Unlocked, Processor: Hexa-core, Camera Resolution: 12MP, RAM: 6GB, Operating System: iOS, Contract: Without Contract, Model Number: A2483, Style: Smartphone",Reviewer_7,01-01-2025,,Glad I took a chance on this seller because everything arrived safely and everything was as described. The delivery was also very fast. I’ll definitely be a repeat customer.
Ebay,Phone,Apple,Apple iPhone 13 Pro 128GB Unlocked - Excellent,577485.0,"Face ID, accelerometer, gyro, proximity, compass, barometer, Ultra Wideband (UWB) support.","Condition: Excellent - Refurbished, Seller Notes: “This iPhone 13 Pro is in Excellent condition. It is 100% functional and in near perfect cosmetic ..., Brand: Apple, Model: iPhone 13 Pro, Storage Capacity: 128GB, Network: Unlocked, Screen Size: 6.1"", Lock Status: Unlocked, Processor: Hexa-core, Camera Resolution: 12MP, RAM: 6GB, Operating System: iOS, Contract: Without Contract, Model Number: A2483, Style: Smartphone",Reviewer_8,01-08-2024,,"Carefully packaged, item came as described."
Ebay,Phone,Apple,Apple iPhone 13 Pro 128GB Unlocked - Excellent,577485.0,"Face ID, accelerometer, gyro, proximity, compass, barometer, Ultra Wideband (UWB) support.","Condition: Excellent - Refurbished, Seller Notes: “This iPhone 13 Pro is in Excellent condition. It is 100% functional and in near perfect cosmetic ..., Brand: Apple, Model: iPhone 13 Pro, Storage Capacity: 128GB, Network: Unlocked, Screen Size: 6.1"", Lock Status: Unlocked, Processor: Hexa-core, Camera Resolution: 12MP, RAM: 6GB, Operating System: iOS, Contract: Without Contract, Model Number: A2483, Style: Smartphone",Reviewer_9,01-08-2024,,"Carefully packaged, item came as described."
Ebay,Phone,Apple,Apple iPhone 13 Pro 128GB Unlocked - Excellent,577485.0,"Face ID, accelerometer, gyro, proximity, compass, barometer, Ultra Wideband (UWB) support.","Condition: Excellent - Refurbished, Seller Notes: “This iPhone 13 Pro is in Excellent condition. It is 100% functional and in near perfect cosmetic ..., Brand: Apple, Model: iPhone 13 Pro, Storage Capacity: 128GB, Network: Unlocked, Screen Size: 6.1"", Lock Status: Unlocked, Processor: Hexa-core, Camera Resolution: 12MP, RAM: 6GB, Operating System: iOS, Contract: Without Contract, Model Number: A2483, Style: Smartphone",Reviewer_10,01-08-2024,,As described
