Store,Product Type,Brand,Product Name,Price,Features,Specification,Reviewer Name,Review Date,Rating,Reviewer Comment
Ebay,Phone,Apple,Apple iPhone XS 256GB - Fully Unlocked - VERY GOOD Condition,250485.0,Tap to Wake.,"Condition: Very Good - Refurbished, Seller Notes: “Very Good - This is in VERY GOOD cosmetic condition and may have minor scrapes or scratches since ..., Processor: Hexa Core, Screen Size: 5.8 in, Chipset Model: Apple A12 Bionic, Memory Card Type: Built-In Memory, Lock Status: Factory Unlocked, Model Number: A1920 (CDMA + GSM), SIM Card Slot: Dual SIM (SIM + eSIM), Cellular Band: GSM / CDMA / HSPA / EVDO / LTE, Brand: Apple, Manufacturer Warranty: 1 Year, Network: AT&T, AT&T, Verizon, T-Mobile, Sprint, Boost, Boost Mobile, Factory Unlocked, Metro, Sprint, Straight Talk, T-Mobile, Unlocked, Unlocked / T-Mobile / AT&T / Verizon, Verizon, Verizon Unlocked, Verizon Wireless, Model: Apple iPhone XS, Connectivity: 4G, Bluetooth, Lightning, NFC, Wi-Fi, Style: Bar, Operating System: iOS, Storage Capacity: 256 GB, Country/Region of Manufacture: China, Contract: Without Contract, Camera Resolution: 12.0 MP, RAM: 4 GB",Reviewer_1,01-08-2024,,Good honest seller. Phone functioned fine except the speaker volume was very low. Sent email to seller and they immediately sent a prepaid label to return it for full refund. I ordered another phone from them and it arrived in 2 days and it’s working perfectly. Good seller.
Ebay,Phone,Apple,Apple iPhone XS 256GB - Fully Unlocked - VERY GOOD Condition,250485.0,Tap to Wake.,"Condition: Very Good - Refurbished, Seller Notes: “Very Good - This is in VERY GOOD cosmetic condition and may have minor scrapes or scratches since ..., Processor: Hexa Core, Screen Size: 5.8 in, Chipset Model: Apple A12 Bionic, Memory Card Type: Built-In Memory, Lock Status: Factory Unlocked, Model Number: A1920 (CDMA + GSM), SIM Card Slot: Dual SIM (SIM + eSIM), Cellular Band: GSM / CDMA / HSPA / EVDO / LTE, Brand: Apple, Manufacturer Warranty: 1 Year, Network: AT&T, AT&T, Verizon, T-Mobile, Sprint, Boost, Boost Mobile, Factory Unlocked, Metro, Sprint, Straight Talk, T-Mobile, Unlocked, Unlocked / T-Mobile / AT&T / Verizon, Verizon, Verizon Unlocked, Verizon Wireless, Model: Apple iPhone XS, Connectivity: 4G, Bluetooth, Lightning, NFC, Wi-Fi, Style: Bar, Operating System: iOS, Storage Capacity: 256 GB, Country/Region of Manufacture: China, Contract: Without Contract, Camera Resolution: 12.0 MP, RAM: 4 GB",Reviewer_2,01-08-2024,,"Iphone XS (12th Gen) works great, I have been a motorola user so it had a medium learning curve but learning something new everyday. Very Satisfied"
Ebay,Phone,Apple,Apple iPhone XS 256GB - Fully Unlocked - VERY GOOD Condition,250485.0,Tap to Wake.,"Condition: Very Good - Refurbished, Seller Notes: “Very Good - This is in VERY GOOD cosmetic condition and may have minor scrapes or scratches since ..., Processor: Hexa Core, Screen Size: 5.8 in, Chipset Model: Apple A12 Bionic, Memory Card Type: Built-In Memory, Lock Status: Factory Unlocked, Model Number: A1920 (CDMA + GSM), SIM Card Slot: Dual SIM (SIM + eSIM), Cellular Band: GSM / CDMA / HSPA / EVDO / LTE, Brand: Apple, Manufacturer Warranty: 1 Year, Network: AT&T, AT&T, Verizon, T-Mobile, Sprint, Boost, Boost Mobile, Factory Unlocked, Metro, Sprint, Straight Talk, T-Mobile, Unlocked, Unlocked / T-Mobile / AT&T / Verizon, Verizon, Verizon Unlocked, Verizon Wireless, Model: Apple iPhone XS, Connectivity: 4G, Bluetooth, Lightning, NFC, Wi-Fi, Style: Bar, Operating System: iOS, Storage Capacity: 256 GB, Country/Region of Manufacture: China, Contract: Without Contract, Camera Resolution: 12.0 MP, RAM: 4 GB",Reviewer_3,01-08-2024,,"I have had this phone for a few weeks now and I absolutely hate it. The phone overheats, battery is terrible, glitches out and will go to different apps etc and there’s nothing I can do about it other than wait the 20 mins it takes for it to stop. It will turn itself on airplane mode and I won’t even know until I notice it’s been a while since I received any notifications.. it hangs up my calls and the list goes on. I did contact the seller but they weren’t much help. I would not recommend."
Ebay,Phone,Apple,Apple iPhone XS 256GB - Fully Unlocked - VERY GOOD Condition,250485.0,Tap to Wake.,"Condition: Very Good - Refurbished, Seller Notes: “Very Good - This is in VERY GOOD cosmetic condition and may have minor scrapes or scratches since ..., Processor: Hexa Core, Screen Size: 5.8 in, Chipset Model: Apple A12 Bionic, Memory Card Type: Built-In Memory, Lock Status: Factory Unlocked, Model Number: A1920 (CDMA + GSM), SIM Card Slot: Dual SIM (SIM + eSIM), Cellular Band: GSM / CDMA / HSPA / EVDO / LTE, Brand: Apple, Manufacturer Warranty: 1 Year, Network: AT&T, AT&T, Verizon, T-Mobile, Sprint, Boost, Boost Mobile, Factory Unlocked, Metro, Sprint, Straight Talk, T-Mobile, Unlocked, Unlocked / T-Mobile / AT&T / Verizon, Verizon, Verizon Unlocked, Verizon Wireless, Model: Apple iPhone XS, Connectivity: 4G, Bluetooth, Lightning, NFC, Wi-Fi, Style: Bar, Operating System: iOS, Storage Capacity: 256 GB, Country/Region of Manufacture: China, Contract: Without Contract, Camera Resolution: 12.0 MP, RAM: 4 GB",Reviewer_4,01-02-2024,,The phone has a visible scratch in the top right hand area of the phone. The speakers are decent until you turn them up on high then they sound like actual busted speakers. The phone was unlocked and ready to use. The seller will respond back in a timely manner.
Ebay,Phone,Apple,Apple iPhone XS 256GB - Fully Unlocked - VERY GOOD Condition,250485.0,Tap to Wake.,"Condition: Very Good - Refurbished, Seller Notes: “Very Good - This is in VERY GOOD cosmetic condition and may have minor scrapes or scratches since ..., Processor: Hexa Core, Screen Size: 5.8 in, Chipset Model: Apple A12 Bionic, Memory Card Type: Built-In Memory, Lock Status: Factory Unlocked, Model Number: A1920 (CDMA + GSM), SIM Card Slot: Dual SIM (SIM + eSIM), Cellular Band: GSM / CDMA / HSPA / EVDO / LTE, Brand: Apple, Manufacturer Warranty: 1 Year, Network: AT&T, AT&T, Verizon, T-Mobile, Sprint, Boost, Boost Mobile, Factory Unlocked, Metro, Sprint, Straight Talk, T-Mobile, Unlocked, Unlocked / T-Mobile / AT&T / Verizon, Verizon, Verizon Unlocked, Verizon Wireless, Model: Apple iPhone XS, Connectivity: 4G, Bluetooth, Lightning, NFC, Wi-Fi, Style: Bar, Operating System: iOS, Storage Capacity: 256 GB, Country/Region of Manufacture: China, Contract: Without Contract, Camera Resolution: 12.0 MP, RAM: 4 GB",Reviewer_5,01-08-2024,,Exactly what I was looking for. I wish I had seen photos of some slight damage on the microphone grill (completely ruined water resistance as a result) but otherwise great.
Ebay,Phone,Apple,Apple iPhone XS 256GB - Fully Unlocked - VERY GOOD Condition,250485.0,Tap to Wake.,"Condition: Very Good - Refurbished, Seller Notes: “Very Good - This is in VERY GOOD cosmetic condition and may have minor scrapes or scratches since ..., Processor: Hexa Core, Screen Size: 5.8 in, Chipset Model: Apple A12 Bionic, Memory Card Type: Built-In Memory, Lock Status: Factory Unlocked, Model Number: A1920 (CDMA + GSM), SIM Card Slot: Dual SIM (SIM + eSIM), Cellular Band: GSM / CDMA / HSPA / EVDO / LTE, Brand: Apple, Manufacturer Warranty: 1 Year, Network: AT&T, AT&T, Verizon, T-Mobile, Sprint, Boost, Boost Mobile, Factory Unlocked, Metro, Sprint, Straight Talk, T-Mobile, Unlocked, Unlocked / T-Mobile / AT&T / Verizon, Verizon, Verizon Unlocked, Verizon Wireless, Model: Apple iPhone XS, Connectivity: 4G, Bluetooth, Lightning, NFC, Wi-Fi, Style: Bar, Operating System: iOS, Storage Capacity: 256 GB, Country/Region of Manufacture: China, Contract: Without Contract, Camera Resolution: 12.0 MP, RAM: 4 GB",Reviewer_6,01-02-2024,,"Item was in very good condition, was surprised to have the charger, cable and card pin included. It was also at a very good price."
Ebay,Phone,Apple,Apple iPhone XS 256GB - Fully Unlocked - VERY GOOD Condition,250485.0,Tap to Wake.,"Condition: Very Good - Refurbished, Seller Notes: “Very Good - This is in VERY GOOD cosmetic condition and may have minor scrapes or scratches since ..., Processor: Hexa Core, Screen Size: 5.8 in, Chipset Model: Apple A12 Bionic, Memory Card Type: Built-In Memory, Lock Status: Factory Unlocked, Model Number: A1920 (CDMA + GSM), SIM Card Slot: Dual SIM (SIM + eSIM), Cellular Band: GSM / CDMA / HSPA / EVDO / LTE, Brand: Apple, Manufacturer Warranty: 1 Year, Network: AT&T, AT&T, Verizon, T-Mobile, Sprint, Boost, Boost Mobile, Factory Unlocked, Metro, Sprint, Straight Talk, T-Mobile, Unlocked, Unlocked / T-Mobile / AT&T / Verizon, Verizon, Verizon Unlocked, Verizon Wireless, Model: Apple iPhone XS, Connectivity: 4G, Bluetooth, Lightning, NFC, Wi-Fi, Style: Bar, Operating System: iOS, Storage Capacity: 256 GB, Country/Region of Manufacture: China, Contract: Without Contract, Camera Resolution: 12.0 MP, RAM: 4 GB",Reviewer_7,01-08-2024,,"It’s beautiful. Even better than described. Fast shipping, perfect transaction."
Ebay,Phone,Apple,Apple iPhone XS 256GB - Fully Unlocked - VERY GOOD Condition,250485.0,Tap to Wake.,"Condition: Very Good - Refurbished, Seller Notes: “Very Good - This is in VERY GOOD cosmetic condition and may have minor scrapes or scratches since ..., Processor: Hexa Core, Screen Size: 5.8 in, Chipset Model: Apple A12 Bionic, Memory Card Type: Built-In Memory, Lock Status: Factory Unlocked, Model Number: A1920 (CDMA + GSM), SIM Card Slot: Dual SIM (SIM + eSIM), Cellular Band: GSM / CDMA / HSPA / EVDO / LTE, Brand: Apple, Manufacturer Warranty: 1 Year, Network: AT&T, AT&T, Verizon, T-Mobile, Sprint, Boost, Boost Mobile, Factory Unlocked, Metro, Sprint, Straight Talk, T-Mobile, Unlocked, Unlocked / T-Mobile / AT&T / Verizon, Verizon, Verizon Unlocked, Verizon Wireless, Model: Apple iPhone XS, Connectivity: 4G, Bluetooth, Lightning, NFC, Wi-Fi, Style: Bar, Operating System: iOS, Storage Capacity: 256 GB, Country/Region of Manufacture: China, Contract: Without Contract, Camera Resolution: 12.0 MP, RAM: 4 GB",Reviewer_8,01-08-2024,,Received in good condition
Ebay,Phone,Apple,Apple iPhone XS 256GB - Fully Unlocked - VERY GOOD Condition,250485.0,Tap to Wake.,"Condition: Very Good - Refurbished, Seller Notes: “Very Good - This is in VERY GOOD cosmetic condition and may have minor scrapes or scratches since ..., Processor: Hexa Core, Screen Size: 5.8 in, Chipset Model: Apple A12 Bionic, Memory Card Type: Built-In Memory, Lock Status: Factory Unlocked, Model Number: A1920 (CDMA + GSM), SIM Card Slot: Dual SIM (SIM + eSIM), Cellular Band: GSM / CDMA / HSPA / EVDO / LTE, Brand: Apple, Manufacturer Warranty: 1 Year, Network: AT&T, AT&T, Verizon, T-Mobile, Sprint, Boost, Boost Mobile, Factory Unlocked, Metro, Sprint, Straight Talk, T-Mobile, Unlocked, Unlocked / T-Mobile / AT&T / Verizon, Verizon, Verizon Unlocked, Verizon Wireless, Model: Apple iPhone XS, Connectivity: 4G, Bluetooth, Lightning, NFC, Wi-Fi, Style: Bar, Operating System: iOS, Storage Capacity: 256 GB, Country/Region of Manufacture: China, Contract: Without Contract, Camera Resolution: 12.0 MP, RAM: 4 GB",Reviewer_9,01-08-2024,,Received in good condition
Ebay,Phone,Apple,Apple iPhone XS 256GB - Fully Unlocked - VERY GOOD Condition,250485.0,Tap to Wake.,"Condition: Very Good - Refurbished, Seller Notes: “Very Good - This is in VERY GOOD cosmetic condition and may have minor scrapes or scratches since ..., Processor: Hexa Core, Screen Size: 5.8 in, Chipset Model: Apple A12 Bionic, Memory Card Type: Built-In Memory, Lock Status: Factory Unlocked, Model Number: A1920 (CDMA + GSM), SIM Card Slot: Dual SIM (SIM + eSIM), Cellular Band: GSM / CDMA / HSPA / EVDO / LTE, Brand: Apple, Manufacturer Warranty: 1 Year, Network: AT&T, AT&T, Verizon, T-Mobile, Sprint, Boost, Boost Mobile, Factory Unlocked, Metro, Sprint, Straight Talk, T-Mobile, Unlocked, Unlocked / T-Mobile / AT&T / Verizon, Verizon, Verizon Unlocked, Verizon Wireless, Model: Apple iPhone XS, Connectivity: 4G, Bluetooth, Lightning, NFC, Wi-Fi, Style: Bar, Operating System: iOS, Storage Capacity: 256 GB, Country/Region of Manufacture: China, Contract: Without Contract, Camera Resolution: 12.0 MP, RAM: 4 GB",Reviewer_10,01-08-2024,,Phone works great and looks good. Thank you.
Ebay,Phone,Apple,Apple iPhone XS 256GB - Fully Unlocked - VERY GOOD Condition,250485.0,Tap to Wake.,"Condition: Very Good - Refurbished, Seller Notes: “Very Good - This is in VERY GOOD cosmetic condition and may have minor scrapes or scratches since ..., Processor: Hexa Core, Screen Size: 5.8 in, Chipset Model: Apple A12 Bionic, Memory Card Type: Built-In Memory, Lock Status: Factory Unlocked, Model Number: A1920 (CDMA + GSM), SIM Card Slot: Dual SIM (SIM + eSIM), Cellular Band: GSM / CDMA / HSPA / EVDO / LTE, Brand: Apple, Manufacturer Warranty: 1 Year, Network: AT&T, AT&T, Verizon, T-Mobile, Sprint, Boost, Boost Mobile, Factory Unlocked, Metro, Sprint, Straight Talk, T-Mobile, Unlocked, Unlocked / T-Mobile / AT&T / Verizon, Verizon, Verizon Unlocked, Verizon Wireless, Model: Apple iPhone XS, Connectivity: 4G, Bluetooth, Lightning, NFC, Wi-Fi, Style: Bar, Operating System: iOS, Storage Capacity: 256 GB, Country/Region of Manufacture: China, Contract: Without Contract, Camera Resolution: 12.0 MP, RAM: 4 GB",Reviewer_11,01-08-2024,,Excellent seller. Phone arrived quickly and in good condition.
Ebay,Phone,Apple,Apple iPhone XS 256GB - Fully Unlocked - VERY GOOD Condition,250485.0,Tap to Wake.,"Condition: Very Good - Refurbished, Seller Notes: “Very Good - This is in VERY GOOD cosmetic condition and may have minor scrapes or scratches since ..., Processor: Hexa Core, Screen Size: 5.8 in, Chipset Model: Apple A12 Bionic, Memory Card Type: Built-In Memory, Lock Status: Factory Unlocked, Model Number: A1920 (CDMA + GSM), SIM Card Slot: Dual SIM (SIM + eSIM), Cellular Band: GSM / CDMA / HSPA / EVDO / LTE, Brand: Apple, Manufacturer Warranty: 1 Year, Network: AT&T, AT&T, Verizon, T-Mobile, Sprint, Boost, Boost Mobile, Factory Unlocked, Metro, Sprint, Straight Talk, T-Mobile, Unlocked, Unlocked / T-Mobile / AT&T / Verizon, Verizon, Verizon Unlocked, Verizon Wireless, Model: Apple iPhone XS, Connectivity: 4G, Bluetooth, Lightning, NFC, Wi-Fi, Style: Bar, Operating System: iOS, Storage Capacity: 256 GB, Country/Region of Manufacture: China, Contract: Without Contract, Camera Resolution: 12.0 MP, RAM: 4 GB",Reviewer_12,01-02-2024,,"package was great, good condition"
Ebay,Phone,Apple,Apple iPhone XS 256GB - Fully Unlocked - VERY GOOD Condition,250485.0,Tap to Wake.,"Condition: Very Good - Refurbished, Seller Notes: “Very Good - This is in VERY GOOD cosmetic condition and may have minor scrapes or scratches since ..., Processor: Hexa Core, Screen Size: 5.8 in, Chipset Model: Apple A12 Bionic, Memory Card Type: Built-In Memory, Lock Status: Factory Unlocked, Model Number: A1920 (CDMA + GSM), SIM Card Slot: Dual SIM (SIM + eSIM), Cellular Band: GSM / CDMA / HSPA / EVDO / LTE, Brand: Apple, Manufacturer Warranty: 1 Year, Network: AT&T, AT&T, Verizon, T-Mobile, Sprint, Boost, Boost Mobile, Factory Unlocked, Metro, Sprint, Straight Talk, T-Mobile, Unlocked, Unlocked / T-Mobile / AT&T / Verizon, Verizon, Verizon Unlocked, Verizon Wireless, Model: Apple iPhone XS, Connectivity: 4G, Bluetooth, Lightning, NFC, Wi-Fi, Style: Bar, Operating System: iOS, Storage Capacity: 256 GB, Country/Region of Manufacture: China, Contract: Without Contract, Camera Resolution: 12.0 MP, RAM: 4 GB",Reviewer_13,01-02-2024,,"Thank you. The phone looks and operates like a new phone. No complaints, couldn't ask for better. A+++"
Ebay,Phone,Apple,Apple iPhone XS 256GB - Fully Unlocked - VERY GOOD Condition,250485.0,Tap to Wake.,"Condition: Very Good - Refurbished, Seller Notes: “Very Good - This is in VERY GOOD cosmetic condition and may have minor scrapes or scratches since ..., Processor: Hexa Core, Screen Size: 5.8 in, Chipset Model: Apple A12 Bionic, Memory Card Type: Built-In Memory, Lock Status: Factory Unlocked, Model Number: A1920 (CDMA + GSM), SIM Card Slot: Dual SIM (SIM + eSIM), Cellular Band: GSM / CDMA / HSPA / EVDO / LTE, Brand: Apple, Manufacturer Warranty: 1 Year, Network: AT&T, AT&T, Verizon, T-Mobile, Sprint, Boost, Boost Mobile, Factory Unlocked, Metro, Sprint, Straight Talk, T-Mobile, Unlocked, Unlocked / T-Mobile / AT&T / Verizon, Verizon, Verizon Unlocked, Verizon Wireless, Model: Apple iPhone XS, Connectivity: 4G, Bluetooth, Lightning, NFC, Wi-Fi, Style: Bar, Operating System: iOS, Storage Capacity: 256 GB, Country/Region of Manufacture: China, Contract: Without Contract, Camera Resolution: 12.0 MP, RAM: 4 GB",Reviewer_14,01-08-2024,,"Thanks you so much, I get iphone good condition"
Ebay,Phone,Apple,Apple iPhone XS 256GB - Fully Unlocked - VERY GOOD Condition,250485.0,Tap to Wake.,"Condition: Very Good - Refurbished, Seller Notes: “Very Good - This is in VERY GOOD cosmetic condition and may have minor scrapes or scratches since ..., Processor: Hexa Core, Screen Size: 5.8 in, Chipset Model: Apple A12 Bionic, Memory Card Type: Built-In Memory, Lock Status: Factory Unlocked, Model Number: A1920 (CDMA + GSM), SIM Card Slot: Dual SIM (SIM + eSIM), Cellular Band: GSM / CDMA / HSPA / EVDO / LTE, Brand: Apple, Manufacturer Warranty: 1 Year, Network: AT&T, AT&T, Verizon, T-Mobile, Sprint, Boost, Boost Mobile, Factory Unlocked, Metro, Sprint, Straight Talk, T-Mobile, Unlocked, Unlocked / T-Mobile / AT&T / Verizon, Verizon, Verizon Unlocked, Verizon Wireless, Model: Apple iPhone XS, Connectivity: 4G, Bluetooth, Lightning, NFC, Wi-Fi, Style: Bar, Operating System: iOS, Storage Capacity: 256 GB, Country/Region of Manufacture: China, Contract: Without Contract, Camera Resolution: 12.0 MP, RAM: 4 GB",Reviewer_15,01-02-2024,,"Works very well, love it"
Ebay,Phone,Apple,Apple iPhone XS 256GB - Fully Unlocked - VERY GOOD Condition,250485.0,Tap to Wake.,"Condition: Very Good - Refurbished, Seller Notes: “Very Good - This is in VERY GOOD cosmetic condition and may have minor scrapes or scratches since ..., Processor: Hexa Core, Screen Size: 5.8 in, Chipset Model: Apple A12 Bionic, Memory Card Type: Built-In Memory, Lock Status: Factory Unlocked, Model Number: A1920 (CDMA + GSM), SIM Card Slot: Dual SIM (SIM + eSIM), Cellular Band: GSM / CDMA / HSPA / EVDO / LTE, Brand: Apple, Manufacturer Warranty: 1 Year, Network: AT&T, AT&T, Verizon, T-Mobile, Sprint, Boost, Boost Mobile, Factory Unlocked, Metro, Sprint, Straight Talk, T-Mobile, Unlocked, Unlocked / T-Mobile / AT&T / Verizon, Verizon, Verizon Unlocked, Verizon Wireless, Model: Apple iPhone XS, Connectivity: 4G, Bluetooth, Lightning, NFC, Wi-Fi, Style: Bar, Operating System: iOS, Storage Capacity: 256 GB, Country/Region of Manufacture: China, Contract: Without Contract, Camera Resolution: 12.0 MP, RAM: 4 GB",Reviewer_16,01-01-2025,,Item as described. Fast shipment. Reliable seller. Thank you !!
Ebay,Phone,Apple,Apple iPhone XS 256GB - Fully Unlocked - VERY GOOD Condition,250485.0,Tap to Wake.,"Condition: Very Good - Refurbished, Seller Notes: “Very Good - This is in VERY GOOD cosmetic condition and may have minor scrapes or scratches since ..., Processor: Hexa Core, Screen Size: 5.8 in, Chipset Model: Apple A12 Bionic, Memory Card Type: Built-In Memory, Lock Status: Factory Unlocked, Model Number: A1920 (CDMA + GSM), SIM Card Slot: Dual SIM (SIM + eSIM), Cellular Band: GSM / CDMA / HSPA / EVDO / LTE, Brand: Apple, Manufacturer Warranty: 1 Year, Network: AT&T, AT&T, Verizon, T-Mobile, Sprint, Boost, Boost Mobile, Factory Unlocked, Metro, Sprint, Straight Talk, T-Mobile, Unlocked, Unlocked / T-Mobile / AT&T / Verizon, Verizon, Verizon Unlocked, Verizon Wireless, Model: Apple iPhone XS, Connectivity: 4G, Bluetooth, Lightning, NFC, Wi-Fi, Style: Bar, Operating System: iOS, Storage Capacity: 256 GB, Country/Region of Manufacture: China, Contract: Without Contract, Camera Resolution: 12.0 MP, RAM: 4 GB",Reviewer_17,01-02-2024,,"Delivery was one day late. Phone has a deep scratch on the screen that was not mentioned. BH 94%, better than expected."
