review_date,reviewer_name,reviewer_comment
Past year,d***7 (260),"The product quality is really great. It allows the laptop to be at numerous angles 45° to 90°. It also allows the computer laptop to cool down and vent instead of being pressed against a flat surface and overheating by trapped hot battery life and SSD spinning . I would highly recommend for students,￼ graphic designers and business professionals that use a laptop for more than three hours a day! Worth the price and the design is very high-quality."
Past month,l***a (10),"Good quality stand for cheap. Feels sturdy, although a bit finicky to set up and move."
Past 6 months,r***h (430),Just What I Was Looking For. Holding Up My Dell Precision 5510 Perfectly. Sturdy Aluminum Stand And Very Light. May Buy A Couple More To Leave At The Office And At Home For My Laptop. Recommended! A++++
Past 6 months,y***y (642),"Stand feels like good quality, real aluminum materials. Bracing style was not same as pictured in this listing. Nice and portable stand."
Past 6 months,d***a (1130),"Laptop stand - As described. Doesn't quite angle up as high as photos implied, but it's ok."
Past 6 months,o***c (173),Love it! Look and feel of quality. Fast shipping didn’t hurt either!
Past month,p***n (1875),Nice stand! Fits computer very well!!
Past 6 months,e***,Fast Shipping Works great prefect for my 15.6 laptap priced right.
Past year,a***0 (141),"I would give the item a 5 star. But it needs to be wider. Every now and then when I move my hand to the outer edge of the laptop, it will tilt."
Past 6 months,q***0 (15),"Very high quality stand, I did not expect this. Good material, sturdy!"
Past year,t***l (344),"FAST shipping! Excellent quality new item, very sturdy, portable compact laptop stand. Highly Recommended Seller A+++++"
Past 6 months,l***l (7),Perfectly compact. Exactly what I was looking for
Past 6 months,3***6 (223),"Low price, good product quality and fast shipping"
Past 6 months,n***n (17),The piece it’s self is ok but it could have been a little more robust with a better slide rail type design for the legs to raise it up. The ones currently flop around too much and don’t lock into a slot like it should and hold in place
Past year,e***o (7),Very solid and sturdy.Not flimsy at all.
Past 6 months,l***u (197),"Fast shipping. The foldable notebook holder received as described, works well with my 13-in laptop."
Past month,c***c (279),Excellent quality. Top condition. Heck of a value. Perfect appearance.
Past month,d***e (522),"incredible fast shipping, great quality ( better than I was expecting )"
Past month,u***v (366),Fast shipping! Easy to use!
Past month,n***7 (21),Came as expected. Does it's job.
Past year,_***i (31),Very sturdy and works as designed.
Past 6 months,8***0 (591),"Nice item, just what I needed! Great seller, Fast shipping!"
Past month,x***x (230),"Great selller, amazing product, fast shipping, 💯% recommended!"
Past 6 months,4***p (499),Great seller. Fast shipping. Nice product
Past 6 months,t***o (6447),super fast shipping. nice product.. thank you.
Past 6 months,1***s (4),Works great
Past month,p***8 (115),Awesome product! Just what I was looking for.
Past month,a***a (112),Good product so far
Past 6 months,r***r (154),"Amazing deal, love the product, lightening fast delivery/shipping. Ty!"
Past year,2***a (387),Great product and well designed!
Past 6 months,1***a (333),Great product at a great price! Will buy again!
Past year,s***h (373),just what i wanted works great
More than a year ago,0***k (34),Smaller than appears but still will work alright. Just have to buy a stand which I ordered.
Past 6 months,t***3 (23),"A+++ seller, fast shipping, great product!"
Past 6 months,t***0 (71),"Good quality, pretty solid"
Past year,w***o (1950),Easy & Clean Transaction-Described Well-Fine Price-Arrived Super Fast & in Good Condition <<Thanks>>
Past 6 months,r***r (6603),Great laptop stand from a great seller. Smooth transaction. Thanks!!!!
Past 6 months,a***d (326),Nice! Cheaper I will order another for my son
Past 6 months,3***m (482),they are great and better than the ones the stores are selling
Past month,u***j (386),A+++ seller.. fast shipping and great communication. Look forward to buying more stuff from you!!!
Past month,i***a (239),It was promptly delivered and arrived in pristine conditions. Superb Service. Highly Recommendable.
More than a year ago,u***2 (925),"Extremely fast service, tough and well designed stand. Great seller."
Past 6 months,e***n (623),All good Just as described.
More than a year ago,3***0 (475),"Lightweight and adjustable it should keep my laptop cooler. Fast shipping, well packaged recommend this seller."
More than a year ago,h***c,Nice well made stand. Wish it fit an iPad better.
More than a year ago,j***j (34),"Great addition to prop up out Sports monitors (17"" Thin Screens)! Ended up buying three of them. Quick to set up and easy to compact and travel with. Only downside is the hinged arms are very lose and can sometimes be bumped out of the indents that hold them in place."
Past year,0***b (550),Item is high quality and as described.
Past year,m***k (1373),"Excellent item, very happy! Fast shipping. Thank you so much."
More than a year ago,o***0 (2281),"Lightweight, but sturdy too, cool travel bags too, I needed more airflow so batteries extend life. This does the trick. Great, fast Seller."
Past year,t***o (263),Just what I needed! 5 star seller!
Past month,8***e (955),Great seller. Item just as described. Would buy from seller again.
Past 6 months,m***v (20),"Item delivered on time and exactly as shown. Low shipping cost, well packed."
More than a year ago,o***w (242),"Quality Product, Grea Pricing,Delivered in record time! Superior Packaging Presentation Velvet drawstring pouch, would not hesitate to purchase and send direct as a gift."
Past year,q***i (38),Works just as described. Would recommend
Past year,0***p (413),Works great
Past year,h***a (34),This is a good stand that I liked so I bought another one. It's convenient for portability at a decent price.
Past month,n***a (73),As described.
Past month,9***6 (20),Item as described
Past month,1***8 (642),Good customer service. Thanks
Past year,9***c (695),Received parcel in good condition. Good quality and value.
Past 6 months,k***a (351),G2G
Past month,i***m (1355),"Great transaction, very pleased."
More than a year ago,c***l (1067),"Appreciate the quick free shipping and fast delivery, cute little useful device more like it supports a mini tablet rather than a full size laptop. Very convenient to take in a laptop bag for travel and servicing. Thank you for a great hassle free transaction. 5 stars."
Past 6 months,a***l (98),Great seller
Past 6 months,c***m (114),Thank you package recieved
Past month,k***u (665),A+!
Past 6 months,8***2 (312),"Great price, fast shipping!"
Past month,2***s (592),Thanks
Past year,o***d (668),Great item and seller. Just as described with fast shipping. I would recommend this seller to everyone.
Past year,y***o (195),These stands work great
More than a year ago,m***r (139),"Great product, good build quality and reasonable price. Shipped quickly and it time."
Past 6 months,n***l (860),Thanks
Past 6 months,i***k (354),Very good.Thank you.A++++++++++
Past 6 months,i***i (583),Perfect
Past 6 months,1***t (218),Perfect 👍🇺🇲
Past year,y***a (384),Perfect for large tablet Pleased with purchase
More than a year ago,6***g (163),Received as described. Metal is better than plastic construction.
Past 6 months,w***l,tahnks !!!!!!!!!!!!!!!!!!
Past 6 months,e***g,Great! Thanks!
Past year,0***2 (67),Perfect product
Past year,c***a (1279),Seller was great in this transaction and items were as described.
