review_date,reviewer_name,reviewer_comment
Past 6 months,*****,it's good quality stand and solve the purpose. I recommend this stand.
Past year,*****,"Quality for price was pretty good. Went together easy. Sturdy, adjustable height. Works well."
Past 6 months,*****,easy to assble strong and good altitute to put my traktor
Past year,*****,"Easy to adjust and assemble, small footprint on desktop, great price and FAST shipping!"
Past 6 months,*****,"Sturdy, efficient and reasonable price. Looks great too!!"
Past year,*****,I bought this for my husband who works on our kitchen raised counter. It looks neat and clean and works very well holding his large laptop.
Past year,*****,Very nice item. Installed within minutes. Easy instructions.
Past month,*****,Great product . As described. Quick shipping
Past 6 months,*****,Works great! Fits perfectly where I need it! Thanks!
Past year,*****,everything went fine. excellent quality product
Past month,*****,Perfect size and finish
Past 6 months,*****,Works great.
More than a year ago,*****,"I'm thrilled with my purchase. I had bought a 16"" laptop to replace my old, outdated iMac desktop and found myself missing the desktop terribly. I missed using a conventional wireless keyboard and mouse, and didn't feel comfortable with the laptop touchpad. I knew the solution was to raise the height of the laptop and pair my former keyboard and mouse via bluetooth. Thanks to the stand, it worked so well that I've decided to take the stand with me when I visit my home on Aruba this winter."
Past 6 months,*****,"Screws were missing, but they sent them quickly the next week"
Past year,*****,"Great product, great price and fast shipping. Thanks!"
Past year,*****,"Fair price, good product"
Past year,*****,Great quality
Past year,*****,Delivered withoutbissue. Shipping was quick. Setup was a breeze.
Past year,*****,Item was shipped fast and very well described. Great item and recommended. Excellent seller. Thank you!
Past 6 months,*****,great seller
Past 6 months,*****,Quick shipping
Past year,*****,Great Product Buy again A +++++++++++++
Past year,*****,"Good, same as looks"
More than a year ago,*****,Excelente mercancía en tremendas condiciones y llegó bien rápido.
Past 6 months,*****,It would really help me
Past 6 months,*****,thanks
Past 6 months,*****,‎
Past 6 months,*****,Fast and accurate
Past year,*****,It is what I ordered
Past year,*****,"A+ Seller! Came on time, as described and well packaged! Would buy from again"
Past year,*****,"Great price, quick delivery. Would definitely recommend"
Past year,*****,Item is exactly as described. Very prompt delivery. Thank you.
Past year,*****,Item arrived on time and as expected.
Past year,*****,Excellent
Past year,*****,arrived on time as described
Past year,*****,Item looks like the photo.
Past year,*****,Was great!
Past year,*****,Arrived in time with no issues
Past year,*****,Great seller!!!
Past year,*****,As discribed
Past year,*****,Thank you
Past year,*****,Thank you
More than a year ago,*****,"item is perfect, would buy from again. Thanks!"
Past year,*****,It's perfect
More than a year ago,*****,Great. Easy to assemble. Saves a lot of desk top space.
Past year,*****,Perfect
More than a year ago,*****,The First stand was damaged. I contacted the seller and they sent me another one. The second one works fine. I appreciate the quick response and the customer service.
More than a year ago,*****,Great item and super fast shipping
Past year,*****,",¸¸,ø¤º°`°º¤ø(¯`'•.¸FUNKTABULOUS¸.•'´¯)¸,ø¤º°`°º¤ø,¸¸."
More than a year ago,*****,"Product is exactly as photographed. Well packaged. Recommend a 1 page schematic showing how the parts screw together. Easy to figure out, just nice to have as a courtesy."
More than a year ago,*****,Arrive on time and excellent stand
More than a year ago,*****,Good quality
More than a year ago,*****,Nice product seems durable����
More than a year ago,*****,Works great
More than a year ago,*****,Nice Product and fast shipping.
More than a year ago,*****,Nice high quality product. Thank you
Past year,*****,Thanks
More than a year ago,*****,Great Stand ����
More than a year ago,*****,Heavy duty stand works great. 1 day shipping!! Thanks!!!
More than a year ago,*****,best price on ebay
More than a year ago,*****,Nice stand.
More than a year ago,*****,Great seller with speedy shipping and the product was as described.
More than a year ago,*****,(¯`'•.¸(¯`'•.¸(¯`'•.¸ Great eBayer - Highly recommended.•'´¯)¸.•'´¯)¸.•'´¯)
More than a year ago,*****,The stand was not quite what i needed (an issue on my part). It arrived quickly and the return was easy.
More than a year ago,*****,Quick shipping. Great Item !!!
More than a year ago,*****,"FAST DELIVERY, GOOD PACKAGING, NICE PRODUCT, GREAT SELLER. THANK YOU"
More than a year ago,*****,Outstanding in every way
More than a year ago,*****,A+ seller
More than a year ago,*****,Arrived just as described. Excellent seller! Thanks a lot!
More than a year ago,*****,Excellent Product
More than a year ago,*****,Thank you! Fast shipping!
More than a year ago,*****,Awesome product!
More than a year ago,*****,Excellent!
More than a year ago,*****,Great item! A++++
More than a year ago,*****,Great service
More than a year ago,*****,It's great
More than a year ago,*****,"Just as described, also very fast shipping. Highly recommend"
More than a year ago,*****,Thanks for sending this.
More than a year ago,*****,Item As Described. Thanks!
More than a year ago,*****,Excellent! Just what I wanted.
More than a year ago,*****,Great AAA+++
More than a year ago,*****,"The seller poorly packed the product. They use thin envelope to pack the product instead card box. The product was damaged when arrive at the mailbox thereby destroyed some other mails in my mailbox. They shipped the product using Post Office network.Reply from: america-8118I'm curious as to how my coworder can make a 4 lb(13*12*3 box) aluminum laptop stand into a thin envelope. and besides too strong,no other characteristics,won't melt and no smell,so how to destroyed your other mails?if there is a misunderstanding ,please answer our email ,we always here for you!"
More than a year ago,*****,Great job
More than a year ago,*****,Thanks
More than a year ago,*****,Good experience
More than a year ago,*****,Exactly as described and arrived quickly
More than a year ago,*****,Great seller. Product came as advertised.
More than a year ago,*****,Exelent service very happy!!!!!!
More than a year ago,*****,The vendor is recommendable. The product arrived at an acceptable time. The price was right.
More than a year ago,*****,great product
More than a year ago,*****,Fast shipping Good price thank you
More than a year ago,*****,Excellent Ebuyer
More than a year ago,*****,ok
More than a year ago,*****,Nice stand
