Store,Product Type,Brand,Product Name,Price,Features,Specification,Reviewer Name,Review Date,Rating,Reviewer Comment
Ebay,Phones,Motorola,Motorola Moto X Pure Edition XT1575 5.7 - 16GB 32GB 64GB Unlocked Smartphone,44985.0,"5.7"" Quad HD display + stereo sound: Immerse yourself in entertainment with a vivid, edge-to-edge display that’s enhanced by rich stereo sound. 21 MP camera: Take crystal-clear pictures and get great results in any light. TurboPower charging: Get the world’s fastest charging with TurboPower technology for up to 10 hours of power in just 15 minutes of charging. All-day battery: Power through the day without stopping to recharge. Advanced water protection: Never let spills, splashes, or rain stand in the way of using your phone.","MOTOROLA MOTO X PURE EDITION XT1575 Stunning 5.7' Quad borderless display on a device that's extremely comfortable to hold. Hyper-intelligent 21 MP camera with enhanced focusing technology, zero shutter lag and a colon adjusting flash for the fastest capture and best images. All day battery life (30+ hrs.) that can be turbo powered to give you 10 hours on a 15 min charge. Pure android experience with innovative Motorola enhancement. Supports all major NA carriers. CHOOSE fromBlackORWHITE Front Face Cover CHOOSE from16GB,32GBOR64GB  **IMPORTANT NOTE: BACK CASING COLOR Will Vary on ALL**",Reviewer_1,01-08-2024,,I have yet to try it. However likely need to see as backup which even if unlocked it will work with. However I do have to wait. Likely will work but some unlocked since merger are under Roam. Packed well cost efficient and a lot of work from seller. Looks good just need to wait because present phone is not doing well so likely good condition and manufacturer is decent a good quality android
Ebay,Phones,Motorola,Motorola Moto X Pure Edition XT1575 5.7 - 16GB 32GB 64GB Unlocked Smartphone,44985.0,"5.7"" Quad HD display + stereo sound: Immerse yourself in entertainment with a vivid, edge-to-edge display that’s enhanced by rich stereo sound. 21 MP camera: Take crystal-clear pictures and get great results in any light. TurboPower charging: Get the world’s fastest charging with TurboPower technology for up to 10 hours of power in just 15 minutes of charging. All-day battery: Power through the day without stopping to recharge. Advanced water protection: Never let spills, splashes, or rain stand in the way of using your phone.","MOTOROLA MOTO X PURE EDITION XT1575 Stunning 5.7' Quad borderless display on a device that's extremely comfortable to hold. Hyper-intelligent 21 MP camera with enhanced focusing technology, zero shutter lag and a colon adjusting flash for the fastest capture and best images. All day battery life (30+ hrs.) that can be turbo powered to give you 10 hours on a 15 min charge. Pure android experience with innovative Motorola enhancement. Supports all major NA carriers. CHOOSE fromBlackORWHITE Front Face Cover CHOOSE from16GB,32GBOR64GB  **IMPORTANT NOTE: BACK CASING COLOR Will Vary on ALL**",Reviewer_2,01-08-2024,,"Just like I remember it...except not white, green, and red. Also, two negatives: getting stuff installed on this version of Android 6.0 was a pain, and the back was coming off out of the box. I also count that as a bit of a positive, though, since it means the battery was replaced. I was not looking forward to that job. But hey, new battery! phone was also in almost mint condition with just a touch of wear around the SIM slot. Beautiful."
Ebay,Phones,Motorola,Motorola Moto X Pure Edition XT1575 5.7 - 16GB 32GB 64GB Unlocked Smartphone,44985.0,"5.7"" Quad HD display + stereo sound: Immerse yourself in entertainment with a vivid, edge-to-edge display that’s enhanced by rich stereo sound. 21 MP camera: Take crystal-clear pictures and get great results in any light. TurboPower charging: Get the world’s fastest charging with TurboPower technology for up to 10 hours of power in just 15 minutes of charging. All-day battery: Power through the day without stopping to recharge. Advanced water protection: Never let spills, splashes, or rain stand in the way of using your phone.","MOTOROLA MOTO X PURE EDITION XT1575 Stunning 5.7' Quad borderless display on a device that's extremely comfortable to hold. Hyper-intelligent 21 MP camera with enhanced focusing technology, zero shutter lag and a colon adjusting flash for the fastest capture and best images. All day battery life (30+ hrs.) that can be turbo powered to give you 10 hours on a 15 min charge. Pure android experience with innovative Motorola enhancement. Supports all major NA carriers. CHOOSE fromBlackORWHITE Front Face Cover CHOOSE from16GB,32GBOR64GB  **IMPORTANT NOTE: BACK CASING COLOR Will Vary on ALL**",Reviewer_3,01-01-2025,,"The Moto X suffers from design flaws but this is Motorola and Lenovo's fault, not the seller. The phone was in perfect cosmetic condition, making me think this could be New Old Stock or refurbished."
Ebay,Phones,Motorola,Motorola Moto X Pure Edition XT1575 5.7 - 16GB 32GB 64GB Unlocked Smartphone,44985.0,"5.7"" Quad HD display + stereo sound: Immerse yourself in entertainment with a vivid, edge-to-edge display that’s enhanced by rich stereo sound. 21 MP camera: Take crystal-clear pictures and get great results in any light. TurboPower charging: Get the world’s fastest charging with TurboPower technology for up to 10 hours of power in just 15 minutes of charging. All-day battery: Power through the day without stopping to recharge. Advanced water protection: Never let spills, splashes, or rain stand in the way of using your phone.","MOTOROLA MOTO X PURE EDITION XT1575 Stunning 5.7' Quad borderless display on a device that's extremely comfortable to hold. Hyper-intelligent 21 MP camera with enhanced focusing technology, zero shutter lag and a colon adjusting flash for the fastest capture and best images. All day battery life (30+ hrs.) that can be turbo powered to give you 10 hours on a 15 min charge. Pure android experience with innovative Motorola enhancement. Supports all major NA carriers. CHOOSE fromBlackORWHITE Front Face Cover CHOOSE from16GB,32GBOR64GB  **IMPORTANT NOTE: BACK CASING COLOR Will Vary on ALL**",Reviewer_4,01-01-2025,,Received my moto phone on time when promised. Seller communicated with me well. The phone was brand new and works great .
Ebay,Phones,Motorola,Motorola Moto X Pure Edition XT1575 5.7 - 16GB 32GB 64GB Unlocked Smartphone,44985.0,"5.7"" Quad HD display + stereo sound: Immerse yourself in entertainment with a vivid, edge-to-edge display that’s enhanced by rich stereo sound. 21 MP camera: Take crystal-clear pictures and get great results in any light. TurboPower charging: Get the world’s fastest charging with TurboPower technology for up to 10 hours of power in just 15 minutes of charging. All-day battery: Power through the day without stopping to recharge. Advanced water protection: Never let spills, splashes, or rain stand in the way of using your phone.","MOTOROLA MOTO X PURE EDITION XT1575 Stunning 5.7' Quad borderless display on a device that's extremely comfortable to hold. Hyper-intelligent 21 MP camera with enhanced focusing technology, zero shutter lag and a colon adjusting flash for the fastest capture and best images. All day battery life (30+ hrs.) that can be turbo powered to give you 10 hours on a 15 min charge. Pure android experience with innovative Motorola enhancement. Supports all major NA carriers. CHOOSE fromBlackORWHITE Front Face Cover CHOOSE from16GB,32GBOR64GB  **IMPORTANT NOTE: BACK CASING COLOR Will Vary on ALL**",Reviewer_5,01-01-2025,,"I got this phone to play games on like raid shadow legends ,tik tok and so on it isn't capable won't even download raid showed up completely dead i guess it makes calls"
Ebay,Phones,Motorola,Motorola Moto X Pure Edition XT1575 5.7 - 16GB 32GB 64GB Unlocked Smartphone,44985.0,"5.7"" Quad HD display + stereo sound: Immerse yourself in entertainment with a vivid, edge-to-edge display that’s enhanced by rich stereo sound. 21 MP camera: Take crystal-clear pictures and get great results in any light. TurboPower charging: Get the world’s fastest charging with TurboPower technology for up to 10 hours of power in just 15 minutes of charging. All-day battery: Power through the day without stopping to recharge. Advanced water protection: Never let spills, splashes, or rain stand in the way of using your phone.","MOTOROLA MOTO X PURE EDITION XT1575 Stunning 5.7' Quad borderless display on a device that's extremely comfortable to hold. Hyper-intelligent 21 MP camera with enhanced focusing technology, zero shutter lag and a colon adjusting flash for the fastest capture and best images. All day battery life (30+ hrs.) that can be turbo powered to give you 10 hours on a 15 min charge. Pure android experience with innovative Motorola enhancement. Supports all major NA carriers. CHOOSE fromBlackORWHITE Front Face Cover CHOOSE from16GB,32GBOR64GB  **IMPORTANT NOTE: BACK CASING COLOR Will Vary on ALL**",Reviewer_6,01-01-2025,,"Nice phone, arrived in perfect condition."
Ebay,Phones,Motorola,Motorola Moto X Pure Edition XT1575 5.7 - 16GB 32GB 64GB Unlocked Smartphone,44985.0,"5.7"" Quad HD display + stereo sound: Immerse yourself in entertainment with a vivid, edge-to-edge display that’s enhanced by rich stereo sound. 21 MP camera: Take crystal-clear pictures and get great results in any light. TurboPower charging: Get the world’s fastest charging with TurboPower technology for up to 10 hours of power in just 15 minutes of charging. All-day battery: Power through the day without stopping to recharge. Advanced water protection: Never let spills, splashes, or rain stand in the way of using your phone.","MOTOROLA MOTO X PURE EDITION XT1575 Stunning 5.7' Quad borderless display on a device that's extremely comfortable to hold. Hyper-intelligent 21 MP camera with enhanced focusing technology, zero shutter lag and a colon adjusting flash for the fastest capture and best images. All day battery life (30+ hrs.) that can be turbo powered to give you 10 hours on a 15 min charge. Pure android experience with innovative Motorola enhancement. Supports all major NA carriers. CHOOSE fromBlackORWHITE Front Face Cover CHOOSE from16GB,32GBOR64GB  **IMPORTANT NOTE: BACK CASING COLOR Will Vary on ALL**",Reviewer_7,01-01-2025,,"The cell phone is in excellent condition, it is very nice and I like it a lot. I am very satisfied with the purchase."
Ebay,Phones,Motorola,Motorola Moto X Pure Edition XT1575 5.7 - 16GB 32GB 64GB Unlocked Smartphone,44985.0,"5.7"" Quad HD display + stereo sound: Immerse yourself in entertainment with a vivid, edge-to-edge display that’s enhanced by rich stereo sound. 21 MP camera: Take crystal-clear pictures and get great results in any light. TurboPower charging: Get the world’s fastest charging with TurboPower technology for up to 10 hours of power in just 15 minutes of charging. All-day battery: Power through the day without stopping to recharge. Advanced water protection: Never let spills, splashes, or rain stand in the way of using your phone.","MOTOROLA MOTO X PURE EDITION XT1575 Stunning 5.7' Quad borderless display on a device that's extremely comfortable to hold. Hyper-intelligent 21 MP camera with enhanced focusing technology, zero shutter lag and a colon adjusting flash for the fastest capture and best images. All day battery life (30+ hrs.) that can be turbo powered to give you 10 hours on a 15 min charge. Pure android experience with innovative Motorola enhancement. Supports all major NA carriers. CHOOSE fromBlackORWHITE Front Face Cover CHOOSE from16GB,32GBOR64GB  **IMPORTANT NOTE: BACK CASING COLOR Will Vary on ALL**",Reviewer_8,01-08-2024,,"The first phone was damaged in shipping, replacement was delayed due to the shipper delays and the second phone battery did not hold up. Seller refunded after the second phone was returned"
Ebay,Phones,Motorola,Motorola Moto X Pure Edition XT1575 5.7 - 16GB 32GB 64GB Unlocked Smartphone,44985.0,"5.7"" Quad HD display + stereo sound: Immerse yourself in entertainment with a vivid, edge-to-edge display that’s enhanced by rich stereo sound. 21 MP camera: Take crystal-clear pictures and get great results in any light. TurboPower charging: Get the world’s fastest charging with TurboPower technology for up to 10 hours of power in just 15 minutes of charging. All-day battery: Power through the day without stopping to recharge. Advanced water protection: Never let spills, splashes, or rain stand in the way of using your phone.","MOTOROLA MOTO X PURE EDITION XT1575 Stunning 5.7' Quad borderless display on a device that's extremely comfortable to hold. Hyper-intelligent 21 MP camera with enhanced focusing technology, zero shutter lag and a colon adjusting flash for the fastest capture and best images. All day battery life (30+ hrs.) that can be turbo powered to give you 10 hours on a 15 min charge. Pure android experience with innovative Motorola enhancement. Supports all major NA carriers. CHOOSE fromBlackORWHITE Front Face Cover CHOOSE from16GB,32GBOR64GB  **IMPORTANT NOTE: BACK CASING COLOR Will Vary on ALL**",Reviewer_9,01-01-2025,,working as we speak excellent item will go again. A+++
Ebay,Phones,Motorola,Motorola Moto X Pure Edition XT1575 5.7 - 16GB 32GB 64GB Unlocked Smartphone,44985.0,"5.7"" Quad HD display + stereo sound: Immerse yourself in entertainment with a vivid, edge-to-edge display that’s enhanced by rich stereo sound. 21 MP camera: Take crystal-clear pictures and get great results in any light. TurboPower charging: Get the world’s fastest charging with TurboPower technology for up to 10 hours of power in just 15 minutes of charging. All-day battery: Power through the day without stopping to recharge. Advanced water protection: Never let spills, splashes, or rain stand in the way of using your phone.","MOTOROLA MOTO X PURE EDITION XT1575 Stunning 5.7' Quad borderless display on a device that's extremely comfortable to hold. Hyper-intelligent 21 MP camera with enhanced focusing technology, zero shutter lag and a colon adjusting flash for the fastest capture and best images. All day battery life (30+ hrs.) that can be turbo powered to give you 10 hours on a 15 min charge. Pure android experience with innovative Motorola enhancement. Supports all major NA carriers. CHOOSE fromBlackORWHITE Front Face Cover CHOOSE from16GB,32GBOR64GB  **IMPORTANT NOTE: BACK CASING COLOR Will Vary on ALL**",Reviewer_10,01-01-2025,,"Good quality...good price...I'm using it now,thank you."
