reviewer_name,reviewer_header_comment,reviewer_detail_comment,review_date,product_star,product_name,price,features,specification
Michael,work on the battery durability,Got what I ordered for,17-02-2025,4 out of 5,"Nokia 105_African Edition,1.77"",4MB/4MB,800MAh, Dual Sim- Charcoal",12466,​1.77 inchMicro-USB (USB 1.1)Internal storage:4 MBRAM:4 MBFM Wireless Radio,SKU: NO891MP2P3XKFNAFAMZProduct Line: Were Deals Phones NG - 1 ACModel: 105_African EditionWeight (kg): 0.17Color: CharcoalShop Type: Jumia Mall
Tobi Oyedipe,Perfect,Neat and well packaged phone,14-02-2025,5 out of 5,"Nokia 105_African Edition,1.77"",4MB/4MB,800MAh, Dual Sim- Charcoal",12466,​1.77 inchMicro-USB (USB 1.1)Internal storage:4 MBRAM:4 MBFM Wireless Radio,SKU: NO891MP2P3XKFNAFAMZProduct Line: Were Deals Phones NG - 1 ACModel: 105_African EditionWeight (kg): 0.17Color: CharcoalShop Type: Jumia Mall
Kayode,I like it,Very good,14-02-2025,5 out of 5,"Nokia 105_African Edition,1.77"",4MB/4MB,800MAh, Dual Sim- Charcoal",12466,​1.77 inchMicro-USB (USB 1.1)Internal storage:4 MBRAM:4 MBFM Wireless Radio,SKU: NO891MP2P3XKFNAFAMZProduct Line: Were Deals Phones NG - 1 ACModel: 105_African EditionWeight (kg): 0.17Color: CharcoalShop Type: Jumia Mall
YAHYA,I like it,Always a good Product..,14-02-2025,5 out of 5,"Nokia 105_African Edition,1.77"",4MB/4MB,800MAh, Dual Sim- Charcoal",12466,​1.77 inchMicro-USB (USB 1.1)Internal storage:4 MBRAM:4 MBFM Wireless Radio,SKU: NO891MP2P3XKFNAFAMZProduct Line: Were Deals Phones NG - 1 ACModel: 105_African EditionWeight (kg): 0.17Color: CharcoalShop Type: Jumia Mall
Rainy,Good Enough,Nice shape and smooth..  Serves the purpose . ????????,12-02-2025,4 out of 5,"Nokia 105_African Edition,1.77"",4MB/4MB,800MAh, Dual Sim- Charcoal",12466,​1.77 inchMicro-USB (USB 1.1)Internal storage:4 MBRAM:4 MBFM Wireless Radio,SKU: NO891MP2P3XKFNAFAMZProduct Line: Were Deals Phones NG - 1 ACModel: 105_African EditionWeight (kg): 0.17Color: CharcoalShop Type: Jumia Mall
oseghale,good phone,"This Nokia phone is perfect and user friendly, but the battery is not strong to my satisfaction ,, anyway its lovely",12-02-2025,5 out of 5,"Nokia 105_African Edition,1.77"",4MB/4MB,800MAh, Dual Sim- Charcoal",12466,​1.77 inchMicro-USB (USB 1.1)Internal storage:4 MBRAM:4 MBFM Wireless Radio,SKU: NO891MP2P3XKFNAFAMZProduct Line: Were Deals Phones NG - 1 ACModel: 105_African EditionWeight (kg): 0.17Color: CharcoalShop Type: Jumia Mall
Uwagboe,justgood,Could do better with the battery,11-02-2025,3 out of 5,"Nokia 105_African Edition,1.77"",4MB/4MB,800MAh, Dual Sim- Charcoal",12466,​1.77 inchMicro-USB (USB 1.1)Internal storage:4 MBRAM:4 MBFM Wireless Radio,SKU: NO891MP2P3XKFNAFAMZProduct Line: Were Deals Phones NG - 1 ACModel: 105_African EditionWeight (kg): 0.17Color: CharcoalShop Type: Jumia Mall
Abdulwasiu Aliyu,I like it,"Love the texture and smooth navigation buttons. The flash lights comes in handy, both the sound and vibration touch are classic.",10-02-2025,5 out of 5,"Nokia 105_African Edition,1.77"",4MB/4MB,800MAh, Dual Sim- Charcoal",12466,​1.77 inchMicro-USB (USB 1.1)Internal storage:4 MBRAM:4 MBFM Wireless Radio,SKU: NO891MP2P3XKFNAFAMZProduct Line: Were Deals Phones NG - 1 ACModel: 105_African EditionWeight (kg): 0.17Color: CharcoalShop Type: Jumia Mall
Owoyemi,Nice product,It's a good phone,06-02-2025,5 out of 5,"Nokia 105_African Edition,1.77"",4MB/4MB,800MAh, Dual Sim- Charcoal",12466,​1.77 inchMicro-USB (USB 1.1)Internal storage:4 MBRAM:4 MBFM Wireless Radio,SKU: NO891MP2P3XKFNAFAMZProduct Line: Were Deals Phones NG - 1 ACModel: 105_African EditionWeight (kg): 0.17Color: CharcoalShop Type: Jumia Mall
Ridwan,Cool,Working perfectly,04-02-2025,5 out of 5,"Nokia 105_African Edition,1.77"",4MB/4MB,800MAh, Dual Sim- Charcoal",12466,​1.77 inchMicro-USB (USB 1.1)Internal storage:4 MBRAM:4 MBFM Wireless Radio,SKU: NO891MP2P3XKFNAFAMZProduct Line: Were Deals Phones NG - 1 ACModel: 105_African EditionWeight (kg): 0.17Color: CharcoalShop Type: Jumia Mall
