Store,Product Type,Brand,Product Name,Price,Features,Specification,Reviewer Name,Review Date,Rating,Reviewer Comment
Jumia Nigeria,Phones,Samsung,Samsung Galaxy Note 9 Single Sim 128gb/6gb 6.4'' Black,280003,"6.4 inches Super AMOLED QHD+ capacitive touchscreenQualcomm SDM845 Snapdragon 845Octa-core (4x2.8 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver)(8GB RAM, 512GB), Hybrid Dual SIM (Nano-SIM, dual stand-by)Android 8.1 (Oreo)Rear Camera: Dual 12 MP ( f/1.5-2.4, 26mm, 1/2.55"", 1.4µm) + 12MP ( f/2.4, 52mm, 1/3.6"", 1µm) AF, OIS, 2x optical zoomFront Camera: 8MP (f/1.7, 25mm, 1/3.6"", 1.22µm, AF)Iris scanner, fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer, heart rate, SpO2Non-removable Li-Ion 4000mAh battery","SKU: SA948MP48U5P4NAFAMZProduct Line: EK COMMUNICATIONModel: Galaxy Note 9Production Country: Korea, Republic ofSize (L x W x H cm): Dimensions 161.9x76.4x 8.8mmWeight (kg): 0.5Color: BlackMain Material: N/AShop Type: Jumia Mall",Austonish,28-11-2024,4 out of 5,absolute Good stuff Should make it easier to update software with mobile data rather than going to service centre thanks
Jumia Nigeria,Phones,Samsung,Samsung Galaxy Note 9 Single Sim 128gb/6gb 6.4'' Black,280003,"6.4 inches Super AMOLED QHD+ capacitive touchscreenQualcomm SDM845 Snapdragon 845Octa-core (4x2.8 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver)(8GB RAM, 512GB), Hybrid Dual SIM (Nano-SIM, dual stand-by)Android 8.1 (Oreo)Rear Camera: Dual 12 MP ( f/1.5-2.4, 26mm, 1/2.55"", 1.4µm) + 12MP ( f/2.4, 52mm, 1/3.6"", 1µm) AF, OIS, 2x optical zoomFront Camera: 8MP (f/1.7, 25mm, 1/3.6"", 1.22µm, AF)Iris scanner, fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer, heart rate, SpO2Non-removable Li-Ion 4000mAh battery","SKU: SA948MP48U5P4NAFAMZProduct Line: EK COMMUNICATIONModel: Galaxy Note 9Production Country: Korea, Republic ofSize (L x W x H cm): Dimensions 161.9x76.4x 8.8mmWeight (kg): 0.5Color: BlackMain Material: N/AShop Type: Jumia Mall",David,28-08-2024,4 out of 5,"Great Purchase! The phone exceeded my expectations only that the charger was not original, had to get another. 
Overall, i'm loving !"
Jumia Nigeria,Phones,Samsung,Samsung Galaxy Note 9 Single Sim 128gb/6gb 6.4'' Black,280003,"6.4 inches Super AMOLED QHD+ capacitive touchscreenQualcomm SDM845 Snapdragon 845Octa-core (4x2.8 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver)(8GB RAM, 512GB), Hybrid Dual SIM (Nano-SIM, dual stand-by)Android 8.1 (Oreo)Rear Camera: Dual 12 MP ( f/1.5-2.4, 26mm, 1/2.55"", 1.4µm) + 12MP ( f/2.4, 52mm, 1/3.6"", 1µm) AF, OIS, 2x optical zoomFront Camera: 8MP (f/1.7, 25mm, 1/3.6"", 1.22µm, AF)Iris scanner, fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer, heart rate, SpO2Non-removable Li-Ion 4000mAh battery","SKU: SA948MP48U5P4NAFAMZProduct Line: EK COMMUNICATIONModel: Galaxy Note 9Production Country: Korea, Republic ofSize (L x W x H cm): Dimensions 161.9x76.4x 8.8mmWeight (kg): 0.5Color: BlackMain Material: N/AShop Type: Jumia Mall",Adeola S,21-08-2024,5 out of 5,Fast The phone is very fast and the screen brightness is top notch.
Jumia Nigeria,Phones,Samsung,Samsung Galaxy Note 9 Single Sim 128gb/6gb 6.4'' Black,280003,"6.4 inches Super AMOLED QHD+ capacitive touchscreenQualcomm SDM845 Snapdragon 845Octa-core (4x2.8 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver)(8GB RAM, 512GB), Hybrid Dual SIM (Nano-SIM, dual stand-by)Android 8.1 (Oreo)Rear Camera: Dual 12 MP ( f/1.5-2.4, 26mm, 1/2.55"", 1.4µm) + 12MP ( f/2.4, 52mm, 1/3.6"", 1µm) AF, OIS, 2x optical zoomFront Camera: 8MP (f/1.7, 25mm, 1/3.6"", 1.22µm, AF)Iris scanner, fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer, heart rate, SpO2Non-removable Li-Ion 4000mAh battery","SKU: SA948MP48U5P4NAFAMZProduct Line: EK COMMUNICATIONModel: Galaxy Note 9Production Country: Korea, Republic ofSize (L x W x H cm): Dimensions 161.9x76.4x 8.8mmWeight (kg): 0.5Color: BlackMain Material: N/AShop Type: Jumia Mall",Immaculata,05-08-2024,3 out of 5,"use more durable appliances The phone is working quite well so far but the charger is inferior and overheats from day one, the earpiece too is not functioning and there's no 
pen inside."
Jumia Nigeria,Phones,Samsung,Samsung Galaxy Note 9 Single Sim 128gb/6gb 6.4'' Black,280003,"6.4 inches Super AMOLED QHD+ capacitive touchscreenQualcomm SDM845 Snapdragon 845Octa-core (4x2.8 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver)(8GB RAM, 512GB), Hybrid Dual SIM (Nano-SIM, dual stand-by)Android 8.1 (Oreo)Rear Camera: Dual 12 MP ( f/1.5-2.4, 26mm, 1/2.55"", 1.4µm) + 12MP ( f/2.4, 52mm, 1/3.6"", 1µm) AF, OIS, 2x optical zoomFront Camera: 8MP (f/1.7, 25mm, 1/3.6"", 1.22µm, AF)Iris scanner, fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer, heart rate, SpO2Non-removable Li-Ion 4000mAh battery","SKU: SA948MP48U5P4NAFAMZProduct Line: EK COMMUNICATIONModel: Galaxy Note 9Production Country: Korea, Republic ofSize (L x W x H cm): Dimensions 161.9x76.4x 8.8mmWeight (kg): 0.5Color: BlackMain Material: N/AShop Type: Jumia Mall",Gid,16-07-2024,5 out of 5,"Perfect! So far so good, the device is serving its purpose perfectly"
Jumia Nigeria,Phones,Samsung,Samsung Galaxy Note 9 Single Sim 128gb/6gb 6.4'' Black,280003,"6.4 inches Super AMOLED QHD+ capacitive touchscreenQualcomm SDM845 Snapdragon 845Octa-core (4x2.8 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver)(8GB RAM, 512GB), Hybrid Dual SIM (Nano-SIM, dual stand-by)Android 8.1 (Oreo)Rear Camera: Dual 12 MP ( f/1.5-2.4, 26mm, 1/2.55"", 1.4µm) + 12MP ( f/2.4, 52mm, 1/3.6"", 1µm) AF, OIS, 2x optical zoomFront Camera: 8MP (f/1.7, 25mm, 1/3.6"", 1.22µm, AF)Iris scanner, fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer, heart rate, SpO2Non-removable Li-Ion 4000mAh battery","SKU: SA948MP48U5P4NAFAMZProduct Line: EK COMMUNICATIONModel: Galaxy Note 9Production Country: Korea, Republic ofSize (L x W x H cm): Dimensions 161.9x76.4x 8.8mmWeight (kg): 0.5Color: BlackMain Material: N/AShop Type: Jumia Mall",Ayo Julius,02-04-2024,5 out of 5,Good Working perfectly
Jumia Nigeria,Phones,Samsung,Samsung Galaxy Note 9 Single Sim 128gb/6gb 6.4'' Black,280003,"6.4 inches Super AMOLED QHD+ capacitive touchscreenQualcomm SDM845 Snapdragon 845Octa-core (4x2.8 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver)(8GB RAM, 512GB), Hybrid Dual SIM (Nano-SIM, dual stand-by)Android 8.1 (Oreo)Rear Camera: Dual 12 MP ( f/1.5-2.4, 26mm, 1/2.55"", 1.4µm) + 12MP ( f/2.4, 52mm, 1/3.6"", 1µm) AF, OIS, 2x optical zoomFront Camera: 8MP (f/1.7, 25mm, 1/3.6"", 1.22µm, AF)Iris scanner, fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer, heart rate, SpO2Non-removable Li-Ion 4000mAh battery","SKU: SA948MP48U5P4NAFAMZProduct Line: EK COMMUNICATIONModel: Galaxy Note 9Production Country: Korea, Republic ofSize (L x W x H cm): Dimensions 161.9x76.4x 8.8mmWeight (kg): 0.5Color: BlackMain Material: N/AShop Type: Jumia Mall",Obinna Madubuko,06-12-2023,5 out of 5,"Awsome I love it, good stuff"
Jumia Nigeria,Phones,Samsung,Samsung Galaxy Note 9 Single Sim 128gb/6gb 6.4'' Black,280003,"6.4 inches Super AMOLED QHD+ capacitive touchscreenQualcomm SDM845 Snapdragon 845Octa-core (4x2.8 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver)(8GB RAM, 512GB), Hybrid Dual SIM (Nano-SIM, dual stand-by)Android 8.1 (Oreo)Rear Camera: Dual 12 MP ( f/1.5-2.4, 26mm, 1/2.55"", 1.4µm) + 12MP ( f/2.4, 52mm, 1/3.6"", 1µm) AF, OIS, 2x optical zoomFront Camera: 8MP (f/1.7, 25mm, 1/3.6"", 1.22µm, AF)Iris scanner, fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer, heart rate, SpO2Non-removable Li-Ion 4000mAh battery","SKU: SA948MP48U5P4NAFAMZProduct Line: EK COMMUNICATIONModel: Galaxy Note 9Production Country: Korea, Republic ofSize (L x W x H cm): Dimensions 161.9x76.4x 8.8mmWeight (kg): 0.5Color: BlackMain Material: N/AShop Type: Jumia Mall",Oprite,23-10-2023,5 out of 5,It worked perfectly and is African version Samsung should step up the android version to android 14 Samsung galaxy note9 is a great phone
Jumia Nigeria,Phones,Samsung,Samsung Galaxy Note 9 Single Sim 128gb/6gb 6.4'' Black,280003,"6.4 inches Super AMOLED QHD+ capacitive touchscreenQualcomm SDM845 Snapdragon 845Octa-core (4x2.8 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver)(8GB RAM, 512GB), Hybrid Dual SIM (Nano-SIM, dual stand-by)Android 8.1 (Oreo)Rear Camera: Dual 12 MP ( f/1.5-2.4, 26mm, 1/2.55"", 1.4µm) + 12MP ( f/2.4, 52mm, 1/3.6"", 1µm) AF, OIS, 2x optical zoomFront Camera: 8MP (f/1.7, 25mm, 1/3.6"", 1.22µm, AF)Iris scanner, fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer, heart rate, SpO2Non-removable Li-Ion 4000mAh battery","SKU: SA948MP48U5P4NAFAMZProduct Line: EK COMMUNICATIONModel: Galaxy Note 9Production Country: Korea, Republic ofSize (L x W x H cm): Dimensions 161.9x76.4x 8.8mmWeight (kg): 0.5Color: BlackMain Material: N/AShop Type: Jumia Mall",Moses,28-09-2023,5 out of 5,"Best phone,  camera everything 100%"
Jumia Nigeria,Phones,Samsung,Samsung Galaxy Note 9 Single Sim 128gb/6gb 6.4'' Black,280003,"6.4 inches Super AMOLED QHD+ capacitive touchscreenQualcomm SDM845 Snapdragon 845Octa-core (4x2.8 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver)(8GB RAM, 512GB), Hybrid Dual SIM (Nano-SIM, dual stand-by)Android 8.1 (Oreo)Rear Camera: Dual 12 MP ( f/1.5-2.4, 26mm, 1/2.55"", 1.4µm) + 12MP ( f/2.4, 52mm, 1/3.6"", 1µm) AF, OIS, 2x optical zoomFront Camera: 8MP (f/1.7, 25mm, 1/3.6"", 1.22µm, AF)Iris scanner, fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer, heart rate, SpO2Non-removable Li-Ion 4000mAh battery","SKU: SA948MP48U5P4NAFAMZProduct Line: EK COMMUNICATIONModel: Galaxy Note 9Production Country: Korea, Republic ofSize (L x W x H cm): Dimensions 161.9x76.4x 8.8mmWeight (kg): 0.5Color: BlackMain Material: N/AShop Type: Jumia Mall",Akachukwu,07-11-2022,5 out of 5,"Perfect! It was made for ""Africa"" unlike my previous Galaxy Note 9"
