Store,Product Type,Brand,Product Name,Price,Features,Specification,Reviewer Name,Review Date,Rating,Reviewer Comment
Jumia Nigeria,Phones,Samsung,"Samsung Galaxy S10 Plus (S10+) 6.4-Inch AMOLED (8GB, 128GB ROM) (12MP + 12MP + 16MP)+(10MP+8MP) Single SIM  4G Smartphone - Black",370000,"6.4inches Dynamic AMOLED capacitive touchscreen, 16M colorsAndroid 9.0 (Pie); One UIExynos 9820 Octa (8 nm)Octa-core (2x2.7 GHz Mongoose M4 & 2x2.3 GHz Cortex-A75 & 4x1.9 GHz Cortex-A55)128 GB, 8GB RAM，microSD, up to 512 GB (uses SIM 2 slot)12 MP, f/1.5-2.4, 26mm (wide), 1/2.55"", 1.4µm, Dual Pixel PDAF, OIS12 MP, f/2.4, 52mm (telephoto), 1/3.6"", 1.0µm, AF, OIS, 2x optical zoom16 MP, f/2.2, 12mm (ultrawide)Fingerprint (under display), accelerometer, gyro, proximity, compass, barometer, heart rate, SpO2Non-removable Li-Ion 4100 mAh battery","SKU: SA948MP1I0PXHNAFAMZProduct Line: S & C OHAMA LIMITEDModel: Galaxy S10 Plus (S10 Plus )Production Country: Korea, Democratic People's Republic ofSize (L x W x H cm): 6.4inches Dynamic AMOLEDWeight (kg): 0.15Color: BlackProduct Type: SmartphonesShop Type: Jumia Mall",Oghele,02-01-2025,3 out of 5,"It works fine, but it’s a refurbished phone I’ve been using it and all seems well, it’s an actual s10 but a refurbished phone that the seller tried to pass off as new. The resale value of this is much lower, and the swap value may be nonexistent. But asides that it’s works perfectly"
Jumia Nigeria,Phones,Samsung,"Samsung Galaxy S10 Plus (S10+) 6.4-Inch AMOLED (8GB, 128GB ROM) (12MP + 12MP + 16MP)+(10MP+8MP) Single SIM  4G Smartphone - Black",370000,"6.4inches Dynamic AMOLED capacitive touchscreen, 16M colorsAndroid 9.0 (Pie); One UIExynos 9820 Octa (8 nm)Octa-core (2x2.7 GHz Mongoose M4 & 2x2.3 GHz Cortex-A75 & 4x1.9 GHz Cortex-A55)128 GB, 8GB RAM，microSD, up to 512 GB (uses SIM 2 slot)12 MP, f/1.5-2.4, 26mm (wide), 1/2.55"", 1.4µm, Dual Pixel PDAF, OIS12 MP, f/2.4, 52mm (telephoto), 1/3.6"", 1.0µm, AF, OIS, 2x optical zoom16 MP, f/2.2, 12mm (ultrawide)Fingerprint (under display), accelerometer, gyro, proximity, compass, barometer, heart rate, SpO2Non-removable Li-Ion 4100 mAh battery","SKU: SA948MP1I0PXHNAFAMZProduct Line: S & C OHAMA LIMITEDModel: Galaxy S10 Plus (S10 Plus )Production Country: Korea, Democratic People's Republic ofSize (L x W x H cm): 6.4inches Dynamic AMOLEDWeight (kg): 0.15Color: BlackProduct Type: SmartphonesShop Type: Jumia Mall",isaac,01-07-2024,4 out of 5,It's good Sealed box surprised a part of the camera glass was cracked but apart from that the phone works well and is in good condition
Jumia Nigeria,Phones,Samsung,"Samsung Galaxy S10 Plus (S10+) 6.4-Inch AMOLED (8GB, 128GB ROM) (12MP + 12MP + 16MP)+(10MP+8MP) Single SIM  4G Smartphone - Black",370000,"6.4inches Dynamic AMOLED capacitive touchscreen, 16M colorsAndroid 9.0 (Pie); One UIExynos 9820 Octa (8 nm)Octa-core (2x2.7 GHz Mongoose M4 & 2x2.3 GHz Cortex-A75 & 4x1.9 GHz Cortex-A55)128 GB, 8GB RAM，microSD, up to 512 GB (uses SIM 2 slot)12 MP, f/1.5-2.4, 26mm (wide), 1/2.55"", 1.4µm, Dual Pixel PDAF, OIS12 MP, f/2.4, 52mm (telephoto), 1/3.6"", 1.0µm, AF, OIS, 2x optical zoom16 MP, f/2.2, 12mm (ultrawide)Fingerprint (under display), accelerometer, gyro, proximity, compass, barometer, heart rate, SpO2Non-removable Li-Ion 4100 mAh battery","SKU: SA948MP1I0PXHNAFAMZProduct Line: S & C OHAMA LIMITEDModel: Galaxy S10 Plus (S10 Plus )Production Country: Korea, Democratic People's Republic ofSize (L x W x H cm): 6.4inches Dynamic AMOLEDWeight (kg): 0.15Color: BlackProduct Type: SmartphonesShop Type: Jumia Mall",Fortune Latest Awiniki,05-06-2024,5 out of 5,Good Good
Jumia Nigeria,Phones,Samsung,"Samsung Galaxy S10 Plus (S10+) 6.4-Inch AMOLED (8GB, 128GB ROM) (12MP + 12MP + 16MP)+(10MP+8MP) Single SIM  4G Smartphone - Black",370000,"6.4inches Dynamic AMOLED capacitive touchscreen, 16M colorsAndroid 9.0 (Pie); One UIExynos 9820 Octa (8 nm)Octa-core (2x2.7 GHz Mongoose M4 & 2x2.3 GHz Cortex-A75 & 4x1.9 GHz Cortex-A55)128 GB, 8GB RAM，microSD, up to 512 GB (uses SIM 2 slot)12 MP, f/1.5-2.4, 26mm (wide), 1/2.55"", 1.4µm, Dual Pixel PDAF, OIS12 MP, f/2.4, 52mm (telephoto), 1/3.6"", 1.0µm, AF, OIS, 2x optical zoom16 MP, f/2.2, 12mm (ultrawide)Fingerprint (under display), accelerometer, gyro, proximity, compass, barometer, heart rate, SpO2Non-removable Li-Ion 4100 mAh battery","SKU: SA948MP1I0PXHNAFAMZProduct Line: S & C OHAMA LIMITEDModel: Galaxy S10 Plus (S10 Plus )Production Country: Korea, Democratic People's Republic ofSize (L x W x H cm): 6.4inches Dynamic AMOLEDWeight (kg): 0.15Color: BlackProduct Type: SmartphonesShop Type: Jumia Mall",Philip,29-12-2023,4 out of 5,Great phone with great colours. It is the Snapdragon version. There are two speakers on the top and bottom which you cannot turn off because they play together to create surround sound. It can be annoyingly slippery when scrolling or closing recent apps by mistake. Still a great phone ahead of it's time and better than most of the same price made today.
Jumia Nigeria,Phones,Samsung,"Samsung Galaxy S10 Plus (S10+) 6.4-Inch AMOLED (8GB, 128GB ROM) (12MP + 12MP + 16MP)+(10MP+8MP) Single SIM  4G Smartphone - Black",370000,"6.4inches Dynamic AMOLED capacitive touchscreen, 16M colorsAndroid 9.0 (Pie); One UIExynos 9820 Octa (8 nm)Octa-core (2x2.7 GHz Mongoose M4 & 2x2.3 GHz Cortex-A75 & 4x1.9 GHz Cortex-A55)128 GB, 8GB RAM，microSD, up to 512 GB (uses SIM 2 slot)12 MP, f/1.5-2.4, 26mm (wide), 1/2.55"", 1.4µm, Dual Pixel PDAF, OIS12 MP, f/2.4, 52mm (telephoto), 1/3.6"", 1.0µm, AF, OIS, 2x optical zoom16 MP, f/2.2, 12mm (ultrawide)Fingerprint (under display), accelerometer, gyro, proximity, compass, barometer, heart rate, SpO2Non-removable Li-Ion 4100 mAh battery","SKU: SA948MP1I0PXHNAFAMZProduct Line: S & C OHAMA LIMITEDModel: Galaxy S10 Plus (S10 Plus )Production Country: Korea, Democratic People's Republic ofSize (L x W x H cm): 6.4inches Dynamic AMOLEDWeight (kg): 0.15Color: BlackProduct Type: SmartphonesShop Type: Jumia Mall",Nathaniel,07-09-2023,5 out of 5,verynice I love that the is smart
Jumia Nigeria,Phones,Samsung,"Samsung Galaxy S10 Plus (S10+) 6.4-Inch AMOLED (8GB, 128GB ROM) (12MP + 12MP + 16MP)+(10MP+8MP) Single SIM  4G Smartphone - Black",370000,"6.4inches Dynamic AMOLED capacitive touchscreen, 16M colorsAndroid 9.0 (Pie); One UIExynos 9820 Octa (8 nm)Octa-core (2x2.7 GHz Mongoose M4 & 2x2.3 GHz Cortex-A75 & 4x1.9 GHz Cortex-A55)128 GB, 8GB RAM，microSD, up to 512 GB (uses SIM 2 slot)12 MP, f/1.5-2.4, 26mm (wide), 1/2.55"", 1.4µm, Dual Pixel PDAF, OIS12 MP, f/2.4, 52mm (telephoto), 1/3.6"", 1.0µm, AF, OIS, 2x optical zoom16 MP, f/2.2, 12mm (ultrawide)Fingerprint (under display), accelerometer, gyro, proximity, compass, barometer, heart rate, SpO2Non-removable Li-Ion 4100 mAh battery","SKU: SA948MP1I0PXHNAFAMZProduct Line: S & C OHAMA LIMITEDModel: Galaxy S10 Plus (S10 Plus )Production Country: Korea, Democratic People's Republic ofSize (L x W x H cm): 6.4inches Dynamic AMOLEDWeight (kg): 0.15Color: BlackProduct Type: SmartphonesShop Type: Jumia Mall",Kazeem,24-08-2023,5 out of 5,Very clean and perfect. It was well package
Jumia Nigeria,Phones,Samsung,"Samsung Galaxy S10 Plus (S10+) 6.4-Inch AMOLED (8GB, 128GB ROM) (12MP + 12MP + 16MP)+(10MP+8MP) Single SIM  4G Smartphone - Black",370000,"6.4inches Dynamic AMOLED capacitive touchscreen, 16M colorsAndroid 9.0 (Pie); One UIExynos 9820 Octa (8 nm)Octa-core (2x2.7 GHz Mongoose M4 & 2x2.3 GHz Cortex-A75 & 4x1.9 GHz Cortex-A55)128 GB, 8GB RAM，microSD, up to 512 GB (uses SIM 2 slot)12 MP, f/1.5-2.4, 26mm (wide), 1/2.55"", 1.4µm, Dual Pixel PDAF, OIS12 MP, f/2.4, 52mm (telephoto), 1/3.6"", 1.0µm, AF, OIS, 2x optical zoom16 MP, f/2.2, 12mm (ultrawide)Fingerprint (under display), accelerometer, gyro, proximity, compass, barometer, heart rate, SpO2Non-removable Li-Ion 4100 mAh battery","SKU: SA948MP1I0PXHNAFAMZProduct Line: S & C OHAMA LIMITEDModel: Galaxy S10 Plus (S10 Plus )Production Country: Korea, Democratic People's Republic ofSize (L x W x H cm): 6.4inches Dynamic AMOLEDWeight (kg): 0.15Color: BlackProduct Type: SmartphonesShop Type: Jumia Mall",Bamz,23-08-2023,5 out of 5,"Superb My sister Love it❤️❤️????
 Came in good condition
????????????????????"
Jumia Nigeria,Phones,Samsung,"Samsung Galaxy S10 Plus (S10+) 6.4-Inch AMOLED (8GB, 128GB ROM) (12MP + 12MP + 16MP)+(10MP+8MP) Single SIM  4G Smartphone - Black",370000,"6.4inches Dynamic AMOLED capacitive touchscreen, 16M colorsAndroid 9.0 (Pie); One UIExynos 9820 Octa (8 nm)Octa-core (2x2.7 GHz Mongoose M4 & 2x2.3 GHz Cortex-A75 & 4x1.9 GHz Cortex-A55)128 GB, 8GB RAM，microSD, up to 512 GB (uses SIM 2 slot)12 MP, f/1.5-2.4, 26mm (wide), 1/2.55"", 1.4µm, Dual Pixel PDAF, OIS12 MP, f/2.4, 52mm (telephoto), 1/3.6"", 1.0µm, AF, OIS, 2x optical zoom16 MP, f/2.2, 12mm (ultrawide)Fingerprint (under display), accelerometer, gyro, proximity, compass, barometer, heart rate, SpO2Non-removable Li-Ion 4100 mAh battery","SKU: SA948MP1I0PXHNAFAMZProduct Line: S & C OHAMA LIMITEDModel: Galaxy S10 Plus (S10 Plus )Production Country: Korea, Democratic People's Republic ofSize (L x W x H cm): 6.4inches Dynamic AMOLEDWeight (kg): 0.15Color: BlackProduct Type: SmartphonesShop Type: Jumia Mall",Akor,18-08-2023,3 out of 5,side The phone is smart but the back glass is so fragile
Jumia Nigeria,Phones,Samsung,"Samsung Galaxy S10 Plus (S10+) 6.4-Inch AMOLED (8GB, 128GB ROM) (12MP + 12MP + 16MP)+(10MP+8MP) Single SIM  4G Smartphone - Black",370000,"6.4inches Dynamic AMOLED capacitive touchscreen, 16M colorsAndroid 9.0 (Pie); One UIExynos 9820 Octa (8 nm)Octa-core (2x2.7 GHz Mongoose M4 & 2x2.3 GHz Cortex-A75 & 4x1.9 GHz Cortex-A55)128 GB, 8GB RAM，microSD, up to 512 GB (uses SIM 2 slot)12 MP, f/1.5-2.4, 26mm (wide), 1/2.55"", 1.4µm, Dual Pixel PDAF, OIS12 MP, f/2.4, 52mm (telephoto), 1/3.6"", 1.0µm, AF, OIS, 2x optical zoom16 MP, f/2.2, 12mm (ultrawide)Fingerprint (under display), accelerometer, gyro, proximity, compass, barometer, heart rate, SpO2Non-removable Li-Ion 4100 mAh battery","SKU: SA948MP1I0PXHNAFAMZProduct Line: S & C OHAMA LIMITEDModel: Galaxy S10 Plus (S10 Plus )Production Country: Korea, Democratic People's Republic ofSize (L x W x H cm): 6.4inches Dynamic AMOLEDWeight (kg): 0.15Color: BlackProduct Type: SmartphonesShop Type: Jumia Mall",George,16-08-2023,5 out of 5,Good The phone is okay. Very nice.
Jumia Nigeria,Phones,Samsung,"Samsung Galaxy S10 Plus (S10+) 6.4-Inch AMOLED (8GB, 128GB ROM) (12MP + 12MP + 16MP)+(10MP+8MP) Single SIM  4G Smartphone - Black",370000,"6.4inches Dynamic AMOLED capacitive touchscreen, 16M colorsAndroid 9.0 (Pie); One UIExynos 9820 Octa (8 nm)Octa-core (2x2.7 GHz Mongoose M4 & 2x2.3 GHz Cortex-A75 & 4x1.9 GHz Cortex-A55)128 GB, 8GB RAM，microSD, up to 512 GB (uses SIM 2 slot)12 MP, f/1.5-2.4, 26mm (wide), 1/2.55"", 1.4µm, Dual Pixel PDAF, OIS12 MP, f/2.4, 52mm (telephoto), 1/3.6"", 1.0µm, AF, OIS, 2x optical zoom16 MP, f/2.2, 12mm (ultrawide)Fingerprint (under display), accelerometer, gyro, proximity, compass, barometer, heart rate, SpO2Non-removable Li-Ion 4100 mAh battery","SKU: SA948MP1I0PXHNAFAMZProduct Line: S & C OHAMA LIMITEDModel: Galaxy S10 Plus (S10 Plus )Production Country: Korea, Democratic People's Republic ofSize (L x W x H cm): 6.4inches Dynamic AMOLEDWeight (kg): 0.15Color: BlackProduct Type: SmartphonesShop Type: Jumia Mall",Joshua,15-08-2023,4 out of 5,"Snapdragon Chipset It has a snapdragon Chipset if you're into that, Exynos gets a lot of hate but hey..."
