Store,Product Type,Brand,Product Name,Price,Features,Specification,Reviewer Name,Review Date,Rating,Reviewer Comment
Jumia Nigeria,Phones,Tecno,"Tecno Pop 9 6.67"" 3GB RAM /64GB ROM Android 14 - Black",112215,"Type: Hole ScreenRefresh Rate:120 HzScreen Size: 6.67 inchesScreen To Body Ratio: 84.6%Color: 16M ColorsResolution: 720 x 1600 pixelsPixel Density: 267 ppiHeight: 163.7 mm (6.44 inch)Width: 75.6 mm (2.98 inch)Thickness 8.6 mm (0.34 inch)SIM:Dual Sim, GSM+GSMResistance: IP54 dust/water resistantOS: Android 14 GoProcessor: Unisoc T615CPU: Octa-coreGPU: Mali G57 MP1Battery Type: Li-PoCapacity: 5000 mAh15W Fast ChargingInternal Memory: 64GB 3GB RAMCard slot Yes, upto 1 TBUSB Type-C",SKU: TE339MP66B2FSNAFAMZProduct Line: TODAY'S DEALS ENTERPRISES - ACWeight (kg): 0.2Color: BlackShop Type: Jumia Mall,Emortungh,24-02-2025,4 out of 5,"nice one I got what I ordered 
My brother gf like the phone"
Jumia Nigeria,Phones,Tecno,"Tecno Pop 9 6.67"" 3GB RAM /64GB ROM Android 14 - Black",112215,"Type: Hole ScreenRefresh Rate:120 HzScreen Size: 6.67 inchesScreen To Body Ratio: 84.6%Color: 16M ColorsResolution: 720 x 1600 pixelsPixel Density: 267 ppiHeight: 163.7 mm (6.44 inch)Width: 75.6 mm (2.98 inch)Thickness 8.6 mm (0.34 inch)SIM:Dual Sim, GSM+GSMResistance: IP54 dust/water resistantOS: Android 14 GoProcessor: Unisoc T615CPU: Octa-coreGPU: Mali G57 MP1Battery Type: Li-PoCapacity: 5000 mAh15W Fast ChargingInternal Memory: 64GB 3GB RAMCard slot Yes, upto 1 TBUSB Type-C",SKU: TE339MP66B2FSNAFAMZProduct Line: TODAY'S DEALS ENTERPRISES - ACWeight (kg): 0.2Color: BlackShop Type: Jumia Mall,Subair,20-02-2025,5 out of 5,lovely My customer did not complain....he's enjoying the phone
Jumia Nigeria,Phones,Tecno,"Tecno Pop 9 6.67"" 3GB RAM /64GB ROM Android 14 - Black",112215,"Type: Hole ScreenRefresh Rate:120 HzScreen Size: 6.67 inchesScreen To Body Ratio: 84.6%Color: 16M ColorsResolution: 720 x 1600 pixelsPixel Density: 267 ppiHeight: 163.7 mm (6.44 inch)Width: 75.6 mm (2.98 inch)Thickness 8.6 mm (0.34 inch)SIM:Dual Sim, GSM+GSMResistance: IP54 dust/water resistantOS: Android 14 GoProcessor: Unisoc T615CPU: Octa-coreGPU: Mali G57 MP1Battery Type: Li-PoCapacity: 5000 mAh15W Fast ChargingInternal Memory: 64GB 3GB RAMCard slot Yes, upto 1 TBUSB Type-C",SKU: TE339MP66B2FSNAFAMZProduct Line: TODAY'S DEALS ENTERPRISES - ACWeight (kg): 0.2Color: BlackShop Type: Jumia Mall,Kabir,19-02-2025,5 out of 5,Good Good phone
Jumia Nigeria,Phones,Tecno,"Tecno Pop 9 6.67"" 3GB RAM /64GB ROM Android 14 - Black",112215,"Type: Hole ScreenRefresh Rate:120 HzScreen Size: 6.67 inchesScreen To Body Ratio: 84.6%Color: 16M ColorsResolution: 720 x 1600 pixelsPixel Density: 267 ppiHeight: 163.7 mm (6.44 inch)Width: 75.6 mm (2.98 inch)Thickness 8.6 mm (0.34 inch)SIM:Dual Sim, GSM+GSMResistance: IP54 dust/water resistantOS: Android 14 GoProcessor: Unisoc T615CPU: Octa-coreGPU: Mali G57 MP1Battery Type: Li-PoCapacity: 5000 mAh15W Fast ChargingInternal Memory: 64GB 3GB RAMCard slot Yes, upto 1 TBUSB Type-C",SKU: TE339MP66B2FSNAFAMZProduct Line: TODAY'S DEALS ENTERPRISES - ACWeight (kg): 0.2Color: BlackShop Type: Jumia Mall,Echema,10-02-2025,5 out of 5,"I like the phone. It met my expectation Functional and quite good for the cost.
I like the phone."
Jumia Nigeria,Phones,Tecno,"Tecno Pop 9 6.67"" 3GB RAM /64GB ROM Android 14 - Black",112215,"Type: Hole ScreenRefresh Rate:120 HzScreen Size: 6.67 inchesScreen To Body Ratio: 84.6%Color: 16M ColorsResolution: 720 x 1600 pixelsPixel Density: 267 ppiHeight: 163.7 mm (6.44 inch)Width: 75.6 mm (2.98 inch)Thickness 8.6 mm (0.34 inch)SIM:Dual Sim, GSM+GSMResistance: IP54 dust/water resistantOS: Android 14 GoProcessor: Unisoc T615CPU: Octa-coreGPU: Mali G57 MP1Battery Type: Li-PoCapacity: 5000 mAh15W Fast ChargingInternal Memory: 64GB 3GB RAMCard slot Yes, upto 1 TBUSB Type-C",SKU: TE339MP66B2FSNAFAMZProduct Line: TODAY'S DEALS ENTERPRISES - ACWeight (kg): 0.2Color: BlackShop Type: Jumia Mall,Fredrick,10-02-2025,4 out of 5,I like it It's good
Jumia Nigeria,Phones,Tecno,"Tecno Pop 9 6.67"" 3GB RAM /64GB ROM Android 14 - Black",112215,"Type: Hole ScreenRefresh Rate:120 HzScreen Size: 6.67 inchesScreen To Body Ratio: 84.6%Color: 16M ColorsResolution: 720 x 1600 pixelsPixel Density: 267 ppiHeight: 163.7 mm (6.44 inch)Width: 75.6 mm (2.98 inch)Thickness 8.6 mm (0.34 inch)SIM:Dual Sim, GSM+GSMResistance: IP54 dust/water resistantOS: Android 14 GoProcessor: Unisoc T615CPU: Octa-coreGPU: Mali G57 MP1Battery Type: Li-PoCapacity: 5000 mAh15W Fast ChargingInternal Memory: 64GB 3GB RAMCard slot Yes, upto 1 TBUSB Type-C",SKU: TE339MP66B2FSNAFAMZProduct Line: TODAY'S DEALS ENTERPRISES - ACWeight (kg): 0.2Color: BlackShop Type: Jumia Mall,Mohammed,06-02-2025,5 out of 5,Review I bought the phone for a friend and I haven't receive any complain on it.
Jumia Nigeria,Phones,Tecno,"Tecno Pop 9 6.67"" 3GB RAM /64GB ROM Android 14 - Black",112215,"Type: Hole ScreenRefresh Rate:120 HzScreen Size: 6.67 inchesScreen To Body Ratio: 84.6%Color: 16M ColorsResolution: 720 x 1600 pixelsPixel Density: 267 ppiHeight: 163.7 mm (6.44 inch)Width: 75.6 mm (2.98 inch)Thickness 8.6 mm (0.34 inch)SIM:Dual Sim, GSM+GSMResistance: IP54 dust/water resistantOS: Android 14 GoProcessor: Unisoc T615CPU: Octa-coreGPU: Mali G57 MP1Battery Type: Li-PoCapacity: 5000 mAh15W Fast ChargingInternal Memory: 64GB 3GB RAMCard slot Yes, upto 1 TBUSB Type-C",SKU: TE339MP66B2FSNAFAMZProduct Line: TODAY'S DEALS ENTERPRISES - ACWeight (kg): 0.2Color: BlackShop Type: Jumia Mall,Jonathan,29-01-2025,5 out of 5,product rating Tecno pop 9 is superb.
Jumia Nigeria,Phones,Tecno,"Tecno Pop 9 6.67"" 3GB RAM /64GB ROM Android 14 - Black",112215,"Type: Hole ScreenRefresh Rate:120 HzScreen Size: 6.67 inchesScreen To Body Ratio: 84.6%Color: 16M ColorsResolution: 720 x 1600 pixelsPixel Density: 267 ppiHeight: 163.7 mm (6.44 inch)Width: 75.6 mm (2.98 inch)Thickness 8.6 mm (0.34 inch)SIM:Dual Sim, GSM+GSMResistance: IP54 dust/water resistantOS: Android 14 GoProcessor: Unisoc T615CPU: Octa-coreGPU: Mali G57 MP1Battery Type: Li-PoCapacity: 5000 mAh15W Fast ChargingInternal Memory: 64GB 3GB RAMCard slot Yes, upto 1 TBUSB Type-C",SKU: TE339MP66B2FSNAFAMZProduct Line: TODAY'S DEALS ENTERPRISES - ACWeight (kg): 0.2Color: BlackShop Type: Jumia Mall,Rosemary,29-01-2025,5 out of 5,Good phone The phone was exactly the description and more. ????
Jumia Nigeria,Phones,Tecno,"Tecno Pop 9 6.67"" 3GB RAM /64GB ROM Android 14 - Black",112215,"Type: Hole ScreenRefresh Rate:120 HzScreen Size: 6.67 inchesScreen To Body Ratio: 84.6%Color: 16M ColorsResolution: 720 x 1600 pixelsPixel Density: 267 ppiHeight: 163.7 mm (6.44 inch)Width: 75.6 mm (2.98 inch)Thickness 8.6 mm (0.34 inch)SIM:Dual Sim, GSM+GSMResistance: IP54 dust/water resistantOS: Android 14 GoProcessor: Unisoc T615CPU: Octa-coreGPU: Mali G57 MP1Battery Type: Li-PoCapacity: 5000 mAh15W Fast ChargingInternal Memory: 64GB 3GB RAMCard slot Yes, upto 1 TBUSB Type-C",SKU: TE339MP66B2FSNAFAMZProduct Line: TODAY'S DEALS ENTERPRISES - ACWeight (kg): 0.2Color: BlackShop Type: Jumia Mall,Patrick,27-01-2025,5 out of 5,great Amazing
Jumia Nigeria,Phones,Tecno,"Tecno Pop 9 6.67"" 3GB RAM /64GB ROM Android 14 - Black",112215,"Type: Hole ScreenRefresh Rate:120 HzScreen Size: 6.67 inchesScreen To Body Ratio: 84.6%Color: 16M ColorsResolution: 720 x 1600 pixelsPixel Density: 267 ppiHeight: 163.7 mm (6.44 inch)Width: 75.6 mm (2.98 inch)Thickness 8.6 mm (0.34 inch)SIM:Dual Sim, GSM+GSMResistance: IP54 dust/water resistantOS: Android 14 GoProcessor: Unisoc T615CPU: Octa-coreGPU: Mali G57 MP1Battery Type: Li-PoCapacity: 5000 mAh15W Fast ChargingInternal Memory: 64GB 3GB RAMCard slot Yes, upto 1 TBUSB Type-C",SKU: TE339MP66B2FSNAFAMZProduct Line: TODAY'S DEALS ENTERPRISES - ACWeight (kg): 0.2Color: BlackShop Type: Jumia Mall,samuel,22-01-2025,4 out of 5,already is ok Just keep on the good work
