Store,Product Type,Brand,Product Name,Price,Features,Specification,Reviewer Name,Review Date,Rating,Reviewer Comment
Jumia Nigeria,Phones,Tecno,"Tecno Spark 30C 6.6"" 4GB RAM/128GB ROM Android 14 - Black",140527,"SIM card size: Nano SimDimensions (H/L/W): 166 x 78 x 8 mm, vol. 103.6 cm³Display: LCD IPS Color (16M) 720x1600 px (6.67"") 263ppiTouch screen: YES iconBattery: Li-Po 5000 mAhNon-removable battery: YES iconBuilt-in memory: YES icon 128 GBRAM Memory: 4 GBOS: Android 14Chipset: MediaTek Helio G81CPU #1 Type: Cortex-A75CPU #1 freq.: 2000.0 MHz (2-core)CPU #2 Type: Cortex-A55GPU Type: Mali-G52 MC2GPU freq.: 2000.0 MHz",SKU: TE339MP4Z552WNAFAMZProduct Line: SNS PHONES VENTURE - ACModel: Spark 20CWeight (kg): 0.1Color: BlackShop Type: Jumia Mall,Samson,25-02-2025,4 out of 5,good Good
Jumia Nigeria,Phones,Tecno,"Tecno Spark 30C 6.6"" 4GB RAM/128GB ROM Android 14 - Black",140527,"SIM card size: Nano SimDimensions (H/L/W): 166 x 78 x 8 mm, vol. 103.6 cm³Display: LCD IPS Color (16M) 720x1600 px (6.67"") 263ppiTouch screen: YES iconBattery: Li-Po 5000 mAhNon-removable battery: YES iconBuilt-in memory: YES icon 128 GBRAM Memory: 4 GBOS: Android 14Chipset: MediaTek Helio G81CPU #1 Type: Cortex-A75CPU #1 freq.: 2000.0 MHz (2-core)CPU #2 Type: Cortex-A55GPU Type: Mali-G52 MC2GPU freq.: 2000.0 MHz",SKU: TE339MP4Z552WNAFAMZProduct Line: SNS PHONES VENTURE - ACModel: Spark 20CWeight (kg): 0.1Color: BlackShop Type: Jumia Mall,Oyetola,25-02-2025,5 out of 5,Love it Got some incredible features
Jumia Nigeria,Phones,Tecno,"Tecno Spark 30C 6.6"" 4GB RAM/128GB ROM Android 14 - Black",140527,"SIM card size: Nano SimDimensions (H/L/W): 166 x 78 x 8 mm, vol. 103.6 cm³Display: LCD IPS Color (16M) 720x1600 px (6.67"") 263ppiTouch screen: YES iconBattery: Li-Po 5000 mAhNon-removable battery: YES iconBuilt-in memory: YES icon 128 GBRAM Memory: 4 GBOS: Android 14Chipset: MediaTek Helio G81CPU #1 Type: Cortex-A75CPU #1 freq.: 2000.0 MHz (2-core)CPU #2 Type: Cortex-A55GPU Type: Mali-G52 MC2GPU freq.: 2000.0 MHz",SKU: TE339MP4Z552WNAFAMZProduct Line: SNS PHONES VENTURE - ACModel: Spark 20CWeight (kg): 0.1Color: BlackShop Type: Jumia Mall,Sani,25-02-2025,5 out of 5,I love it It works perfect
Jumia Nigeria,Phones,Tecno,"Tecno Spark 30C 6.6"" 4GB RAM/128GB ROM Android 14 - Black",140527,"SIM card size: Nano SimDimensions (H/L/W): 166 x 78 x 8 mm, vol. 103.6 cm³Display: LCD IPS Color (16M) 720x1600 px (6.67"") 263ppiTouch screen: YES iconBattery: Li-Po 5000 mAhNon-removable battery: YES iconBuilt-in memory: YES icon 128 GBRAM Memory: 4 GBOS: Android 14Chipset: MediaTek Helio G81CPU #1 Type: Cortex-A75CPU #1 freq.: 2000.0 MHz (2-core)CPU #2 Type: Cortex-A55GPU Type: Mali-G52 MC2GPU freq.: 2000.0 MHz",SKU: TE339MP4Z552WNAFAMZProduct Line: SNS PHONES VENTURE - ACModel: Spark 20CWeight (kg): 0.1Color: BlackShop Type: Jumia Mall,Akin Akinremi,24-02-2025,4 out of 5,working perfectly No issues at all
Jumia Nigeria,Phones,Tecno,"Tecno Spark 30C 6.6"" 4GB RAM/128GB ROM Android 14 - Black",140527,"SIM card size: Nano SimDimensions (H/L/W): 166 x 78 x 8 mm, vol. 103.6 cm³Display: LCD IPS Color (16M) 720x1600 px (6.67"") 263ppiTouch screen: YES iconBattery: Li-Po 5000 mAhNon-removable battery: YES iconBuilt-in memory: YES icon 128 GBRAM Memory: 4 GBOS: Android 14Chipset: MediaTek Helio G81CPU #1 Type: Cortex-A75CPU #1 freq.: 2000.0 MHz (2-core)CPU #2 Type: Cortex-A55GPU Type: Mali-G52 MC2GPU freq.: 2000.0 MHz",SKU: TE339MP4Z552WNAFAMZProduct Line: SNS PHONES VENTURE - ACModel: Spark 20CWeight (kg): 0.1Color: BlackShop Type: Jumia Mall,Daniel,17-02-2025,5 out of 5,Good I'm enjoying it
Jumia Nigeria,Phones,Tecno,"Tecno Spark 30C 6.6"" 4GB RAM/128GB ROM Android 14 - Black",140527,"SIM card size: Nano SimDimensions (H/L/W): 166 x 78 x 8 mm, vol. 103.6 cm³Display: LCD IPS Color (16M) 720x1600 px (6.67"") 263ppiTouch screen: YES iconBattery: Li-Po 5000 mAhNon-removable battery: YES iconBuilt-in memory: YES icon 128 GBRAM Memory: 4 GBOS: Android 14Chipset: MediaTek Helio G81CPU #1 Type: Cortex-A75CPU #1 freq.: 2000.0 MHz (2-core)CPU #2 Type: Cortex-A55GPU Type: Mali-G52 MC2GPU freq.: 2000.0 MHz",SKU: TE339MP4Z552WNAFAMZProduct Line: SNS PHONES VENTURE - ACModel: Spark 20CWeight (kg): 0.1Color: BlackShop Type: Jumia Mall,Andy,12-02-2025,4 out of 5,"good product The phone was as described, good sealed and in good working condition, highly recommend
No damage no regrets"
Jumia Nigeria,Phones,Tecno,"Tecno Spark 30C 6.6"" 4GB RAM/128GB ROM Android 14 - Black",140527,"SIM card size: Nano SimDimensions (H/L/W): 166 x 78 x 8 mm, vol. 103.6 cm³Display: LCD IPS Color (16M) 720x1600 px (6.67"") 263ppiTouch screen: YES iconBattery: Li-Po 5000 mAhNon-removable battery: YES iconBuilt-in memory: YES icon 128 GBRAM Memory: 4 GBOS: Android 14Chipset: MediaTek Helio G81CPU #1 Type: Cortex-A75CPU #1 freq.: 2000.0 MHz (2-core)CPU #2 Type: Cortex-A55GPU Type: Mali-G52 MC2GPU freq.: 2000.0 MHz",SKU: TE339MP4Z552WNAFAMZProduct Line: SNS PHONES VENTURE - ACModel: Spark 20CWeight (kg): 0.1Color: BlackShop Type: Jumia Mall,TAMUNOTONYE,11-02-2025,5 out of 5,It's working well Very portable and relia
Jumia Nigeria,Phones,Tecno,"Tecno Spark 30C 6.6"" 4GB RAM/128GB ROM Android 14 - Black",140527,"SIM card size: Nano SimDimensions (H/L/W): 166 x 78 x 8 mm, vol. 103.6 cm³Display: LCD IPS Color (16M) 720x1600 px (6.67"") 263ppiTouch screen: YES iconBattery: Li-Po 5000 mAhNon-removable battery: YES iconBuilt-in memory: YES icon 128 GBRAM Memory: 4 GBOS: Android 14Chipset: MediaTek Helio G81CPU #1 Type: Cortex-A75CPU #1 freq.: 2000.0 MHz (2-core)CPU #2 Type: Cortex-A55GPU Type: Mali-G52 MC2GPU freq.: 2000.0 MHz",SKU: TE339MP4Z552WNAFAMZProduct Line: SNS PHONES VENTURE - ACModel: Spark 20CWeight (kg): 0.1Color: BlackShop Type: Jumia Mall,Joshua,10-02-2025,5 out of 5,great phone Highly recommend
Jumia Nigeria,Phones,Tecno,"Tecno Spark 30C 6.6"" 4GB RAM/128GB ROM Android 14 - Black",140527,"SIM card size: Nano SimDimensions (H/L/W): 166 x 78 x 8 mm, vol. 103.6 cm³Display: LCD IPS Color (16M) 720x1600 px (6.67"") 263ppiTouch screen: YES iconBattery: Li-Po 5000 mAhNon-removable battery: YES iconBuilt-in memory: YES icon 128 GBRAM Memory: 4 GBOS: Android 14Chipset: MediaTek Helio G81CPU #1 Type: Cortex-A75CPU #1 freq.: 2000.0 MHz (2-core)CPU #2 Type: Cortex-A55GPU Type: Mali-G52 MC2GPU freq.: 2000.0 MHz",SKU: TE339MP4Z552WNAFAMZProduct Line: SNS PHONES VENTURE - ACModel: Spark 20CWeight (kg): 0.1Color: BlackShop Type: Jumia Mall,Ogunlola,10-02-2025,3 out of 5,Complaint It's slow somehow and I don't know what is needed to be done
Jumia Nigeria,Phones,Tecno,"Tecno Spark 30C 6.6"" 4GB RAM/128GB ROM Android 14 - Black",140527,"SIM card size: Nano SimDimensions (H/L/W): 166 x 78 x 8 mm, vol. 103.6 cm³Display: LCD IPS Color (16M) 720x1600 px (6.67"") 263ppiTouch screen: YES iconBattery: Li-Po 5000 mAhNon-removable battery: YES iconBuilt-in memory: YES icon 128 GBRAM Memory: 4 GBOS: Android 14Chipset: MediaTek Helio G81CPU #1 Type: Cortex-A75CPU #1 freq.: 2000.0 MHz (2-core)CPU #2 Type: Cortex-A55GPU Type: Mali-G52 MC2GPU freq.: 2000.0 MHz",SKU: TE339MP4Z552WNAFAMZProduct Line: SNS PHONES VENTURE - ACModel: Spark 20CWeight (kg): 0.1Color: BlackShop Type: Jumia Mall,Onyeakarusi Samson,10-02-2025,3 out of 5,Good one Good one
