Store,Product Type,Brand,Product Name,Price,Features,Specification,Reviewer Name,Review Date,Rating,Reviewer Comment
Jumia Nigeria,Phones,Tecno,"Tecno T101 1.8"" Dual SIM  - Black",12920,"Operating system: MosProcessor: MT6261DBand: GSM 900/1800mhzDimension: 116*49*12.4mmDisplay: 1.77"" QQVGAResolution: 128*160Camera: 0.08 Back camera   0.08 front cameraMemory: 4MB ROM +4MB RAMConnectivity: Bt, fmBattery: 1150mAh long standby",SKU: TE339MP5HKPYWNAFAMZProduct Line: SNS PHONES VENTURE - ACModel: T101Weight (kg): 0.1Color: BlackShop Type: Jumia Mall,Joshua Ayobami Opeoluwa,21-02-2025,5 out of 5,I love it I love it
Jumia Nigeria,Phones,Tecno,"Tecno T101 1.8"" Dual SIM  - Black",12920,"Operating system: MosProcessor: MT6261DBand: GSM 900/1800mhzDimension: 116*49*12.4mmDisplay: 1.77"" QQVGAResolution: 128*160Camera: 0.08 Back camera   0.08 front cameraMemory: 4MB ROM +4MB RAMConnectivity: Bt, fmBattery: 1150mAh long standby",SKU: TE339MP5HKPYWNAFAMZProduct Line: SNS PHONES VENTURE - ACModel: T101Weight (kg): 0.1Color: BlackShop Type: Jumia Mall,Kiky,20-02-2025,3 out of 5,it a good deal Nice One
Jumia Nigeria,Phones,Tecno,"Tecno T101 1.8"" Dual SIM  - Black",12920,"Operating system: MosProcessor: MT6261DBand: GSM 900/1800mhzDimension: 116*49*12.4mmDisplay: 1.77"" QQVGAResolution: 128*160Camera: 0.08 Back camera   0.08 front cameraMemory: 4MB ROM +4MB RAMConnectivity: Bt, fmBattery: 1150mAh long standby",SKU: TE339MP5HKPYWNAFAMZProduct Line: SNS PHONES VENTURE - ACModel: T101Weight (kg): 0.1Color: BlackShop Type: Jumia Mall,Otuaga,18-02-2025,5 out of 5,nice It very good
Jumia Nigeria,Phones,Tecno,"Tecno T101 1.8"" Dual SIM  - Black",12920,"Operating system: MosProcessor: MT6261DBand: GSM 900/1800mhzDimension: 116*49*12.4mmDisplay: 1.77"" QQVGAResolution: 128*160Camera: 0.08 Back camera   0.08 front cameraMemory: 4MB ROM +4MB RAMConnectivity: Bt, fmBattery: 1150mAh long standby",SKU: TE339MP5HKPYWNAFAMZProduct Line: SNS PHONES VENTURE - ACModel: T101Weight (kg): 0.1Color: BlackShop Type: Jumia Mall,Wasiu,18-02-2025,5 out of 5,I like it. I got what I ordered for.
Jumia Nigeria,Phones,Tecno,"Tecno T101 1.8"" Dual SIM  - Black",12920,"Operating system: MosProcessor: MT6261DBand: GSM 900/1800mhzDimension: 116*49*12.4mmDisplay: 1.77"" QQVGAResolution: 128*160Camera: 0.08 Back camera   0.08 front cameraMemory: 4MB ROM +4MB RAMConnectivity: Bt, fmBattery: 1150mAh long standby",SKU: TE339MP5HKPYWNAFAMZProduct Line: SNS PHONES VENTURE - ACModel: T101Weight (kg): 0.1Color: BlackShop Type: Jumia Mall,Christian,18-02-2025,5 out of 5,good They work perfectly ok
Jumia Nigeria,Phones,Tecno,"Tecno T101 1.8"" Dual SIM  - Black",12920,"Operating system: MosProcessor: MT6261DBand: GSM 900/1800mhzDimension: 116*49*12.4mmDisplay: 1.77"" QQVGAResolution: 128*160Camera: 0.08 Back camera   0.08 front cameraMemory: 4MB ROM +4MB RAMConnectivity: Bt, fmBattery: 1150mAh long standby",SKU: TE339MP5HKPYWNAFAMZProduct Line: SNS PHONES VENTURE - ACModel: T101Weight (kg): 0.1Color: BlackShop Type: Jumia Mall,Ibrahim,17-02-2025,5 out of 5,I like the product Everything
Jumia Nigeria,Phones,Tecno,"Tecno T101 1.8"" Dual SIM  - Black",12920,"Operating system: MosProcessor: MT6261DBand: GSM 900/1800mhzDimension: 116*49*12.4mmDisplay: 1.77"" QQVGAResolution: 128*160Camera: 0.08 Back camera   0.08 front cameraMemory: 4MB ROM +4MB RAMConnectivity: Bt, fmBattery: 1150mAh long standby",SKU: TE339MP5HKPYWNAFAMZProduct Line: SNS PHONES VENTURE - ACModel: T101Weight (kg): 0.1Color: BlackShop Type: Jumia Mall,Abinya,17-02-2025,4 out of 5,good product Is working perfectly so far so good
Jumia Nigeria,Phones,Tecno,"Tecno T101 1.8"" Dual SIM  - Black",12920,"Operating system: MosProcessor: MT6261DBand: GSM 900/1800mhzDimension: 116*49*12.4mmDisplay: 1.77"" QQVGAResolution: 128*160Camera: 0.08 Back camera   0.08 front cameraMemory: 4MB ROM +4MB RAMConnectivity: Bt, fmBattery: 1150mAh long standby",SKU: TE339MP5HKPYWNAFAMZProduct Line: SNS PHONES VENTURE - ACModel: T101Weight (kg): 0.1Color: BlackShop Type: Jumia Mall,Ogboya,14-02-2025,5 out of 5,Nice 1 Keep it up
Jumia Nigeria,Phones,Tecno,"Tecno T101 1.8"" Dual SIM  - Black",12920,"Operating system: MosProcessor: MT6261DBand: GSM 900/1800mhzDimension: 116*49*12.4mmDisplay: 1.77"" QQVGAResolution: 128*160Camera: 0.08 Back camera   0.08 front cameraMemory: 4MB ROM +4MB RAMConnectivity: Bt, fmBattery: 1150mAh long standby",SKU: TE339MP5HKPYWNAFAMZProduct Line: SNS PHONES VENTURE - ACModel: T101Weight (kg): 0.1Color: BlackShop Type: Jumia Mall,Oyelakin,13-02-2025,5 out of 5,F.M The fm radio is very loud and clear
Jumia Nigeria,Phones,Tecno,"Tecno T101 1.8"" Dual SIM  - Black",12920,"Operating system: MosProcessor: MT6261DBand: GSM 900/1800mhzDimension: 116*49*12.4mmDisplay: 1.77"" QQVGAResolution: 128*160Camera: 0.08 Back camera   0.08 front cameraMemory: 4MB ROM +4MB RAMConnectivity: Bt, fmBattery: 1150mAh long standby",SKU: TE339MP5HKPYWNAFAMZProduct Line: SNS PHONES VENTURE - ACModel: T101Weight (kg): 0.1Color: BlackShop Type: Jumia Mall,Odewale Quadri,12-02-2025,4 out of 5,Perfect Good product
