reviewer_name,reviewer_header_comment,reviewer_detail_comment,review_date,product_star
by Harmony James,Good ,"It’s nice and portable 
",13-02-2025,5 out of 5
by Onyedinachi,Perfect,Exactly what I ordered ,12-02-2025,4 out of 5
by Jamin,regards,"Very slim and sweet, should be Bluetooth 
",10-02-2025,4 out of 5
by Mary Adeleke,Highly recommended product ,The mouse is a great buy. It works smoothly with fast clicks and the first charge since I bought it has lasted a week now.,07-02-2025,5 out of 5
by Olaitan,I love it so much.,My second time buying this mouse. The first one lasted almost 2 years. I love it so much. It makes my work easier.,06-02-2025,5 out of 5
by Izuchukwu,great gadget,just buy it... e make sense,04-02-2025,5 out of 5
by Onojeta Vincent,It’s perfect ,working well ,03-02-2025,4 out of 5
by Ahunna Durugbo,Sleek! Love it ,Easy to use. Lovely shape. ,03-02-2025,5 out of 5
by Kataye Abdullahi,Good and portable ,Good ,03-02-2025,4 out of 5
by Bright,its okay,"I am enjoying it for now, the battery last like two days before you recharge 
",31-01-2025,5 out of 5
by Udo,great product.,"Lasts long afte3 charge , smart and comfortable ",31-01-2025,5 out of 5
by FOLA,I love it,Sleek and easy to use,30-01-2025,5 out of 5
by Molokwu,best,"moves fine, have a long battery life and it's comfy to hold",30-01-2025,5 out of 5
by DENIS,I LIKE IT,VERY SLEEK,27-01-2025,5 out of 5
by Haruna Damilare Al-Hassan,very good,It's very good and it has a very good battery life,27-01-2025,5 out of 5
by Williams Akunwafor,Wireless Mouse ,"Very beautiful, lasts long too.",23-01-2025,5 out of 5
by Joel Chidi,Nice,It’s really nice but kinda smaller than I expected ,23-01-2025,4 out of 5
by Temitope,i like it,its okay,23-01-2025,4 out of 5
by Aje Live,Great,Very nice product,22-01-2025,5 out of 5
by Mr D,Quality ,Awesome ,21-01-2025,5 out of 5
by Stephen,Great,The mouse is comfy. Very good and it last when you charge it. It doesn't take time to charge but it lasts when you charge it.,21-01-2025,5 out of 5
by DESMOND SUNMONU,Highly recommend,It is everything it says it is,20-01-2025,5 out of 5
by Michael,Hurry to get yours,"This mouse is so fast,sleek,beautiful,colorful and I pray it last for a long time",16-01-2025,5 out of 5
by PENIEL,itz okay,Itz okay,15-01-2025,4 out of 5
by Cephas,Good product,Works fine so far,14-01-2025,5 out of 5
by Ugochukwu,works ,It's is as advertised,14-01-2025,5 out of 5
by Mikiyah ,well working ,It's serving very well ????,13-01-2025,5 out of 5
by Enas,Good,Works perfectly ,13-01-2025,5 out of 5
by Ademola,Good,I like it,13-01-2025,4 out of 5
by Somto,Good Mouse,Does the job well,10-01-2025,5 out of 5
by Miracle,Perfect,"Perfect for my job, and on all surfaces which is very rare with most mouse.

With a lasting battery, and auto sleep mode when unused for some minutes.

The lights are working perfectly, and I am still using it till now.",06-01-2025,5 out of 5
by Juwon,Good!,I have been using it for over a year now!,06-01-2025,5 out of 5
by Nelson,it's a waste of money and time,it did not even last up to 2 weeks before malfunctioning,02-01-2025,1 out of 5
by Adetomilayo,value for money,Make sense ???? great value for money ...,02-01-2025,5 out of 5
by Elizabeth,I like it,"Battery good
Working smoothly",31-12-2024,5 out of 5
by Victoria,I like it,"Good,  I like it",31-12-2024,5 out of 5
by Oluwatosin,product review,Works as described ???? ,30-12-2024,5 out of 5
by Akinkunmi Adebanjo,Great,"Perfect performance, second time buying",30-12-2024,5 out of 5
by Wasiu,honest review ,Very lovely mouse. I just ordered another one ,27-12-2024,5 out of 5
by KEAN,Wireless Rechargeable Mouse ,"It’s very nice and sleek
It also lasts long, I’ve been using it for a week now and I’ve not charged it yet",24-12-2024,4 out of 5
by SANI,his good in work,The good of use,24-12-2024,5 out of 5
by Adaolisa Mma,Vvv,"It works perfectly 

",23-12-2024,5 out of 5
by ABDULMALIK,"COOL, OKAY",Really good and very very long lasting and the colours are cool too ,23-12-2024,5 out of 5
by Pedro,great product,Nice,23-12-2024,5 out of 5
by Ogaga,Great product,Using it for a month now and working well,20-12-2024,5 out of 5
by Mukhtar,Like it,It's soft and handy and easily charged I recommend it,19-12-2024,5 out of 5
by Taiwo,wonderful product,I love the fact that it can also be used on smartphone,18-12-2024,5 out of 5
by Erhabor,nice one ,Nice ,17-12-2024,4 out of 5
by Pius,Great Product,Works super fine and it is of great quality. Happily recommend.,17-12-2024,5 out of 5
by Prince Enyioko,Better option ,It’s sleek and works efficiently ,17-12-2024,5 out of 5
by Fatimah,I like it,The battery lasts long,16-12-2024,5 out of 5
by Samuel Ogunjumo,Nice,The product is nice,16-12-2024,3 out of 5
by Dee,Very nice product,"Makes sense

",16-12-2024,4 out of 5
by Eminence,I like it,It actually make sense wella ????,11-12-2024,4 out of 5
by bakare,Good,"I love the product, the battery last long for a like a week before I charge it again and I use it almost every day. But It's just a little bit too slim for me",11-12-2024,4 out of 5
by Godwin,I like it,Soft and gentle when using it,11-12-2024,4 out of 5
by Ifunanya,It's sleek.,It works perfectly ,10-12-2024,5 out of 5
by kudos,everything,I love everything about it,10-12-2024,5 out of 5
by Oladipo,sweet and swift,Sleeeeeeek,10-12-2024,5 out of 5
by Oluwanifemi,supper cool,"Very cool ,with a long lasting rechargeable.
",10-12-2024,5 out of 5
by Samson,Nice product,It is just as you have seen it and it does what it say.,10-12-2024,4 out of 5
by Abdulafeez,More than expectations,"Very sleek, doesn’t make sound at all ????????",10-12-2024,4 out of 5
by Abdulhakeem Nafiu,Wireless mouse ,It works well ,10-12-2024,5 out of 5
by Chris,Mouse Review,Very sleekk and beautiful mouse noiseless and has wonderful rgb colors,09-12-2024,5 out of 5
by Ibrahim,Good,Good quality mouse,09-12-2024,5 out of 5
by Sharafadeen Akinsunbo,Good product ,"Nice product, no issue so far ",09-12-2024,5 out of 5
by Abigail Ezinne,Excellent ,Exactly what I ordered ,09-12-2024,5 out of 5
by Kevwe,sharp,Make sense ,09-12-2024,4 out of 5
by Anonymous,I love,Exactly as seen and working well according to the user,09-12-2024,5 out of 5
by Samuel,enjoying it,Not bad at all,09-12-2024,5 out of 5
by Freaky,Mouse ,It worked for only few days ,06-12-2024,1 out of 5
by David Akpan,Good,"It’s nice, long battery life. It’s sleek",06-12-2024,5 out of 5
