Store,Product Type,Brand,Product Name,Price,Features,Specification,Reviewer Name,Review Date,Rating,Reviewer Comment
Jumia Nigeria,Phones,XIAOMI,XIAOMI Redmi 14C 6.88'' 4GB RAM/128GB ROM Android 14 -Sage Green,140199,"Processor: MediaTek Helio G81-Ultra processorStorage & RAM: 4GB + 128GBDisplay: 6.88"" Dot Drop DisplayRear Camera: 50MP main cameraFront Camera: 13MP front cameraBattery & Charging: 5160mAh (typ)Supports 18W fast chargingConnectivity: Dual SIM + microSD",SKU: XI363MP5GSZO9NAFAMZProduct Line: Best service Raya distribution NIG LTD - ACModel: REDMI 14CWeight (kg): 0.2Color: GreenShop Type: Jumia Mall,Elijah,27-02-2025,3 out of 5,Its good My wife like it so much and it's working well
Jumia Nigeria,Phones,XIAOMI,XIAOMI Redmi 14C 6.88'' 4GB RAM/128GB ROM Android 14 -Sage Green,140199,"Processor: MediaTek Helio G81-Ultra processorStorage & RAM: 4GB + 128GBDisplay: 6.88"" Dot Drop DisplayRear Camera: 50MP main cameraFront Camera: 13MP front cameraBattery & Charging: 5160mAh (typ)Supports 18W fast chargingConnectivity: Dual SIM + microSD",SKU: XI363MP5GSZO9NAFAMZProduct Line: Best service Raya distribution NIG LTD - ACModel: REDMI 14CWeight (kg): 0.2Color: GreenShop Type: Jumia Mall,Ani,26-02-2025,5 out of 5,Great My hubby loves it.The network is fast and it's quite affordable.
Jumia Nigeria,Phones,XIAOMI,XIAOMI Redmi 14C 6.88'' 4GB RAM/128GB ROM Android 14 -Sage Green,140199,"Processor: MediaTek Helio G81-Ultra processorStorage & RAM: 4GB + 128GBDisplay: 6.88"" Dot Drop DisplayRear Camera: 50MP main cameraFront Camera: 13MP front cameraBattery & Charging: 5160mAh (typ)Supports 18W fast chargingConnectivity: Dual SIM + microSD",SKU: XI363MP5GSZO9NAFAMZProduct Line: Best service Raya distribution NIG LTD - ACModel: REDMI 14CWeight (kg): 0.2Color: GreenShop Type: Jumia Mall,Emeka,25-02-2025,5 out of 5,Phone Redmi Redmi 14C is awesome. I am enjoying it
Jumia Nigeria,Phones,XIAOMI,XIAOMI Redmi 14C 6.88'' 4GB RAM/128GB ROM Android 14 -Sage Green,140199,"Processor: MediaTek Helio G81-Ultra processorStorage & RAM: 4GB + 128GBDisplay: 6.88"" Dot Drop DisplayRear Camera: 50MP main cameraFront Camera: 13MP front cameraBattery & Charging: 5160mAh (typ)Supports 18W fast chargingConnectivity: Dual SIM + microSD",SKU: XI363MP5GSZO9NAFAMZProduct Line: Best service Raya distribution NIG LTD - ACModel: REDMI 14CWeight (kg): 0.2Color: GreenShop Type: Jumia Mall,Moses,24-02-2025,5 out of 5,i really like it Very smart and work perfectly
Jumia Nigeria,Phones,XIAOMI,XIAOMI Redmi 14C 6.88'' 4GB RAM/128GB ROM Android 14 -Sage Green,140199,"Processor: MediaTek Helio G81-Ultra processorStorage & RAM: 4GB + 128GBDisplay: 6.88"" Dot Drop DisplayRear Camera: 50MP main cameraFront Camera: 13MP front cameraBattery & Charging: 5160mAh (typ)Supports 18W fast chargingConnectivity: Dual SIM + microSD",SKU: XI363MP5GSZO9NAFAMZProduct Line: Best service Raya distribution NIG LTD - ACModel: REDMI 14CWeight (kg): 0.2Color: GreenShop Type: Jumia Mall,Egbo,24-02-2025,5 out of 5,I like it So nice
Jumia Nigeria,Phones,XIAOMI,XIAOMI Redmi 14C 6.88'' 4GB RAM/128GB ROM Android 14 -Sage Green,140199,"Processor: MediaTek Helio G81-Ultra processorStorage & RAM: 4GB + 128GBDisplay: 6.88"" Dot Drop DisplayRear Camera: 50MP main cameraFront Camera: 13MP front cameraBattery & Charging: 5160mAh (typ)Supports 18W fast chargingConnectivity: Dual SIM + microSD",SKU: XI363MP5GSZO9NAFAMZProduct Line: Best service Raya distribution NIG LTD - ACModel: REDMI 14CWeight (kg): 0.2Color: GreenShop Type: Jumia Mall,Yakubu,24-02-2025,4 out of 5,WORKING PERFECTLY Bought it as a gift to someone and the owner loves it so much.
Jumia Nigeria,Phones,XIAOMI,XIAOMI Redmi 14C 6.88'' 4GB RAM/128GB ROM Android 14 -Sage Green,140199,"Processor: MediaTek Helio G81-Ultra processorStorage & RAM: 4GB + 128GBDisplay: 6.88"" Dot Drop DisplayRear Camera: 50MP main cameraFront Camera: 13MP front cameraBattery & Charging: 5160mAh (typ)Supports 18W fast chargingConnectivity: Dual SIM + microSD",SKU: XI363MP5GSZO9NAFAMZProduct Line: Best service Raya distribution NIG LTD - ACModel: REDMI 14CWeight (kg): 0.2Color: GreenShop Type: Jumia Mall,kehinde,20-02-2025,5 out of 5,so far so good It's a good device for basic use. Redmi still maintains their solid hardware they are known for
Jumia Nigeria,Phones,XIAOMI,XIAOMI Redmi 14C 6.88'' 4GB RAM/128GB ROM Android 14 -Sage Green,140199,"Processor: MediaTek Helio G81-Ultra processorStorage & RAM: 4GB + 128GBDisplay: 6.88"" Dot Drop DisplayRear Camera: 50MP main cameraFront Camera: 13MP front cameraBattery & Charging: 5160mAh (typ)Supports 18W fast chargingConnectivity: Dual SIM + microSD",SKU: XI363MP5GSZO9NAFAMZProduct Line: Best service Raya distribution NIG LTD - ACModel: REDMI 14CWeight (kg): 0.2Color: GreenShop Type: Jumia Mall,Somadina,19-02-2025,5 out of 5,Very good Just as I expected! Good device
Jumia Nigeria,Phones,XIAOMI,XIAOMI Redmi 14C 6.88'' 4GB RAM/128GB ROM Android 14 -Sage Green,140199,"Processor: MediaTek Helio G81-Ultra processorStorage & RAM: 4GB + 128GBDisplay: 6.88"" Dot Drop DisplayRear Camera: 50MP main cameraFront Camera: 13MP front cameraBattery & Charging: 5160mAh (typ)Supports 18W fast chargingConnectivity: Dual SIM + microSD",SKU: XI363MP5GSZO9NAFAMZProduct Line: Best service Raya distribution NIG LTD - ACModel: REDMI 14CWeight (kg): 0.2Color: GreenShop Type: Jumia Mall,Nsikak,19-02-2025,5 out of 5,the most awesome I love the phone for it smartness and the battery ???????? life
Jumia Nigeria,Phones,XIAOMI,XIAOMI Redmi 14C 6.88'' 4GB RAM/128GB ROM Android 14 -Sage Green,140199,"Processor: MediaTek Helio G81-Ultra processorStorage & RAM: 4GB + 128GBDisplay: 6.88"" Dot Drop DisplayRear Camera: 50MP main cameraFront Camera: 13MP front cameraBattery & Charging: 5160mAh (typ)Supports 18W fast chargingConnectivity: Dual SIM + microSD",SKU: XI363MP5GSZO9NAFAMZProduct Line: Best service Raya distribution NIG LTD - ACModel: REDMI 14CWeight (kg): 0.2Color: GreenShop Type: Jumia Mall,DICKSON,17-02-2025,5 out of 5,its nice The phone is working perfectly
