Store,Product Type,Brand,Product Name,Price,Features,Specification,Reviewer Name,Review Date,Rating,Reviewer Comment
Jumia Nigeria,Phones,XIAOMI,XIAOMI Redmi 14C 6.88'' 8GB RAM/256GB ROM Android 12-Sage Green,178715,"Processor: MediaTek Helio G81-Ultra processorStorage & RAM: 8GB + 256GBDisplay: 6.88"" Dot Drop DisplayRear Camera: 50MP main cameraFront Camera: 13MP front cameraBattery & Charging: 5160mAh (typ)Supports 18W fast chargingConnectivity: Dual SIM + microSD",SKU: XI363MP5J6Q3DNAFAMZProduct Line: Best service Raya distribution NIG LTD - ACModel: REDMI 14CWeight (kg): 0.2Color: GreenShop Type: Jumia Mall,Olusola,20-02-2025,5 out of 5,excellent Really enjoying the phone the battery is superb
Jumia Nigeria,Phones,XIAOMI,XIAOMI Redmi 14C 6.88'' 8GB RAM/256GB ROM Android 12-Sage Green,178715,"Processor: MediaTek Helio G81-Ultra processorStorage & RAM: 8GB + 256GBDisplay: 6.88"" Dot Drop DisplayRear Camera: 50MP main cameraFront Camera: 13MP front cameraBattery & Charging: 5160mAh (typ)Supports 18W fast chargingConnectivity: Dual SIM + microSD",SKU: XI363MP5J6Q3DNAFAMZProduct Line: Best service Raya distribution NIG LTD - ACModel: REDMI 14CWeight (kg): 0.2Color: GreenShop Type: Jumia Mall,JULIUS,20-02-2025,5 out of 5,Good quality It ahs all what it take
Jumia Nigeria,Phones,XIAOMI,XIAOMI Redmi 14C 6.88'' 8GB RAM/256GB ROM Android 12-Sage Green,178715,"Processor: MediaTek Helio G81-Ultra processorStorage & RAM: 8GB + 256GBDisplay: 6.88"" Dot Drop DisplayRear Camera: 50MP main cameraFront Camera: 13MP front cameraBattery & Charging: 5160mAh (typ)Supports 18W fast chargingConnectivity: Dual SIM + microSD",SKU: XI363MP5J6Q3DNAFAMZProduct Line: Best service Raya distribution NIG LTD - ACModel: REDMI 14CWeight (kg): 0.2Color: GreenShop Type: Jumia Mall,Teddy Daniel,19-02-2025,5 out of 5,"so far so Good For the price, the phone is performing excellently.speed, battery life and also elegantly awesome"
Jumia Nigeria,Phones,XIAOMI,XIAOMI Redmi 14C 6.88'' 8GB RAM/256GB ROM Android 12-Sage Green,178715,"Processor: MediaTek Helio G81-Ultra processorStorage & RAM: 8GB + 256GBDisplay: 6.88"" Dot Drop DisplayRear Camera: 50MP main cameraFront Camera: 13MP front cameraBattery & Charging: 5160mAh (typ)Supports 18W fast chargingConnectivity: Dual SIM + microSD",SKU: XI363MP5J6Q3DNAFAMZProduct Line: Best service Raya distribution NIG LTD - ACModel: REDMI 14CWeight (kg): 0.2Color: GreenShop Type: Jumia Mall,Bunmi,18-02-2025,5 out of 5,as at present not up to a month.its not bad. I love the battery
Jumia Nigeria,Phones,XIAOMI,XIAOMI Redmi 14C 6.88'' 8GB RAM/256GB ROM Android 12-Sage Green,178715,"Processor: MediaTek Helio G81-Ultra processorStorage & RAM: 8GB + 256GBDisplay: 6.88"" Dot Drop DisplayRear Camera: 50MP main cameraFront Camera: 13MP front cameraBattery & Charging: 5160mAh (typ)Supports 18W fast chargingConnectivity: Dual SIM + microSD",SKU: XI363MP5J6Q3DNAFAMZProduct Line: Best service Raya distribution NIG LTD - ACModel: REDMI 14CWeight (kg): 0.2Color: GreenShop Type: Jumia Mall,Markus,17-02-2025,5 out of 5,very Good Very affordable and fast
Jumia Nigeria,Phones,XIAOMI,XIAOMI Redmi 14C 6.88'' 8GB RAM/256GB ROM Android 12-Sage Green,178715,"Processor: MediaTek Helio G81-Ultra processorStorage & RAM: 8GB + 256GBDisplay: 6.88"" Dot Drop DisplayRear Camera: 50MP main cameraFront Camera: 13MP front cameraBattery & Charging: 5160mAh (typ)Supports 18W fast chargingConnectivity: Dual SIM + microSD",SKU: XI363MP5J6Q3DNAFAMZProduct Line: Best service Raya distribution NIG LTD - ACModel: REDMI 14CWeight (kg): 0.2Color: GreenShop Type: Jumia Mall,Toluwase,14-02-2025,5 out of 5,very good Working so well
Jumia Nigeria,Phones,XIAOMI,XIAOMI Redmi 14C 6.88'' 8GB RAM/256GB ROM Android 12-Sage Green,178715,"Processor: MediaTek Helio G81-Ultra processorStorage & RAM: 8GB + 256GBDisplay: 6.88"" Dot Drop DisplayRear Camera: 50MP main cameraFront Camera: 13MP front cameraBattery & Charging: 5160mAh (typ)Supports 18W fast chargingConnectivity: Dual SIM + microSD",SKU: XI363MP5J6Q3DNAFAMZProduct Line: Best service Raya distribution NIG LTD - ACModel: REDMI 14CWeight (kg): 0.2Color: GreenShop Type: Jumia Mall,Gloria,13-02-2025,5 out of 5,I love it I got what I ordered
Jumia Nigeria,Phones,XIAOMI,XIAOMI Redmi 14C 6.88'' 8GB RAM/256GB ROM Android 12-Sage Green,178715,"Processor: MediaTek Helio G81-Ultra processorStorage & RAM: 8GB + 256GBDisplay: 6.88"" Dot Drop DisplayRear Camera: 50MP main cameraFront Camera: 13MP front cameraBattery & Charging: 5160mAh (typ)Supports 18W fast chargingConnectivity: Dual SIM + microSD",SKU: XI363MP5J6Q3DNAFAMZProduct Line: Best service Raya distribution NIG LTD - ACModel: REDMI 14CWeight (kg): 0.2Color: GreenShop Type: Jumia Mall,Kelvin Kelvin,13-02-2025,5 out of 5,ENJOYING IT SO FAR NICE NICE
Jumia Nigeria,Phones,XIAOMI,XIAOMI Redmi 14C 6.88'' 8GB RAM/256GB ROM Android 12-Sage Green,178715,"Processor: MediaTek Helio G81-Ultra processorStorage & RAM: 8GB + 256GBDisplay: 6.88"" Dot Drop DisplayRear Camera: 50MP main cameraFront Camera: 13MP front cameraBattery & Charging: 5160mAh (typ)Supports 18W fast chargingConnectivity: Dual SIM + microSD",SKU: XI363MP5J6Q3DNAFAMZProduct Line: Best service Raya distribution NIG LTD - ACModel: REDMI 14CWeight (kg): 0.2Color: GreenShop Type: Jumia Mall,Matthew Aisaboluokpia,12-02-2025,5 out of 5,Perfect Easy to use and working well and have long lasting battery
Jumia Nigeria,Phones,XIAOMI,XIAOMI Redmi 14C 6.88'' 8GB RAM/256GB ROM Android 12-Sage Green,178715,"Processor: MediaTek Helio G81-Ultra processorStorage & RAM: 8GB + 256GBDisplay: 6.88"" Dot Drop DisplayRear Camera: 50MP main cameraFront Camera: 13MP front cameraBattery & Charging: 5160mAh (typ)Supports 18W fast chargingConnectivity: Dual SIM + microSD",SKU: XI363MP5J6Q3DNAFAMZProduct Line: Best service Raya distribution NIG LTD - ACModel: REDMI 14CWeight (kg): 0.2Color: GreenShop Type: Jumia Mall,Vincent,10-02-2025,4 out of 5,"love it Awesome phone and work's perfectly well. 
But what's with the 2 prongs charger head ? think Redmi can do better... Aside that phone works perfectly well."
