Store,Product Type,Brand,Product Name,Price,Features,Specification,Reviewer Name,Review Date,Rating,Reviewer Comment
Jumia Nigeria,Phones,XIAOMI,"XIAOMI Redmi A3 Pro 6.88"" 4GB RAM / 128GB ROM Android 14 - Midnight Black",134587,"Type:IPS LCDAspect Ratio and PPI:260 ppi densitySize: 6.88 inches, 112.4 cm2 (~84.0% screen-to-body ratio)Android 14, HyperOSMemory: 4GB /128GBSD Card Slot: microSDXC (dedicated slot)Battery Capacity: 5160 mAhType: 18WFast Charging: Yes",SKU: XI363MP56HLNPNAFAMZProduct Line: Best service Raya distribution NIG LTD - ACModel: Redmi A3 PRO 4+128Weight (kg): 0.2Color: Black,Dare,25-02-2025,5 out of 5,ok Perfectly okay and it's battery is good I like it
Jumia Nigeria,Phones,XIAOMI,"XIAOMI Redmi A3 Pro 6.88"" 4GB RAM / 128GB ROM Android 14 - Midnight Black",134587,"Type:IPS LCDAspect Ratio and PPI:260 ppi densitySize: 6.88 inches, 112.4 cm2 (~84.0% screen-to-body ratio)Android 14, HyperOSMemory: 4GB /128GBSD Card Slot: microSDXC (dedicated slot)Battery Capacity: 5160 mAhType: 18WFast Charging: Yes",SKU: XI363MP56HLNPNAFAMZProduct Line: Best service Raya distribution NIG LTD - ACModel: Redmi A3 PRO 4+128Weight (kg): 0.2Color: Black,Enya,24-02-2025,5 out of 5,Strong and authentic Great phone
Jumia Nigeria,Phones,XIAOMI,"XIAOMI Redmi A3 Pro 6.88"" 4GB RAM / 128GB ROM Android 14 - Midnight Black",134587,"Type:IPS LCDAspect Ratio and PPI:260 ppi densitySize: 6.88 inches, 112.4 cm2 (~84.0% screen-to-body ratio)Android 14, HyperOSMemory: 4GB /128GBSD Card Slot: microSDXC (dedicated slot)Battery Capacity: 5160 mAhType: 18WFast Charging: Yes",SKU: XI363MP56HLNPNAFAMZProduct Line: Best service Raya distribution NIG LTD - ACModel: Redmi A3 PRO 4+128Weight (kg): 0.2Color: Black,Chuks,20-02-2025,5 out of 5,"Efficiency It's very reliable, got exactly what I wanted"
Jumia Nigeria,Phones,XIAOMI,"XIAOMI Redmi A3 Pro 6.88"" 4GB RAM / 128GB ROM Android 14 - Midnight Black",134587,"Type:IPS LCDAspect Ratio and PPI:260 ppi densitySize: 6.88 inches, 112.4 cm2 (~84.0% screen-to-body ratio)Android 14, HyperOSMemory: 4GB /128GBSD Card Slot: microSDXC (dedicated slot)Battery Capacity: 5160 mAhType: 18WFast Charging: Yes",SKU: XI363MP56HLNPNAFAMZProduct Line: Best service Raya distribution NIG LTD - ACModel: Redmi A3 PRO 4+128Weight (kg): 0.2Color: Black,Roland,19-02-2025,5 out of 5,better phone Everything about the phone is awesome
Jumia Nigeria,Phones,XIAOMI,"XIAOMI Redmi A3 Pro 6.88"" 4GB RAM / 128GB ROM Android 14 - Midnight Black",134587,"Type:IPS LCDAspect Ratio and PPI:260 ppi densitySize: 6.88 inches, 112.4 cm2 (~84.0% screen-to-body ratio)Android 14, HyperOSMemory: 4GB /128GBSD Card Slot: microSDXC (dedicated slot)Battery Capacity: 5160 mAhType: 18WFast Charging: Yes",SKU: XI363MP56HLNPNAFAMZProduct Line: Best service Raya distribution NIG LTD - ACModel: Redmi A3 PRO 4+128Weight (kg): 0.2Color: Black,Success Drame,19-02-2025,4 out of 5,Loved it The person it was bought for loved it.
Jumia Nigeria,Phones,XIAOMI,"XIAOMI Redmi A3 Pro 6.88"" 4GB RAM / 128GB ROM Android 14 - Midnight Black",134587,"Type:IPS LCDAspect Ratio and PPI:260 ppi densitySize: 6.88 inches, 112.4 cm2 (~84.0% screen-to-body ratio)Android 14, HyperOSMemory: 4GB /128GBSD Card Slot: microSDXC (dedicated slot)Battery Capacity: 5160 mAhType: 18WFast Charging: Yes",SKU: XI363MP56HLNPNAFAMZProduct Line: Best service Raya distribution NIG LTD - ACModel: Redmi A3 PRO 4+128Weight (kg): 0.2Color: Black,Chukwuebuka,17-02-2025,5 out of 5,exactly what i ordered I recieved my package exactly as was advertised
Jumia Nigeria,Phones,XIAOMI,"XIAOMI Redmi A3 Pro 6.88"" 4GB RAM / 128GB ROM Android 14 - Midnight Black",134587,"Type:IPS LCDAspect Ratio and PPI:260 ppi densitySize: 6.88 inches, 112.4 cm2 (~84.0% screen-to-body ratio)Android 14, HyperOSMemory: 4GB /128GBSD Card Slot: microSDXC (dedicated slot)Battery Capacity: 5160 mAhType: 18WFast Charging: Yes",SKU: XI363MP56HLNPNAFAMZProduct Line: Best service Raya distribution NIG LTD - ACModel: Redmi A3 PRO 4+128Weight (kg): 0.2Color: Black,Abbey,13-02-2025,5 out of 5,"Good! I bought it for my brother he knows what's good! 
He's enjoying it said he loves it!"
Jumia Nigeria,Phones,XIAOMI,"XIAOMI Redmi A3 Pro 6.88"" 4GB RAM / 128GB ROM Android 14 - Midnight Black",134587,"Type:IPS LCDAspect Ratio and PPI:260 ppi densitySize: 6.88 inches, 112.4 cm2 (~84.0% screen-to-body ratio)Android 14, HyperOSMemory: 4GB /128GBSD Card Slot: microSDXC (dedicated slot)Battery Capacity: 5160 mAhType: 18WFast Charging: Yes",SKU: XI363MP56HLNPNAFAMZProduct Line: Best service Raya distribution NIG LTD - ACModel: Redmi A3 PRO 4+128Weight (kg): 0.2Color: Black,Obi,10-02-2025,5 out of 5,Amazing! Totally worth the price.
Jumia Nigeria,Phones,XIAOMI,"XIAOMI Redmi A3 Pro 6.88"" 4GB RAM / 128GB ROM Android 14 - Midnight Black",134587,"Type:IPS LCDAspect Ratio and PPI:260 ppi densitySize: 6.88 inches, 112.4 cm2 (~84.0% screen-to-body ratio)Android 14, HyperOSMemory: 4GB /128GBSD Card Slot: microSDXC (dedicated slot)Battery Capacity: 5160 mAhType: 18WFast Charging: Yes",SKU: XI363MP56HLNPNAFAMZProduct Line: Best service Raya distribution NIG LTD - ACModel: Redmi A3 PRO 4+128Weight (kg): 0.2Color: Black,Desmond,10-02-2025,5 out of 5,"Perfect phone,love it to the call Perfect phone,love it to the call"
Jumia Nigeria,Phones,XIAOMI,"XIAOMI Redmi A3 Pro 6.88"" 4GB RAM / 128GB ROM Android 14 - Midnight Black",134587,"Type:IPS LCDAspect Ratio and PPI:260 ppi densitySize: 6.88 inches, 112.4 cm2 (~84.0% screen-to-body ratio)Android 14, HyperOSMemory: 4GB /128GBSD Card Slot: microSDXC (dedicated slot)Battery Capacity: 5160 mAhType: 18WFast Charging: Yes",SKU: XI363MP56HLNPNAFAMZProduct Line: Best service Raya distribution NIG LTD - ACModel: Redmi A3 PRO 4+128Weight (kg): 0.2Color: Black,ABDULMUMIN,07-02-2025,5 out of 5,Redmi A3 Pro This phone is awesome and seamless to use. Very fast and long lasting battery
