Store,Product Type,Brand,Product Name,Price,Features,Specification,Reviewer Name,Review Date,Rating,Reviewer Comment
Jumia Nigeria,Phones,XIAOMI,"XIAOMI Redmi A3 Pro 6.88"" 4GB RAM / 128GB ROM Android 14 - Navy Blue",134587,"Type:IPS LCDAspect Ratio and PPI:260 ppi densitySize: 6.88 inches, 112.4 cm2 (~84.0% screen-to-body ratio)Android 14, HyperOSMemory: 4GB /128GBSD Card Slot: microSDXC (dedicated slot)Battery Capacity: 5160 mAhType: 18WFast Charging: Yes",SKU: XI363MP6L1FOGNAFAMZWeight (kg): 0.2,Goodluck,27-02-2025,3 out of 5,no regret Good product
Jumia Nigeria,Phones,XIAOMI,"XIAOMI Redmi A3 Pro 6.88"" 4GB RAM / 128GB ROM Android 14 - Navy Blue",134587,"Type:IPS LCDAspect Ratio and PPI:260 ppi densitySize: 6.88 inches, 112.4 cm2 (~84.0% screen-to-body ratio)Android 14, HyperOSMemory: 4GB /128GBSD Card Slot: microSDXC (dedicated slot)Battery Capacity: 5160 mAhType: 18WFast Charging: Yes",SKU: XI363MP6L1FOGNAFAMZWeight (kg): 0.2,Bilyaminu,20-02-2025,5 out of 5,"I love it The product is good and the battery is lasting, I really appreciate"
Jumia Nigeria,Phones,XIAOMI,"XIAOMI Redmi A3 Pro 6.88"" 4GB RAM / 128GB ROM Android 14 - Navy Blue",134587,"Type:IPS LCDAspect Ratio and PPI:260 ppi densitySize: 6.88 inches, 112.4 cm2 (~84.0% screen-to-body ratio)Android 14, HyperOSMemory: 4GB /128GBSD Card Slot: microSDXC (dedicated slot)Battery Capacity: 5160 mAhType: 18WFast Charging: Yes",SKU: XI363MP6L1FOGNAFAMZWeight (kg): 0.2,Chibuike,05-02-2025,5 out of 5,"NICE PHONE Battery is ok 
The camera is ok"
Jumia Nigeria,Phones,XIAOMI,"XIAOMI Redmi A3 Pro 6.88"" 4GB RAM / 128GB ROM Android 14 - Navy Blue",134587,"Type:IPS LCDAspect Ratio and PPI:260 ppi densitySize: 6.88 inches, 112.4 cm2 (~84.0% screen-to-body ratio)Android 14, HyperOSMemory: 4GB /128GBSD Card Slot: microSDXC (dedicated slot)Battery Capacity: 5160 mAhType: 18WFast Charging: Yes",SKU: XI363MP6L1FOGNAFAMZWeight (kg): 0.2,Abasiodiong,17-01-2025,4 out of 5,if earphone can be added it will be awesome The phone look sharp and smart
Jumia Nigeria,Phones,XIAOMI,"XIAOMI Redmi A3 Pro 6.88"" 4GB RAM / 128GB ROM Android 14 - Navy Blue",134587,"Type:IPS LCDAspect Ratio and PPI:260 ppi densitySize: 6.88 inches, 112.4 cm2 (~84.0% screen-to-body ratio)Android 14, HyperOSMemory: 4GB /128GBSD Card Slot: microSDXC (dedicated slot)Battery Capacity: 5160 mAhType: 18WFast Charging: Yes",SKU: XI363MP6L1FOGNAFAMZWeight (kg): 0.2,Ogidan,15-01-2025,5 out of 5,nice Wow
Jumia Nigeria,Phones,XIAOMI,"XIAOMI Redmi A3 Pro 6.88"" 4GB RAM / 128GB ROM Android 14 - Navy Blue",134587,"Type:IPS LCDAspect Ratio and PPI:260 ppi densitySize: 6.88 inches, 112.4 cm2 (~84.0% screen-to-body ratio)Android 14, HyperOSMemory: 4GB /128GBSD Card Slot: microSDXC (dedicated slot)Battery Capacity: 5160 mAhType: 18WFast Charging: Yes",SKU: XI363MP6L1FOGNAFAMZWeight (kg): 0.2,Thomas,13-01-2025,3 out of 5,Fast networking its a wonderful one and a great one
Jumia Nigeria,Phones,XIAOMI,"XIAOMI Redmi A3 Pro 6.88"" 4GB RAM / 128GB ROM Android 14 - Navy Blue",134587,"Type:IPS LCDAspect Ratio and PPI:260 ppi densitySize: 6.88 inches, 112.4 cm2 (~84.0% screen-to-body ratio)Android 14, HyperOSMemory: 4GB /128GBSD Card Slot: microSDXC (dedicated slot)Battery Capacity: 5160 mAhType: 18WFast Charging: Yes",SKU: XI363MP6L1FOGNAFAMZWeight (kg): 0.2,Daniel,08-01-2025,5 out of 5,Its amazing It's nice and user friendly
Jumia Nigeria,Phones,XIAOMI,"XIAOMI Redmi A3 Pro 6.88"" 4GB RAM / 128GB ROM Android 14 - Navy Blue",134587,"Type:IPS LCDAspect Ratio and PPI:260 ppi densitySize: 6.88 inches, 112.4 cm2 (~84.0% screen-to-body ratio)Android 14, HyperOSMemory: 4GB /128GBSD Card Slot: microSDXC (dedicated slot)Battery Capacity: 5160 mAhType: 18WFast Charging: Yes",SKU: XI363MP6L1FOGNAFAMZWeight (kg): 0.2,BLESSED,08-01-2025,4 out of 5,smart It serves it's purpose of purchase
Jumia Nigeria,Phones,XIAOMI,"XIAOMI Redmi A3 Pro 6.88"" 4GB RAM / 128GB ROM Android 14 - Navy Blue",134587,"Type:IPS LCDAspect Ratio and PPI:260 ppi densitySize: 6.88 inches, 112.4 cm2 (~84.0% screen-to-body ratio)Android 14, HyperOSMemory: 4GB /128GBSD Card Slot: microSDXC (dedicated slot)Battery Capacity: 5160 mAhType: 18WFast Charging: Yes",SKU: XI363MP6L1FOGNAFAMZWeight (kg): 0.2,Abdumu'min,02-01-2025,5 out of 5,Cool Phone Great phone for the price range and very strong battery. I recommend.
Jumia Nigeria,Phones,XIAOMI,"XIAOMI Redmi A3 Pro 6.88"" 4GB RAM / 128GB ROM Android 14 - Navy Blue",134587,"Type:IPS LCDAspect Ratio and PPI:260 ppi densitySize: 6.88 inches, 112.4 cm2 (~84.0% screen-to-body ratio)Android 14, HyperOSMemory: 4GB /128GBSD Card Slot: microSDXC (dedicated slot)Battery Capacity: 5160 mAhType: 18WFast Charging: Yes",SKU: XI363MP6L1FOGNAFAMZWeight (kg): 0.2,OLASUNKANMI,30-12-2024,4 out of 5,cool Cool phone
