Store,Product Type,Brand,Product Name,Price,Features,Specification,Reviewer Name,Review Date,Rating,Reviewer Comment
Jumia Nigeria,Phones,XIAOMI,"XIAOMI Redmi A3x 6.71"" 4GB RAM/128GB ROM Android 14 - White",128318,Processor : MediaTek Helio G36 - Higher clock speed up to 2.2GHzMemory: 4GB RAM 128GB ROMSIM Type: Nano-SIMSIM Count: Dual-SIMRear Cameras : 8MP AI Dual CameraBattery Capacity : 5000 mAh (typ)Dimensions : 168.4mm x 76.3mm x 8.3mmSize: 17.04cm(6.71-inch),SKU: XI363MP6A915JNAFAMZProduct Line: Best service Raya distribution NIG LTD - ACModel: Redmi A3XWeight (kg): 0.15Color: WhiteShop Type: Jumia Mall,Promise Alaehie,27-02-2025,5 out of 5,Battery life is great. Sis loves it.
Jumia Nigeria,Phones,XIAOMI,"XIAOMI Redmi A3x 6.71"" 4GB RAM/128GB ROM Android 14 - White",128318,Processor : MediaTek Helio G36 - Higher clock speed up to 2.2GHzMemory: 4GB RAM 128GB ROMSIM Type: Nano-SIMSIM Count: Dual-SIMRear Cameras : 8MP AI Dual CameraBattery Capacity : 5000 mAh (typ)Dimensions : 168.4mm x 76.3mm x 8.3mmSize: 17.04cm(6.71-inch),SKU: XI363MP6A915JNAFAMZProduct Line: Best service Raya distribution NIG LTD - ACModel: Redmi A3XWeight (kg): 0.15Color: WhiteShop Type: Jumia Mall,Moni,27-02-2025,5 out of 5,What I ordered was what I got Perfect and working well
Jumia Nigeria,Phones,XIAOMI,"XIAOMI Redmi A3x 6.71"" 4GB RAM/128GB ROM Android 14 - White",128318,Processor : MediaTek Helio G36 - Higher clock speed up to 2.2GHzMemory: 4GB RAM 128GB ROMSIM Type: Nano-SIMSIM Count: Dual-SIMRear Cameras : 8MP AI Dual CameraBattery Capacity : 5000 mAh (typ)Dimensions : 168.4mm x 76.3mm x 8.3mmSize: 17.04cm(6.71-inch),SKU: XI363MP6A915JNAFAMZProduct Line: Best service Raya distribution NIG LTD - ACModel: Redmi A3XWeight (kg): 0.15Color: WhiteShop Type: Jumia Mall,Gloria,24-02-2025,4 out of 5,"Its sleek, light and pocket  friendly. The camera isn's so bright as expected. They could work on that."
Jumia Nigeria,Phones,XIAOMI,"XIAOMI Redmi A3x 6.71"" 4GB RAM/128GB ROM Android 14 - White",128318,Processor : MediaTek Helio G36 - Higher clock speed up to 2.2GHzMemory: 4GB RAM 128GB ROMSIM Type: Nano-SIMSIM Count: Dual-SIMRear Cameras : 8MP AI Dual CameraBattery Capacity : 5000 mAh (typ)Dimensions : 168.4mm x 76.3mm x 8.3mmSize: 17.04cm(6.71-inch),SKU: XI363MP6A915JNAFAMZProduct Line: Best service Raya distribution NIG LTD - ACModel: Redmi A3XWeight (kg): 0.15Color: WhiteShop Type: Jumia Mall,Oladayo,11-02-2025,5 out of 5,sleek and hansable phone Really good and moderate phone. Pocket friendly
Jumia Nigeria,Phones,XIAOMI,"XIAOMI Redmi A3x 6.71"" 4GB RAM/128GB ROM Android 14 - White",128318,Processor : MediaTek Helio G36 - Higher clock speed up to 2.2GHzMemory: 4GB RAM 128GB ROMSIM Type: Nano-SIMSIM Count: Dual-SIMRear Cameras : 8MP AI Dual CameraBattery Capacity : 5000 mAh (typ)Dimensions : 168.4mm x 76.3mm x 8.3mmSize: 17.04cm(6.71-inch),SKU: XI363MP6A915JNAFAMZProduct Line: Best service Raya distribution NIG LTD - ACModel: Redmi A3XWeight (kg): 0.15Color: WhiteShop Type: Jumia Mall,Anuoluwapo Ayeni,03-02-2025,3 out of 5,"Okay but can be better The processor is slow, the screen view is not soo good."
Jumia Nigeria,Phones,XIAOMI,"XIAOMI Redmi A3x 6.71"" 4GB RAM/128GB ROM Android 14 - White",128318,Processor : MediaTek Helio G36 - Higher clock speed up to 2.2GHzMemory: 4GB RAM 128GB ROMSIM Type: Nano-SIMSIM Count: Dual-SIMRear Cameras : 8MP AI Dual CameraBattery Capacity : 5000 mAh (typ)Dimensions : 168.4mm x 76.3mm x 8.3mmSize: 17.04cm(6.71-inch),SKU: XI363MP6A915JNAFAMZProduct Line: Best service Raya distribution NIG LTD - ACModel: Redmi A3XWeight (kg): 0.15Color: WhiteShop Type: Jumia Mall,Okunade Olorode,21-01-2025,4 out of 5,"upgrade the battery If the battery capacity can be upgraded to 6000mah, it will be more better for a longer life"
Jumia Nigeria,Phones,XIAOMI,"XIAOMI Redmi A3x 6.71"" 4GB RAM/128GB ROM Android 14 - White",128318,Processor : MediaTek Helio G36 - Higher clock speed up to 2.2GHzMemory: 4GB RAM 128GB ROMSIM Type: Nano-SIMSIM Count: Dual-SIMRear Cameras : 8MP AI Dual CameraBattery Capacity : 5000 mAh (typ)Dimensions : 168.4mm x 76.3mm x 8.3mmSize: 17.04cm(6.71-inch),SKU: XI363MP6A915JNAFAMZProduct Line: Best service Raya distribution NIG LTD - ACModel: Redmi A3XWeight (kg): 0.15Color: WhiteShop Type: Jumia Mall,Paul Osagie,21-01-2025,5 out of 5,A3x Nice phone
Jumia Nigeria,Phones,XIAOMI,"XIAOMI Redmi A3x 6.71"" 4GB RAM/128GB ROM Android 14 - White",128318,Processor : MediaTek Helio G36 - Higher clock speed up to 2.2GHzMemory: 4GB RAM 128GB ROMSIM Type: Nano-SIMSIM Count: Dual-SIMRear Cameras : 8MP AI Dual CameraBattery Capacity : 5000 mAh (typ)Dimensions : 168.4mm x 76.3mm x 8.3mmSize: 17.04cm(6.71-inch),SKU: XI363MP6A915JNAFAMZProduct Line: Best service Raya distribution NIG LTD - ACModel: Redmi A3XWeight (kg): 0.15Color: WhiteShop Type: Jumia Mall,Oluwatosin Jamodu Jamodu,17-01-2025,5 out of 5,Battery last longing Battery last longing
Jumia Nigeria,Phones,XIAOMI,"XIAOMI Redmi A3x 6.71"" 4GB RAM/128GB ROM Android 14 - White",128318,Processor : MediaTek Helio G36 - Higher clock speed up to 2.2GHzMemory: 4GB RAM 128GB ROMSIM Type: Nano-SIMSIM Count: Dual-SIMRear Cameras : 8MP AI Dual CameraBattery Capacity : 5000 mAh (typ)Dimensions : 168.4mm x 76.3mm x 8.3mmSize: 17.04cm(6.71-inch),SKU: XI363MP6A915JNAFAMZProduct Line: Best service Raya distribution NIG LTD - ACModel: Redmi A3XWeight (kg): 0.15Color: WhiteShop Type: Jumia Mall,Adams,17-01-2025,5 out of 5,???????? Exactly what I ordered
Jumia Nigeria,Phones,XIAOMI,"XIAOMI Redmi A3x 6.71"" 4GB RAM/128GB ROM Android 14 - White",128318,Processor : MediaTek Helio G36 - Higher clock speed up to 2.2GHzMemory: 4GB RAM 128GB ROMSIM Type: Nano-SIMSIM Count: Dual-SIMRear Cameras : 8MP AI Dual CameraBattery Capacity : 5000 mAh (typ)Dimensions : 168.4mm x 76.3mm x 8.3mmSize: 17.04cm(6.71-inch),SKU: XI363MP6A915JNAFAMZProduct Line: Best service Raya distribution NIG LTD - ACModel: Redmi A3XWeight (kg): 0.15Color: WhiteShop Type: Jumia Mall,Mabel,17-01-2025,3 out of 5,I like it Smart and affordable
