Store,Product Type,Brand,Product Name,Price,Features,Specification,Reviewer Name,Review Date,Rating,Reviewer Comment
Jumia Nigeria,Phones,XIAOMI,"XIAOMI Redmi A3x 6.71"" 3GB RAM/64GB ROM Android 14 - Black",108464,Processor : MediaTek Helio G36 - Higher clock speed up to 2.2GHzMemory: 3GB RAM 64GB ROMSIM Type: Nano-SIMSIM Count: Dual-SIMRear Cameras : 8MP AI Dual CameraBattery Capacity : 5000 mAh (typ)Dimensions : 168.4mm x 76.3mm x 8.3mmSize: 17.04cm(6.71-inch),SKU: XI363MP5VOZEVNAFAMZProduct Line: Best service Raya distribution NIG LTD - ACModel: Redmi A3XWeight (kg): 0.15Color: BlackProduct Type: SmartphonesShop Type: Jumia Mall,Sky,24-02-2025,5 out of 5,Good Product Order the phone for mum and she hasn't complained..Meaning its good
Jumia Nigeria,Phones,XIAOMI,"XIAOMI Redmi A3x 6.71"" 3GB RAM/64GB ROM Android 14 - Black",108464,Processor : MediaTek Helio G36 - Higher clock speed up to 2.2GHzMemory: 3GB RAM 64GB ROMSIM Type: Nano-SIMSIM Count: Dual-SIMRear Cameras : 8MP AI Dual CameraBattery Capacity : 5000 mAh (typ)Dimensions : 168.4mm x 76.3mm x 8.3mmSize: 17.04cm(6.71-inch),SKU: XI363MP5VOZEVNAFAMZProduct Line: Best service Raya distribution NIG LTD - ACModel: Redmi A3XWeight (kg): 0.15Color: BlackProduct Type: SmartphonesShop Type: Jumia Mall,Dorcas,04-02-2025,5 out of 5,Good quality My sister loved it
Jumia Nigeria,Phones,XIAOMI,"XIAOMI Redmi A3x 6.71"" 3GB RAM/64GB ROM Android 14 - Black",108464,Processor : MediaTek Helio G36 - Higher clock speed up to 2.2GHzMemory: 3GB RAM 64GB ROMSIM Type: Nano-SIMSIM Count: Dual-SIMRear Cameras : 8MP AI Dual CameraBattery Capacity : 5000 mAh (typ)Dimensions : 168.4mm x 76.3mm x 8.3mmSize: 17.04cm(6.71-inch),SKU: XI363MP5VOZEVNAFAMZProduct Line: Best service Raya distribution NIG LTD - ACModel: Redmi A3XWeight (kg): 0.15Color: BlackProduct Type: SmartphonesShop Type: Jumia Mall,Nonso,03-02-2025,5 out of 5,working correct Nice working
Jumia Nigeria,Phones,XIAOMI,"XIAOMI Redmi A3x 6.71"" 3GB RAM/64GB ROM Android 14 - Black",108464,Processor : MediaTek Helio G36 - Higher clock speed up to 2.2GHzMemory: 3GB RAM 64GB ROMSIM Type: Nano-SIMSIM Count: Dual-SIMRear Cameras : 8MP AI Dual CameraBattery Capacity : 5000 mAh (typ)Dimensions : 168.4mm x 76.3mm x 8.3mmSize: 17.04cm(6.71-inch),SKU: XI363MP5VOZEVNAFAMZProduct Line: Best service Raya distribution NIG LTD - ACModel: Redmi A3XWeight (kg): 0.15Color: BlackProduct Type: SmartphonesShop Type: Jumia Mall,Adeyemo,16-12-2024,5 out of 5,I like it It is durable and the camera is very clear
Jumia Nigeria,Phones,XIAOMI,"XIAOMI Redmi A3x 6.71"" 3GB RAM/64GB ROM Android 14 - Black",108464,Processor : MediaTek Helio G36 - Higher clock speed up to 2.2GHzMemory: 3GB RAM 64GB ROMSIM Type: Nano-SIMSIM Count: Dual-SIMRear Cameras : 8MP AI Dual CameraBattery Capacity : 5000 mAh (typ)Dimensions : 168.4mm x 76.3mm x 8.3mmSize: 17.04cm(6.71-inch),SKU: XI363MP5VOZEVNAFAMZProduct Line: Best service Raya distribution NIG LTD - ACModel: Redmi A3XWeight (kg): 0.15Color: BlackProduct Type: SmartphonesShop Type: Jumia Mall,Musa Bashir Yunusa,09-12-2024,4 out of 5,No touch light increase/decrease The light doesn’t have where to increase and decrease brightness on the touch light.
Jumia Nigeria,Phones,XIAOMI,"XIAOMI Redmi A3x 6.71"" 3GB RAM/64GB ROM Android 14 - Black",108464,Processor : MediaTek Helio G36 - Higher clock speed up to 2.2GHzMemory: 3GB RAM 64GB ROMSIM Type: Nano-SIMSIM Count: Dual-SIMRear Cameras : 8MP AI Dual CameraBattery Capacity : 5000 mAh (typ)Dimensions : 168.4mm x 76.3mm x 8.3mmSize: 17.04cm(6.71-inch),SKU: XI363MP5VOZEVNAFAMZProduct Line: Best service Raya distribution NIG LTD - ACModel: Redmi A3XWeight (kg): 0.15Color: BlackProduct Type: SmartphonesShop Type: Jumia Mall,Ruth,05-12-2024,4 out of 5,Love its space. The camera is not sharp enough.
Jumia Nigeria,Phones,XIAOMI,"XIAOMI Redmi A3x 6.71"" 3GB RAM/64GB ROM Android 14 - Black",108464,Processor : MediaTek Helio G36 - Higher clock speed up to 2.2GHzMemory: 3GB RAM 64GB ROMSIM Type: Nano-SIMSIM Count: Dual-SIMRear Cameras : 8MP AI Dual CameraBattery Capacity : 5000 mAh (typ)Dimensions : 168.4mm x 76.3mm x 8.3mmSize: 17.04cm(6.71-inch),SKU: XI363MP5VOZEVNAFAMZProduct Line: Best service Raya distribution NIG LTD - ACModel: Redmi A3XWeight (kg): 0.15Color: BlackProduct Type: SmartphonesShop Type: Jumia Mall,Oluwaseun,02-12-2024,5 out of 5,okay ans woeks well Redmi has always been a reliable brand
Jumia Nigeria,Phones,XIAOMI,"XIAOMI Redmi A3x 6.71"" 3GB RAM/64GB ROM Android 14 - Black",108464,Processor : MediaTek Helio G36 - Higher clock speed up to 2.2GHzMemory: 3GB RAM 64GB ROMSIM Type: Nano-SIMSIM Count: Dual-SIMRear Cameras : 8MP AI Dual CameraBattery Capacity : 5000 mAh (typ)Dimensions : 168.4mm x 76.3mm x 8.3mmSize: 17.04cm(6.71-inch),SKU: XI363MP5VOZEVNAFAMZProduct Line: Best service Raya distribution NIG LTD - ACModel: Redmi A3XWeight (kg): 0.15Color: BlackProduct Type: SmartphonesShop Type: Jumia Mall,Makuo,29-11-2024,5 out of 5,I like it The phone is good and works perfectly.
Jumia Nigeria,Phones,XIAOMI,"XIAOMI Redmi A3x 6.71"" 3GB RAM/64GB ROM Android 14 - Black",108464,Processor : MediaTek Helio G36 - Higher clock speed up to 2.2GHzMemory: 3GB RAM 64GB ROMSIM Type: Nano-SIMSIM Count: Dual-SIMRear Cameras : 8MP AI Dual CameraBattery Capacity : 5000 mAh (typ)Dimensions : 168.4mm x 76.3mm x 8.3mmSize: 17.04cm(6.71-inch),SKU: XI363MP5VOZEVNAFAMZProduct Line: Best service Raya distribution NIG LTD - ACModel: Redmi A3XWeight (kg): 0.15Color: BlackProduct Type: SmartphonesShop Type: Jumia Mall,Ifeanyi,20-11-2024,3 out of 5,I like it I like it
Jumia Nigeria,Phones,XIAOMI,"XIAOMI Redmi A3x 6.71"" 3GB RAM/64GB ROM Android 14 - Black",108464,Processor : MediaTek Helio G36 - Higher clock speed up to 2.2GHzMemory: 3GB RAM 64GB ROMSIM Type: Nano-SIMSIM Count: Dual-SIMRear Cameras : 8MP AI Dual CameraBattery Capacity : 5000 mAh (typ)Dimensions : 168.4mm x 76.3mm x 8.3mmSize: 17.04cm(6.71-inch),SKU: XI363MP5VOZEVNAFAMZProduct Line: Best service Raya distribution NIG LTD - ACModel: Redmi A3XWeight (kg): 0.15Color: BlackProduct Type: SmartphonesShop Type: Jumia Mall,Oluwagbenga,18-11-2024,5 out of 5,best Good at that price....... My wife loves it
Jumia Nigeria,Phones,XIAOMI,"XIAOMI Redmi A3x 6.71"" 3GB RAM/64GB ROM Android 14 - Black",108464,Processor : MediaTek Helio G36 - Higher clock speed up to 2.2GHzMemory: 3GB RAM 64GB ROMSIM Type: Nano-SIMSIM Count: Dual-SIMRear Cameras : 8MP AI Dual CameraBattery Capacity : 5000 mAh (typ)Dimensions : 168.4mm x 76.3mm x 8.3mmSize: 17.04cm(6.71-inch),SKU: XI363MP5VOZEVNAFAMZProduct Line: Best service Raya distribution NIG LTD - ACModel: Redmi A3XWeight (kg): 0.15Color: BlackProduct Type: SmartphonesShop Type: Jumia Mall,Marvellous,14-11-2024,5 out of 5,Great device Great phone!!!. Love it
Jumia Nigeria,Phones,XIAOMI,"XIAOMI Redmi A3x 6.71"" 3GB RAM/64GB ROM Android 14 - Black",108464,Processor : MediaTek Helio G36 - Higher clock speed up to 2.2GHzMemory: 3GB RAM 64GB ROMSIM Type: Nano-SIMSIM Count: Dual-SIMRear Cameras : 8MP AI Dual CameraBattery Capacity : 5000 mAh (typ)Dimensions : 168.4mm x 76.3mm x 8.3mmSize: 17.04cm(6.71-inch),SKU: XI363MP5VOZEVNAFAMZProduct Line: Best service Raya distribution NIG LTD - ACModel: Redmi A3XWeight (kg): 0.15Color: BlackProduct Type: SmartphonesShop Type: Jumia Mall,Seyi,11-11-2024,5 out of 5,Fantastic Working very well... I love it!!!!
Jumia Nigeria,Phones,XIAOMI,"XIAOMI Redmi A3x 6.71"" 3GB RAM/64GB ROM Android 14 - Black",108464,Processor : MediaTek Helio G36 - Higher clock speed up to 2.2GHzMemory: 3GB RAM 64GB ROMSIM Type: Nano-SIMSIM Count: Dual-SIMRear Cameras : 8MP AI Dual CameraBattery Capacity : 5000 mAh (typ)Dimensions : 168.4mm x 76.3mm x 8.3mmSize: 17.04cm(6.71-inch),SKU: XI363MP5VOZEVNAFAMZProduct Line: Best service Raya distribution NIG LTD - ACModel: Redmi A3XWeight (kg): 0.15Color: BlackProduct Type: SmartphonesShop Type: Jumia Mall,Emmanuel Ugodu,11-11-2024,3 out of 5,No ear piece I was shocked when I inboxed it and couldn’t find ear piece. I’m a music music person and I’m kinda disappointed
Jumia Nigeria,Phones,XIAOMI,"XIAOMI Redmi A3x 6.71"" 3GB RAM/64GB ROM Android 14 - Black",108464,Processor : MediaTek Helio G36 - Higher clock speed up to 2.2GHzMemory: 3GB RAM 64GB ROMSIM Type: Nano-SIMSIM Count: Dual-SIMRear Cameras : 8MP AI Dual CameraBattery Capacity : 5000 mAh (typ)Dimensions : 168.4mm x 76.3mm x 8.3mmSize: 17.04cm(6.71-inch),SKU: XI363MP5VOZEVNAFAMZProduct Line: Best service Raya distribution NIG LTD - ACModel: Redmi A3XWeight (kg): 0.15Color: BlackProduct Type: SmartphonesShop Type: Jumia Mall,Manuel Ayomikun,04-11-2024,5 out of 5,Good It’s nice
