Store,Product Type,Brand,Product Name,Price,Features,Specification,Reviewer Name,Review Date,Rating,Reviewer Comment
Jumia Nigeria,Phones,XIAOMI,"XIAOMI Redmi Note 14 6.67"" 8GB RAM/256 GB ROM HyperOS -108MP AI Camera - Midnight Black",282420,"Processor:Snapdragon® 6856nm manufacturing process technology CPU: Octa-core CPU, up to 2.8GHzGPU: Adreno 610 Storage & RAM: 8GB+256GB Display: 6.67"" AMOLED display Refresh rate: Up to 120Hz Brightness: 1800 nits peak brightness Contrast ratio: 5,000,000:1100% DCI-P3 wide colour gamut Resolution: 2400 x 1080Corning® Gorilla® Glass 3 Rear Camera: 108MP+8MP+2MP triple camera 108MP main camera 16MP front camera Battery & Charging:5000mAh Supports 33W fast charging 33W fast charger in box (USB-C)",SKU: XI363MP7H0DCQNAFAMZModel: Note 14 8+256Weight (kg): 0.2Color: Black,Husaini,28-02-2025,5 out of 5,"cool Just as expected. Fast charging, nice looking, not heavy."
Jumia Nigeria,Phones,XIAOMI,"XIAOMI Redmi Note 14 6.67"" 8GB RAM/256 GB ROM HyperOS -108MP AI Camera - Midnight Black",282420,"Processor:Snapdragon® 6856nm manufacturing process technology CPU: Octa-core CPU, up to 2.8GHzGPU: Adreno 610 Storage & RAM: 8GB+256GB Display: 6.67"" AMOLED display Refresh rate: Up to 120Hz Brightness: 1800 nits peak brightness Contrast ratio: 5,000,000:1100% DCI-P3 wide colour gamut Resolution: 2400 x 1080Corning® Gorilla® Glass 3 Rear Camera: 108MP+8MP+2MP triple camera 108MP main camera 16MP front camera Battery & Charging:5000mAh Supports 33W fast charging 33W fast charger in box (USB-C)",SKU: XI363MP7H0DCQNAFAMZModel: Note 14 8+256Weight (kg): 0.2Color: Black, OKOYE,25-02-2025,4 out of 5,GOOD Not bad for the price.
Jumia Nigeria,Phones,XIAOMI,"XIAOMI Redmi Note 14 6.67"" 8GB RAM/256 GB ROM HyperOS -108MP AI Camera - Midnight Black",282420,"Processor:Snapdragon® 6856nm manufacturing process technology CPU: Octa-core CPU, up to 2.8GHzGPU: Adreno 610 Storage & RAM: 8GB+256GB Display: 6.67"" AMOLED display Refresh rate: Up to 120Hz Brightness: 1800 nits peak brightness Contrast ratio: 5,000,000:1100% DCI-P3 wide colour gamut Resolution: 2400 x 1080Corning® Gorilla® Glass 3 Rear Camera: 108MP+8MP+2MP triple camera 108MP main camera 16MP front camera Battery & Charging:5000mAh Supports 33W fast charging 33W fast charger in box (USB-C)",SKU: XI363MP7H0DCQNAFAMZModel: Note 14 8+256Weight (kg): 0.2Color: Black,Victor,25-02-2025,4 out of 5,"It's working perfectly so far It's working perfectly so far, very good value for money"
Jumia Nigeria,Phones,XIAOMI,"XIAOMI Redmi Note 14 6.67"" 8GB RAM/256 GB ROM HyperOS -108MP AI Camera - Midnight Black",282420,"Processor:Snapdragon® 6856nm manufacturing process technology CPU: Octa-core CPU, up to 2.8GHzGPU: Adreno 610 Storage & RAM: 8GB+256GB Display: 6.67"" AMOLED display Refresh rate: Up to 120Hz Brightness: 1800 nits peak brightness Contrast ratio: 5,000,000:1100% DCI-P3 wide colour gamut Resolution: 2400 x 1080Corning® Gorilla® Glass 3 Rear Camera: 108MP+8MP+2MP triple camera 108MP main camera 16MP front camera Battery & Charging:5000mAh Supports 33W fast charging 33W fast charger in box (USB-C)",SKU: XI363MP7H0DCQNAFAMZModel: Note 14 8+256Weight (kg): 0.2Color: Black,Tess,24-02-2025,5 out of 5,lovely Awesome. Enjoying every bit of it.
Jumia Nigeria,Phones,XIAOMI,"XIAOMI Redmi Note 14 6.67"" 8GB RAM/256 GB ROM HyperOS -108MP AI Camera - Midnight Black",282420,"Processor:Snapdragon® 6856nm manufacturing process technology CPU: Octa-core CPU, up to 2.8GHzGPU: Adreno 610 Storage & RAM: 8GB+256GB Display: 6.67"" AMOLED display Refresh rate: Up to 120Hz Brightness: 1800 nits peak brightness Contrast ratio: 5,000,000:1100% DCI-P3 wide colour gamut Resolution: 2400 x 1080Corning® Gorilla® Glass 3 Rear Camera: 108MP+8MP+2MP triple camera 108MP main camera 16MP front camera Battery & Charging:5000mAh Supports 33W fast charging 33W fast charger in box (USB-C)",SKU: XI363MP7H0DCQNAFAMZModel: Note 14 8+256Weight (kg): 0.2Color: Black,Oladipo,24-02-2025,5 out of 5,Good Device Device works fine.
Jumia Nigeria,Phones,XIAOMI,"XIAOMI Redmi Note 14 6.67"" 8GB RAM/256 GB ROM HyperOS -108MP AI Camera - Midnight Black",282420,"Processor:Snapdragon® 6856nm manufacturing process technology CPU: Octa-core CPU, up to 2.8GHzGPU: Adreno 610 Storage & RAM: 8GB+256GB Display: 6.67"" AMOLED display Refresh rate: Up to 120Hz Brightness: 1800 nits peak brightness Contrast ratio: 5,000,000:1100% DCI-P3 wide colour gamut Resolution: 2400 x 1080Corning® Gorilla® Glass 3 Rear Camera: 108MP+8MP+2MP triple camera 108MP main camera 16MP front camera Battery & Charging:5000mAh Supports 33W fast charging 33W fast charger in box (USB-C)",SKU: XI363MP7H0DCQNAFAMZModel: Note 14 8+256Weight (kg): 0.2Color: Black,Seyifunmi,20-02-2025,4 out of 5,"I love it The camera is top notch. The sound is dope. The charging is fast. The phone system is fast.
The battery is not that strong but it's still Okay for everyday use. Overall, I'm loving the phone. It's a beauty."
Jumia Nigeria,Phones,XIAOMI,"XIAOMI Redmi Note 14 6.67"" 8GB RAM/256 GB ROM HyperOS -108MP AI Camera - Midnight Black",282420,"Processor:Snapdragon® 6856nm manufacturing process technology CPU: Octa-core CPU, up to 2.8GHzGPU: Adreno 610 Storage & RAM: 8GB+256GB Display: 6.67"" AMOLED display Refresh rate: Up to 120Hz Brightness: 1800 nits peak brightness Contrast ratio: 5,000,000:1100% DCI-P3 wide colour gamut Resolution: 2400 x 1080Corning® Gorilla® Glass 3 Rear Camera: 108MP+8MP+2MP triple camera 108MP main camera 16MP front camera Battery & Charging:5000mAh Supports 33W fast charging 33W fast charger in box (USB-C)",SKU: XI363MP7H0DCQNAFAMZModel: Note 14 8+256Weight (kg): 0.2Color: Black,Obasi Princess,19-02-2025,4 out of 5,Redmi phone The phone is very nice and it came with the ear buds as seen I love it
Jumia Nigeria,Phones,XIAOMI,"XIAOMI Redmi Note 14 6.67"" 8GB RAM/256 GB ROM HyperOS -108MP AI Camera - Midnight Black",282420,"Processor:Snapdragon® 6856nm manufacturing process technology CPU: Octa-core CPU, up to 2.8GHzGPU: Adreno 610 Storage & RAM: 8GB+256GB Display: 6.67"" AMOLED display Refresh rate: Up to 120Hz Brightness: 1800 nits peak brightness Contrast ratio: 5,000,000:1100% DCI-P3 wide colour gamut Resolution: 2400 x 1080Corning® Gorilla® Glass 3 Rear Camera: 108MP+8MP+2MP triple camera 108MP main camera 16MP front camera Battery & Charging:5000mAh Supports 33W fast charging 33W fast charger in box (USB-C)",SKU: XI363MP7H0DCQNAFAMZModel: Note 14 8+256Weight (kg): 0.2Color: Black,Ruth,19-02-2025,5 out of 5,Fair deal! I got what I ordered. It is light and sleek and the processing speed is on point. The battery is also amazing. I'm just bummed about the fact that it isn't NFC enabled.
Jumia Nigeria,Phones,XIAOMI,"XIAOMI Redmi Note 14 6.67"" 8GB RAM/256 GB ROM HyperOS -108MP AI Camera - Midnight Black",282420,"Processor:Snapdragon® 6856nm manufacturing process technology CPU: Octa-core CPU, up to 2.8GHzGPU: Adreno 610 Storage & RAM: 8GB+256GB Display: 6.67"" AMOLED display Refresh rate: Up to 120Hz Brightness: 1800 nits peak brightness Contrast ratio: 5,000,000:1100% DCI-P3 wide colour gamut Resolution: 2400 x 1080Corning® Gorilla® Glass 3 Rear Camera: 108MP+8MP+2MP triple camera 108MP main camera 16MP front camera Battery & Charging:5000mAh Supports 33W fast charging 33W fast charger in box (USB-C)",SKU: XI363MP7H0DCQNAFAMZModel: Note 14 8+256Weight (kg): 0.2Color: Black,Suleiman,17-02-2025,5 out of 5,Great Phone I love this phone. The screen is too good. Am the type that phone don't last in my hand but I think this will definitely last because it fall a couple of times which I thought the screen has broken but to my suprise is still perfect... Performance great.
Jumia Nigeria,Phones,XIAOMI,"XIAOMI Redmi Note 14 6.67"" 8GB RAM/256 GB ROM HyperOS -108MP AI Camera - Midnight Black",282420,"Processor:Snapdragon® 6856nm manufacturing process technology CPU: Octa-core CPU, up to 2.8GHzGPU: Adreno 610 Storage & RAM: 8GB+256GB Display: 6.67"" AMOLED display Refresh rate: Up to 120Hz Brightness: 1800 nits peak brightness Contrast ratio: 5,000,000:1100% DCI-P3 wide colour gamut Resolution: 2400 x 1080Corning® Gorilla® Glass 3 Rear Camera: 108MP+8MP+2MP triple camera 108MP main camera 16MP front camera Battery & Charging:5000mAh Supports 33W fast charging 33W fast charger in box (USB-C)",SKU: XI363MP7H0DCQNAFAMZModel: Note 14 8+256Weight (kg): 0.2Color: Black,Tolulope,11-02-2025,5 out of 5,"Very Sleeky handy and wonderful smartphone The Redmi Note 14 presents a compelling package for those seeking a feature-rich smartphone without breaking the bank. Its combination of a high-quality display, dependable performance, and substantial battery life makes it a worthy consideration in the mid-range segment.

It's so nice getting this product as an upgrade from my previous Redmi phone."
