reviewer_name,reviewer_header_comment,reviewer_detail_comment,review_date,product_star,product_name,brand,price,features,specification
Jeth,Good,Good product,17-02-2025,5 out of 5,itel 2163 Wireless FM Torchlight Dual SIM - Black,,12990,Wireless FMDual SIMBright TorchMicro USB Charging Port1000mAh Battery with Super Battery modeExpandable memory upto 32GBLoud Speaker,SKU: IT724MP03EW9KNAFAMZProduct Line: Bafur StoreModel: 2163 TorchlightWeight (kg): 0.1Color: BlackMain Material: N/AProduct Type: Cellphones
David,bad,This product don't worth the amount...,17-02-2025,1 out of 5,itel 2163 Wireless FM Torchlight Dual SIM - Black,,12990,Wireless FMDual SIMBright TorchMicro USB Charging Port1000mAh Battery with Super Battery modeExpandable memory upto 32GBLoud Speaker,SKU: IT724MP03EW9KNAFAMZProduct Line: Bafur StoreModel: 2163 TorchlightWeight (kg): 0.1Color: BlackMain Material: N/AProduct Type: Cellphones
Omozusi,as seen,As seen,11-02-2025,4 out of 5,itel 2163 Wireless FM Torchlight Dual SIM - Black,,12990,Wireless FMDual SIMBright TorchMicro USB Charging Port1000mAh Battery with Super Battery modeExpandable memory upto 32GBLoud Speaker,SKU: IT724MP03EW9KNAFAMZProduct Line: Bafur StoreModel: 2163 TorchlightWeight (kg): 0.1Color: BlackMain Material: N/AProduct Type: Cellphones
Adekunle,very good,I bought it for my mum and she liked it,06-02-2025,3 out of 5,itel 2163 Wireless FM Torchlight Dual SIM - Black,,12990,Wireless FMDual SIMBright TorchMicro USB Charging Port1000mAh Battery with Super Battery modeExpandable memory upto 32GBLoud Speaker,SKU: IT724MP03EW9KNAFAMZProduct Line: Bafur StoreModel: 2163 TorchlightWeight (kg): 0.1Color: BlackMain Material: N/AProduct Type: Cellphones
Grace,Perfect,It's a great phone,27-01-2025,5 out of 5,itel 2163 Wireless FM Torchlight Dual SIM - Black,,12990,Wireless FMDual SIMBright TorchMicro USB Charging Port1000mAh Battery with Super Battery modeExpandable memory upto 32GBLoud Speaker,SKU: IT724MP03EW9KNAFAMZProduct Line: Bafur StoreModel: 2163 TorchlightWeight (kg): 0.1Color: BlackMain Material: N/AProduct Type: Cellphones
Ezekiel,Small but mighty phone.,"The phone has beautiful keypad, portable with strong battery life",20-01-2025,4 out of 5,itel 2163 Wireless FM Torchlight Dual SIM - Black,,12990,Wireless FMDual SIMBright TorchMicro USB Charging Port1000mAh Battery with Super Battery modeExpandable memory upto 32GBLoud Speaker,SKU: IT724MP03EW9KNAFAMZProduct Line: Bafur StoreModel: 2163 TorchlightWeight (kg): 0.1Color: BlackMain Material: N/AProduct Type: Cellphones
Anthony,Nice,perfect,30-12-2024,4 out of 5,itel 2163 Wireless FM Torchlight Dual SIM - Black,,12990,Wireless FMDual SIMBright TorchMicro USB Charging Port1000mAh Battery with Super Battery modeExpandable memory upto 32GBLoud Speaker,SKU: IT724MP03EW9KNAFAMZProduct Line: Bafur StoreModel: 2163 TorchlightWeight (kg): 0.1Color: BlackMain Material: N/AProduct Type: Cellphones
Balogun Abiodun,Okay,The product is very okay with good battery,10-12-2024,4 out of 5,itel 2163 Wireless FM Torchlight Dual SIM - Black,,12990,Wireless FMDual SIMBright TorchMicro USB Charging Port1000mAh Battery with Super Battery modeExpandable memory upto 32GBLoud Speaker,SKU: IT724MP03EW9KNAFAMZProduct Line: Bafur StoreModel: 2163 TorchlightWeight (kg): 0.1Color: BlackMain Material: N/AProduct Type: Cellphones
Ogbonnapas,I like it,Its ok and portable????,05-12-2024,5 out of 5,itel 2163 Wireless FM Torchlight Dual SIM - Black,,12990,Wireless FMDual SIMBright TorchMicro USB Charging Port1000mAh Battery with Super Battery modeExpandable memory upto 32GBLoud Speaker,SKU: IT724MP03EW9KNAFAMZProduct Line: Bafur StoreModel: 2163 TorchlightWeight (kg): 0.1Color: BlackMain Material: N/AProduct Type: Cellphones
OLUWATOBILOBA,BT not connecting,"It's okay, but the Bluetooth is not working",25-11-2024,3 out of 5,itel 2163 Wireless FM Torchlight Dual SIM - Black,,12990,Wireless FMDual SIMBright TorchMicro USB Charging Port1000mAh Battery with Super Battery modeExpandable memory upto 32GBLoud Speaker,SKU: IT724MP03EW9KNAFAMZProduct Line: Bafur StoreModel: 2163 TorchlightWeight (kg): 0.1Color: BlackMain Material: N/AProduct Type: Cellphones
